"species","census1_AGB_Mg.C.ha1_1cm","census1_n_1cm","census1_AGB_Mg.C.ha1_10cm","census1_n_10cm","census2_AGB_Mg.C.ha1_1cm","census2_n_1cm","census2_AGB_Mg.C.ha1_10cm","census2_n_10cm"
"total",150.14399835222,38669,NA,NA,157.572608820399,45613,NA,NA
"litu",61.1043904280447,2500,61.0644180229962,2275,67.4299075082099,2417,67.2694815962504,2202
"quve",17.1519376392316,337,17.1503487603778,327,16.6855007643096,296,16.683714445168,288
"qual",16.9064754734758,455,16.8993762866423,419,17.6351819950618,422,17.5928091601451,392
"quru",13.5471849769489,479,13.5300637587237,411,13.6778075303773,415,13.6613751542384,361
"fram",7.48505339038497,787,7.41803346894125,432,7.60243960319715,742,7.52690207388144,397
"qupr",6.98660263617316,318,6.97376854876173,261,7.08930439355431,287,7.07051984806942,233
"cagl",6.114712408346,1853,5.95191873488933,769,6.57094642640513,1775,6.37812191902409,741
"cato",3.86903356950741,1443,3.74569217464935,627,3.9246041951208,1394,3.77914988314432,602
"juni",2.76224625763423,130,2.76224262402497,128,3.03018029739016,126,3.03014536277916,121
"caovl",2.46871107657244,475,2.43392206688722,301,2.53445098287066,478,2.47663242505429,291
"caco",2.45833959806292,463,2.42348304887655,218,2.68871907761071,466,2.63810518020837,212
"nysy",1.80427160986314,1440,1.6614813401523,505,1.7773351619444,1346,1.62587435044014,485
"fagr",1.41831044415627,567,1.36364254573494,279,1.51304364985722,593,1.43910510912096,277
"acru",0.927490298380544,391,0.896597713631493,184,0.953881036435178,350,0.917587980477151,172
"ploc",0.755966489963312,36,0.754962191377137,26,0.80893771388243,32,0.806796639990038,25
"tiam",0.651958121461458,178,0.648553333188305,138,0.664943646205387,172,0.661690703456416,131
"prse",0.458680987964619,42,0.457665147633596,14,0.429489575657732,65,0.428027412008325,11
"saal",0.327402171695558,199,0.31919965378865,77,0.238614513915978,157,0.230025600486447,57
"pist",0.300325770688138,101,0.298719657365543,96,0.313976423212915,88,0.313500639993695,86
"frni",0.27765047103219,73,0.272404455093325,46,0.280991750236579,69,0.276705494086866,42
"ceca",0.253277553568355,944,0.138273688927096,135,0.231869982494181,859,0.124301385351269,100
"rops",0.243477186911929,37,0.242319021207006,26,0.075354772949502,8,0.0752992996136672,5
"casp",0.218233902520089,45,0.2149436863899,17,NA,NA,NA,NA
"prav",0.209615794131028,98,0.201954074563513,47,0.224063516824436,96,0.216280936486853,43
"caca",0.153061326705809,2928,0.0806419488499066,230,0.166450460300027,4045,0.0804916165464257,200
"cofl",0.146965900077489,760,0.026511700115381,29,0.0887899435800864,420,0.0163655617205571,17
"qusp",0.109021194522548,7,0.108780489058645,5,NA,NA,NA,NA
