"census_interval","species","ANPP_Mg.C.ha1.y1_1cm","n_1cm","ANPP_Mg.C.ha1.y1_10cm","n_10cm"
"census_1_2","total",2.7978643035022,45433,2.76423292457873,8540
"census_1_2","litu",1.29565852075614,2415,1.29502095185295,2202
"census_1_2","qual",0.305534083182994,421,0.305343599528853,391
"census_1_2","quru",0.288870129885792,415,0.288174440257105,361
"census_1_2","quve",0.192562496497094,296,0.192483988461453,288
"census_1_2","qupr",0.136255643193624,287,0.136027303381338,233
"census_1_2","fram",0.108492227202845,741,0.106725438250426,397
"census_1_2","cagl",0.106460779918238,1771,0.102618131282131,741
"census_1_2","juni",0.0601477059693997,126,0.0601477059693997,121
"census_1_2","cato",0.0586673589825065,1393,0.055245109500829,601
"census_1_2","caco",0.0572950648135243,466,0.0546046602378589,212
"census_1_2","fagr",0.0443604376431644,591,0.0403838725506746,275
"census_1_2","caovl",0.0320042652622301,477,0.0312193649117449,290
"census_1_2","tiam",0.0247888790967715,172,0.0246537525921108,131
"census_1_2","acru",0.0150290825407318,349,0.0138798621239298,172
"census_1_2","ploc",0.0121272367752866,32,0.011837583184767,25
"census_1_2","nysy",0.00975753568330443,1346,0.00843526916321113,485
"census_1_2","ceca",0.00838351401425001,857,0.00458452787270601,99
"census_1_2","pist",0.00716260921634596,88,0.00716682591849184,86
"census_1_2","ulru",0.00679482876565985,394,0.00508439594894678,114
"census_1_2","frni",0.00524998549709427,68,0.00517351636589342,42
"census_1_2","caca",0.00421009787849344,4035,0.00189181821746017,198
"census_1_2","prav",0.0041208914081323,95,0.00380323817130906,43
"census_1_2","qufa",0.00173646068449174,1,0.00173646068449174,1
"census_1_2","amar",0.0012570685148702,313,0.000351193160383645,17
"census_1_2","vipr",0.00125412906690184,429,0.000191587043236511,10
"census_1_2","havi",0.00118356049517454,1377,0.000169674100952516,5
"census_1_2","ceoc",0.00107489982714192,104,0.000952175838802539,38
"census_1_2","frpe",0.00103013176586207,54,0.000952666752409729,14
"census_1_2","quco",0.000930505398115712,1,0.000930505398115712,1
"census_1_2","acpl",0.000812615350115805,12,0.00077852156531111,6
"census_1_2","qumi",0.000693275413129273,3,0.000693275413129273,3
"census_1_2","acne",0.000669101231082882,63,0.000581825255279771,4
"census_1_2","rops",0.000505187042550219,8,0.000505187042550219,5
"census_1_2","cofl",0.000482162530539086,418,0.000110155681770555,17
"census_1_2","ulam",0.000443488451738645,28,0.00038244738006563,13
"census_1_2","astr",0.000379303304525857,5098,1.75216292538999e-05,3
"census_1_2","saal",0.000360826484087805,157,0.000357671376332919,57
"census_1_2","pato",0.000277072686335927,3,0.000277072686335927,2
"census_1_2","aial",0.000223724495376401,33,0.000206381906568904,4
"census_1_2","juci",0.000217392069804269,3,0.000217392069804269,2
"census_1_2","pivi",0.000197814209440321,3,0.000197814209440321,3
"census_1_2","cade",8.02408182812514e-05,6,7.50364632109152e-05,1
"census_1_2","qumu",7.05132942995722e-05,1,7.05132942995722e-05,1
"census_1_2","coal",3.29948850440897e-05,2,3.29948850440897e-05,1
"census_1_2","chvi",1.34027574772864e-05,11,NA,0
"census_1_2","ilve",1.06693970727315e-05,47,NA,0
"census_1_2","crsp",9.01975693420969e-06,9,NA,0
"census_1_2","libe",5.26557740458605e-06,20142,NA,0
"census_1_2","divi",3.08691682961617e-06,6,2.17076802477421e-06,2
"census_1_2","acsp",0,1,NA,0
"census_1_2","beth",0,15,NA,0
"census_1_2","coam",0,1,NA,0
"census_1_2","crpr",0,1,NA,0
"census_1_2","elum",0,33,NA,0
"census_1_2","eual",0,3,NA,0
"census_1_2","loma",0,39,NA,0
"census_1_2","prsp",0,1,NA,0
"census_1_2","romu",0,77,NA,0
"census_1_2","saca",0,24,NA,0
"census_1_2","ulsp",0,1,NA,0
"census_1_2","unk",0,2,NA,0
"census_1_2","viac",0,1,NA,0
"census_1_2","vire",0,3,NA,0
"census_1_2","pipu",-1.45671791707015e-06,1,-1.45671791707015e-06,1
"census_1_2","prse",-2.15263881317645e-05,63,-6.12190517490971e-05,11
