ID,EC_NF_ID,x,y,stake,EC_NF_DIST,
0,Field,1,1,"1,1",34.9799,
0,Field,1,2,"1,2",31.4829,
0,Field,1,3,"1,3",29.2046,
0,Field,1,4,"1,4",23.6001,
0,Field,1,5,"1,5",20.8868,
0,Field,1,6,"1,6",26.9268,
0,Field,1,7,"1,7",31.1261,
0,Field,1,8,"1,8",43.5635,
0,Field,1,9,"1,9",58.2561,
0,Field,1,10,"1,10",74.5054,
0,Field,1,11,"1,11",86.8749,
0,Field,1,12,"1,12",96.7970,
0,Field,1,13,"1,13",109.5082,
0,Field,1,14,"1,14",123.7746,
0,Field,1,15,"1,15",139.2782,
0,Field,1,16,"1,16",155.8097,
0,Field,1,17,"1,17",173.0750,
0,Field,1,18,"1,18",190.8748,
0,Field,1,19,"1,19",208.8843,
0,Field,1,20,"1,20",219.1226,
0,Field,1,21,"1,21",230.6443,
0,Field,1,22,"1,22",230.2026,
0,Field,1,23,"1,23",214.1087,
0,Field,1,24,"1,24",198.0147,
0,Field,1,25,"1,25",181.9272,
0,Field,1,26,"1,26",166.3670,
0,Field,1,27,"1,27",151.8502,
0,Field,1,28,"1,28",138.7047,
0,Field,1,29,"1,29",127.3558,
0,Field,1,30,"1,30",118.3216,
0,Field,1,31,"1,31",112.1628,
0,Field,1,32,"1,32",109.3664,
0,Field,2,1,"2,1",53.8184,
0,Field,2,2,"2,2",51.4544,
0,Field,2,3,"2,3",48.1655,
0,Field,2,4,"2,4",43.4582,
0,Field,2,5,"2,5",40.8277,
0,Field,2,6,"2,6",44.4661,
0,Field,2,7,"2,7",49.4655,
0,Field,2,8,"2,8",58.9047,
0,Field,2,9,"2,9",71.7639,
0,Field,2,10,"2,10",86.2840,
0,Field,2,11,"2,11",102.4149,
0,Field,2,12,"2,12",113.7550,
0,Field,2,13,"2,13",124.7502,
0,Field,2,14,"2,14",137.7861,
0,Field,2,15,"2,15",152.0277,
0,Field,2,16,"2,16",167.3041,
0,Field,2,17,"2,17",183.4910,
0,Field,2,18,"2,18",200.3677,
0,Field,2,19,"2,19",217.7739,
0,Field,2,20,"2,20",235.5923,
0,Field,2,21,"2,21",246.8648,
0,Field,2,22,"2,22",242.0763,
0,Field,2,23,"2,23",225.9824,
0,Field,2,24,"2,24",209.9670,
0,Field,2,25,"2,25",194.5935,
0,Field,2,26,"2,26",180.1309,
0,Field,2,27,"2,27",166.8162,
0,Field,2,28,"2,28",154.9456,
0,Field,2,29,"2,29",144.8746,
0,Field,2,30,"2,30",137.0005,
0,Field,2,31,"2,31",131.7180,
0,Field,2,32,"2,32",129.3451,
0,Field,3,1,"3,1",73.2751,
0,Field,3,2,"3,2",71.4259,
0,Field,3,3,"3,3",67.3960,
0,Field,3,4,"3,4",63.3995,
0,Field,3,5,"3,5",60.8075,
0,Field,3,6,"3,6",63.3078,
0,Field,3,7,"3,7",68.7375,
0,Field,3,8,"3,8",75.8140,
0,Field,3,9,"3,9",87.0097,
0,Field,3,10,"3,10",100.0061,
0,Field,3,11,"3,11",114.4381,
0,Field,3,12,"3,12",130.3244,
0,Field,3,13,"3,13",141.1848,
0,Field,3,14,"3,14",152.8252,
0,Field,3,15,"3,15",166.0661,
0,Field,3,16,"3,16",180.2905,
0,Field,3,17,"3,17",195.4046,
0,Field,3,18,"3,18",211.3320,
0,Field,3,19,"3,19",227.9023,
0,Field,3,20,"3,20",244.9852,
0,Field,3,21,"3,21",262.4805,
0,Field,3,22,"3,22",253.9500,
0,Field,3,23,"3,23",238.0646,
0,Field,3,24,"3,24",222.8346,
0,Field,3,25,"3,25",208.4125,
0,Field,3,26,"3,26",194.9776,
0,Field,3,27,"3,27",182.7479,
0,Field,3,28,"3,28",171.9805,
0,Field,3,29,"3,29",162.9656,
0,Field,3,30,"3,30",156.0073,
0,Field,3,31,"3,31",151.3895,
0,Field,3,32,"3,32",149.3295,
0,Field,4,1,"4,1",92.9627,
0,Field,4,2,"4,2",91.3973,
0,Field,4,3,"4,3",86.6265,
0,Field,4,4,"4,4",83.3450,
0,Field,4,5,"4,5",80.7972,
0,Field,4,6,"4,6",82.6954,
0,Field,4,7,"4,7",88.3338,
0,Field,4,8,"4,8",93.9456,
0,Field,4,9,"4,9",103.1925,
0,Field,4,10,"4,10",115.1942,
0,Field,4,11,"4,11",128.2668,
0,Field,4,12,"4,12",142.6438,
0,Field,4,13,"4,13",158.2470,
0,Field,4,14,"4,14",168.8967,
0,Field,4,15,"4,15",180.9655,
0,Field,4,16,"4,16",194.3474,
0,Field,4,17,"4,17",208.5592,
0,Field,4,18,"4,18",223.5514,
0,Field,4,19,"4,19",239.2770,
0,Field,4,20,"4,20",255.6007,
0,Field,4,21,"4,21",272.4151,
0,Field,4,22,"4,22",266.2018,
0,Field,4,23,"4,23",251.0855,
0,Field,4,24,"4,24",236.6948,
0,Field,4,25,"4,25",223.1702,
0,Field,4,26,"4,26",210.6785,
0,Field,4,27,"4,27",199.4140,
0,Field,4,28,"4,28",189.5954,
0,Field,4,29,"4,29",181.4578,
0,Field,4,30,"4,30",175.2354,
0,Field,4,31,"4,31",171.1372,
0,Field,4,32,"4,32",169.3176,
0,Field,5,1,"5,1",112.7603,
0,Field,5,2,"5,2",111.3597,
0,Field,5,3,"5,3",105.9990,
0,Field,5,4,"5,4",103.1916,
0,Field,5,5,"5,5",100.7910,
0,Field,5,6,"5,6",102.3190,
0,Field,5,7,"5,7",107.6081,
0,Field,5,8,"5,8",112.7111,
0,Field,5,9,"5,9",120.5268,
0,Field,5,10,"5,10",130.9566,
0,Field,5,11,"5,11",143.3836,
0,Field,5,12,"5,12",156.5360,
0,Field,5,13,"5,13",170.8754,
0,Field,5,14,"5,14",185.7327,
0,Field,5,15,"5,15",196.7716,
0,Field,5,16,"5,16",209.1446,
0,Field,5,17,"5,17",222.6294,
0,Field,5,18,"5,18",236.8316,
0,Field,5,19,"5,19",251.7290,
0,Field,5,20,"5,20",267.2934,
0,Field,5,21,"5,21",283.4149,
0,Field,5,22,"5,22",279.3431,
0,Field,5,23,"5,23",264.9775,
0,Field,5,24,"5,24",251.3833,
0,Field,5,25,"5,25",238.6924,
0,Field,5,26,"5,26",227.0563,
0,Field,5,27,"5,27",216.6450,
0,Field,5,28,"5,28",207.6429,
0,Field,5,29,"5,29",200.2400,
0,Field,5,30,"5,30",194.6191,
0,Field,5,31,"5,31",190.9374,
0,Field,5,32,"5,32",189.3082,
0,Field,6,1,"6,1",132.6187,
0,Field,6,2,"6,2",130.5818,
0,Field,6,3,"6,3",125.5685,
0,Field,6,4,"6,4",122.7972,
0,Field,6,5,"6,5",120.7869,
0,Field,6,6,"6,6",122.0648,
0,Field,6,7,"6,7",126.5312,
0,Field,6,8,"6,8",131.8400,
0,Field,6,9,"6,9",138.5811,
0,Field,6,10,"6,10",147.7418,
0,Field,6,11,"6,11",158.9042,
0,Field,6,12,"6,12",171.5731,
0,Field,6,13,"6,13",184.8099,
0,Field,6,14,"6,14",199.1220,
0,Field,6,15,"6,15",213.2829,
0,Field,6,16,"6,16",224.7487,
0,Field,6,17,"6,17",237.3487,
0,Field,6,18,"6,18",250.9120,
0,Field,6,19,"6,19",265.1065,
0,Field,6,20,"6,20",279.9281,
0,Field,6,21,"6,21",295.3608,
0,Field,6,22,"6,22",293.2605,
0,Field,6,23,"6,23",279.6108,
0,Field,6,24,"6,24",266.7634,
0,Field,6,25,"6,25",254.8396,
0,Field,6,26,"6,26",243.9748,
0,Field,6,27,"6,27",234.3165,
0,Field,6,28,"6,28",226.0193,
0,Field,6,29,"6,29",219.2378,
0,Field,6,30,"6,30",214.1161,
0,Field,6,31,"6,31",210.7753,
0,Field,6,32,"6,32",209.3006,
0,Field,7,1,"7,1",152.5141,
0,Field,7,2,"7,2",149.8123,
0,Field,7,3,"7,3",145.2553,
0,Field,7,4,"7,4",142.5124,
0,Field,7,5,"7,5",140.7840,
0,Field,7,6,"7,6",141.8818,
0,Field,7,7,"7,7",145.7422,
0,Field,7,8,"7,8",151.1946,
0,Field,7,9,"7,9",157.1073,
0,Field,7,10,"7,10",165.2442,
0,Field,7,11,"7,11",175.2956,
0,Field,7,12,"7,12",186.9532,
0,Field,7,13,"7,13",199.7625,
0,Field,7,14,"7,14",213.0865,
0,Field,7,15,"7,15",227.3779,
0,Field,7,16,"7,16",241.0032,
0,Field,7,17,"7,17",252.7943,
0,Field,7,18,"7,18",265.5699,
0,Field,7,19,"7,19",279.1948,
0,Field,7,20,"7,20",293.3833,
0,Field,7,21,"7,21",308.1428,
0,Field,7,22,"7,22",307.8487,
0,Field,7,23,"7,23",294.8752,
0,Field,7,24,"7,24",282.7222,
0,Field,7,25,"7,25",271.5002,
0,Field,7,26,"7,26",261.3290,
0,Field,7,27,"7,27",252.3358,
0,Field,7,28,"7,28",244.6505,
0,Field,7,29,"7,29",238.3996,
0,Field,7,30,"7,30",233.6982,
0,Field,7,31,"7,31",230.6412,
