Year,Month,Day,event.type,event.details,Plot observations
2011,10,,snowstorm,anomalously heavy snowstorm,caused substantial crown damage/breakage 
2012,10,,hurricane,Hurricane Sandy,NA
2018,3,,wind storm,,at least one group of trees (including a very large one) observed freshly fallen a few days after the storm
2019,2,12,ice storm,,
