"tag","coreID","sp","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
3337,"3337A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.572,1.665,1.972,1.856,1.858,1.164,1.178,1.333,1.373,0.83,0.499,0.521,0.53,0.544,0.649,0.991,0.603,0.577,0.992,0.878,0.547,0.553,0.3,0.395,0.333,0.315,0.522,0.758,0.665,1.036,0.893,0.734,0.67,0.397,0.666,0.533,0.96,1.077,1.11,1.268,0.582,0.808,0.793,0.666,0.629,0.634,0.283,0.507,0.328,0.861,1.068,1.115,0.93,0.575,0.793,0.841,0.486,0.418,0.583,0.515,0.375
20605,"20605A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.165,2.386,2.263,1.352,0.585,0.72,0.702,0.25,0.186,0.278,0.964,1.187,0.95,0.686,0.483,0.392,0.259,0.422,0.443,0.413,0.618,0.838,1.296,0.901,1.228,1.189,1.047,0.803,0.74,1.698,1.271,0.968,1.925,1.689,2.024,1.497,1.758,1.319,1.407,1.413,1.042,0.818,1.755,1.012,1.506,1.213,1.214,0.763,0.758,1.168,1.29,0.702,0.921,1.13,1.151,0.95,0.745,0.997,0.912,0.707,0.519,0.626,0.39,0.254,0.428,1.594,1.283,0.359,0.238,0.174,0.19,0.227,0.201,0.19,0.174,0.196,0.206,0.222,0.137,NA,NA,NA
20605,"20605B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.138,2.306,2.158,2.834,2.66,2.371,1.653,0.492,0.827,0.553,0.272,0.24,0.581,1.178,1.071,0.497,0.407,0.328,0.222,0.259,0.238,0.459,0.56,1.002,1.953,1.038,1.967,1.39,1.448,0.859,0.853,2.034,0.983,0.805,2.352,1.919,1.953,1.483,1.873,1.336,1.552,1.563,1.272,0.989,2.242,1.025,1.646,1.045,1.18,0.64,0.753,1.197,1.314,0.667,1.078,1.378,1.558,0.988,0.71,1.494,1.094,0.729,0.538,0.678,0.432,0.282,0.402,0.691,0.909,1.567,0.476,0.23,0.161,NA
30073,"30073A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.936,0.943,1.058,1.511,1.035,2.062,1.811,2.106,2.923,2.189,2.746,3.175,2.089,2.735,1.762,1.623,2.827,2.98,3.944,3.877,3.124,3.772,2.615,2.627,1.38,1.398,1.57,1.503,1.18,1.191,1.64,1.462,1.659,1.595,1.114,1.024,0.569,0.827,1.042,0.781,0.962,0.976,1.219,1.114,1.002,1.157,1.135,1.088,1.191,0.963,1.008,1.115,1.121,0.998,1.184,0.906,1.125,0.782,0.851,1.125,1.145,1.142,0.96,1.216,1.039,1.222,0.921,0.836
30525,"030525A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.957,2.149,2.653,2.48,2.559,1.709,1.497,0.97,1.213,1.52,1.48,0.781,1.765,1.195,1.691,0.761,0.642,0.501,0.348,0.227,0.279,0.226,0.458,0.444,0.526,0.373,0.306,0.314,0.243,0.241,0.236,0.208,0.184,0.259,0.188,0.189,0.286,0.469,0.661,1.242,0.559,1.669,2.097,2.357,1.269,2.156,2.612,1.734,1.885,2.373,1.224,0.966,1.972,0.913,1.801,3.018,4.036,0.743,0.6,0.433,0.28,0.375,0.464,0.31,0.348,0.557,0.452,0.347,0.341,0.286,0.295,0.832,0.535,0.584,0.419,0.846,1.859,1.698,0.799
30525,"030525B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.235,2.454,1.728,1.648,1.114,1.729,2.386,1.562,0.815,1.994,1.554,1.869,1.236,0.327,0.206,0.465,0.458,0.549,0.415,0.678,0.757,0.286,0.219,0.261,0.206,0.196,0.217,0.195,0.232,0.222,0.121,0.212,0.703,1.126,2.074,0.643,2.777,3.035,2.875,1.794,2.223,3.226,1.929,1.934,3.012,1.031,1.216,2.69,2.468,4.419,3.75,1.076,1.629,1.227,1.284,0.845,0.554,0.607,0.468,0.539,0.915,0.856,0.638,0.528,0.348,0.328,0.432,0.689,0.645,1.463,1.937,0.912,0.962,0.745,1.03,0.343,0.159
40952,"40952A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714,0.605,0.997,1.352,1.689,2.28,4.81,3.336,2.628,2.57,2.121,2.301,3.665,3.016,2.432,2.168,1.738,2.177,1.752,2.126,1.734,1.86,1.489,2.523,2.736,3.679,2.128,2.971,2.915,2.742,2.697,0.668,1.508,2.441,1.957,2.08,3.315,3.777,2.905,1.95,2.612,2.51,5.241,3.7,3.44,2.934,2.115,2.051,1.689,2.45,1.8,2.073,2.45,2.198,2.3,1.084,1.031,1.315,1.188,1.398,2.285,1.11,1.101,0.971,1.343,1.35,1.245,2.054,1.148,1.339,2.189,1.205,1.156,1.677,2.046,1.382,1.574,1.718,1.188,1.624,1.174,0.989,0.953,0.926,1.084,1.041,0.966,1.213,1.222,0.922,1.056,1.343,0.761,1.044,0.89,0.946,0.75,0.989,1.835,1.444,0.96,1.061,0.909,0.85,0.719,0.774,0.615,0.483,0.552,0.617,0.756,0.672,0.553,0.476,0.383,0.316,0.427,0.303,0.389,0.316,0.321,0.267,0.255,NA,NA,NA,NA
40952,"40952B","caco",0.77,1.233,1.161,0.778,1.112,0.953,1.239,0.95,0.913,0.656,1.087,1.038,0.806,0.664,0.805,1.285,0.595,1.519,1.344,1.945,1.697,1.154,1.664,1.863,2.073,1.82,1.414,1.722,1.984,1.826,1.219,0.921,1.249,0.935,0.811,1.201,1.139,1.36,1.997,1.297,1.271,0.942,0.826,0.747,0.582,0.607,0.75,0.383,0.579,0.47,0.422,0.614,0.434,0.928,1.606,2.158,3.378,3.498,3.109,2.375,3.09,2.171,2.169,4.426,2.77,2.734,2.336,2.108,2.49,1.706,1.787,2.062,2.533,1.686,2.713,0.686,2.29,8.004,5.448,2.837,2.187,1.982,1.866,1.38,1.555,1.532,2.817,1.813,1.916,3.952,4.499,3.218,2.25,2.52,1.615,1.161,1.25,1.64,1.351,1.139,1.562,0.85,1.548,1.898,1.377,1.829,1.235,1.783,2.101,1.567,1.56,1.744,1.565,5.533,2.442,1.611,2.64,2.757,4.302,4.848,12.385,3.904,2.342,3.131,4.458,2.812,2.088,2.062,0.796,1.004,0.571,0.422,0.623,0.642,0.855,1.161,1.151,0.583,0.553,1.003,1.431,0.958,1.079,1.473,1.384,1.293,1.131,1.24,1.44,1.238,1.384,1.247,1.101,0.953,0.739,0.74,0.753,0.702,0.767,0.777,0.652,0.644,0.598,0.582,0.475,0.42,0.592,0.697,0.602,0.627,0.37,0.481,0.253,NA,NA,NA,NA,NA,NA,NA
50488,"50488A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.143,3.024,3.41,3.009,2.135,2.805,3.112,3.3,2.544,1.763,2.048,1.243,1.322,1.243,1.224,0.912,0.761,0.812,0.969,0.831,0.609,0.672,1.098,0.821,0.741,1.038,1.111,1.086,0.909,0.879,0.754,0.222,0.254,0.303,1.001,1.579,2.365,5.012,2.04,2.263,1.288,5.55,3.855,1.796,1.505,0.981,0.913,0.59,0.623,0.675,0.473,0.564,0.716,0.852,0.737,0.993,1.422,2.482,1.667,1.251,0.956,0.56,1.182,1.282,0.386,0.264,0.242,0.207,0.264,0.28,0.476,0.867,0.84,0.851,0.6,0.555,0.65,0.5,0.589,0.502,0.755,0.599,0.518,0.544,1.324,1.125,0.724,0.624,0.629,0.428,0.505,0.491,0.463,0.245,0.301,0.301,0.238,0.219
50488,"50488B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327,3.528,3.939,4.586,4.745,3.617,3.933,3.815,3.347,2.925,3.704,4.134,4.547,3.504,2.621,3.315,1.517,2.041,1.621,1.519,1.232,0.992,1.229,0.994,1.607,1.085,1.039,0.798,1.191,1.236,0.986,1.257,1.577,1.116,1.092,3.34,2.533,0.399,0.381,0.29,0.681,1.329,2.419,2.89,2.64,1.371,1.921,1.069,0.888,1.577,1.144,1.017,1.07,0.91,0.633,0.569,0.962,0.645,0.693,1.127,0.907,0.939,1.015,0.936,1.056,1.142,1.174,1.071,0.638,1.174,1.156,0.435,0.265,0.263,0.205,0.354,0.511,0.529,0.296,0.2,0.322,0.317,0.4,0.444,0.813,0.603,0.605,0.666,0.528,0.285,0.191,0.243,0.243,0.621,0.412,0.316,0.364,0.55,1.022,1.078,0.627,0.538,0.67,0.38,0.493,0.264,0.245,0.448,0.285,0.248,0.269,0.196
