Year,quve052171_1scbi,quve052171_2scbi,quve072385_1scbi,quve072385_2scbi,quve102144_1scbi,quve102144_2scbi,quve121319_1scbi,quve121319_2scbi,quve162446_1scbi,quve162446_2scbi,quve201405_1scbi,quve201405_2scbi
1876,,1.23,,,,,,,,,,
1877,,1.12,,,,,,,,,,
1878,,1.24,,,,,,,,,,
1879,,1.61,,,,,,,,,,
1880,,1.08,,,,,,,,,,
1881,,1.61,,,,,,,,,,
1882,,1.23,,,,,,,,,,
1883,,1.31,,,,,,,,,,
1884,,1.56,,,,,,,,,,
1885,,0.87,,,,,,,,,,
1886,,1.22,,,,,,,,,,
1887,,1.56,,,,,,,,,,
1888,,1.14,,,,,,,,,,
1889,,1.29,,,,,,,,,,
1890,,1.07,,,,,,,,,,
1891,,2.95,,,,,,,,,,
1892,,2.38,,,,,,,,,,
1893,,2.21,,,,,,,,,,
1894,,1.84,,,,,,,,,,
1895,,2.42,,,,,,,,,,
1896,,3.01,,,,,,,,,,
1897,,2.47,,,,,,,,,,
1898,5.26,2.47,,2.04,,,,,,,,
1899,3.63,1.91,,1.88,,,,,,,,
1900,5.02,2.75,,1.51,,,,,,,,
1901,4.15,1.76,,1.2,,,,,,,,
1902,2.57,1.71,,0.98,,,,,,,,
1903,3.42,2.45,1.15,0.98,,,,,,,,
1904,2.66,2.3,1.04,0.91,,,,,,,,
1905,2.36,2.13,1.74,0.74,,,,,,,,
1906,2.11,2.14,1.73,0.94,,,,,,,,
1907,2.28,1.85,1.39,0.92,,,,,,,,
1908,1.48,1.69,1.38,0.73,,,,,,,,
1909,1.88,1.65,1.48,0.69,,,,,,,,
1910,1.33,1.58,1.1,0.59,,,,,,,,
1911,0.9,0.86,1.12,0.7,2.69,,,,,,,
1912,1.15,1.13,0.68,0.64,1.77,,,,,,,
1913,1.25,1.4,0.83,0.71,3.02,,,,,,,
1914,1.36,1.42,0.9,0.51,1.82,,,,,,,
1915,2.24,2.24,1.77,0.76,1.39,,,,,,,
1916,2.66,2.58,2.09,0.95,2.72,,,,,,,
1917,3.48,2.32,1.62,0.95,4,,,,,,,
1918,1.91,2.03,0.94,0.91,2.36,,,,,,,
1919,2.94,2.46,1.71,1.25,1.7,,,,,,,
