"","census","cutoff","mort_r2","mort_r2adj","mort_p.value","mort_b","mort_b_95CIlo","mort_b_95CIhi","mort_b_p","mort_y0","mort_y095CIlo","mort_y095CIhi","mort_y0_p","agb_r2","agb_r2adj","agb_p.value","agb_b","agb_b95CIlo","agb_b95CIhi","agb_b_p","agb_y0","agb_y095CIlo","agb_y095CIhi","agb_y0_p"
"1","2008-2013","100",0.605714349041175,0.561904832267973,0.00478284616332655,-0.631609171159652,-1.01586591835123,-0.247352423968073,0.00478284616332656,2.70871104065046,1.37140097155248,4.04602110974844,0.00132407153367175,0.536121169405929,0.47813631558167,0.0160461001938502,0.203463117988917,0.049161108279461,0.357765127698374,0.0160461001938502,-3.99875081327706,-4.51596037413074,-3.48154125242338,0.000000100323871259478
"2","2008-2013","all",0.827042254999831,0.817939215789296,0.000000011331452948039,-0.490664763859954,-0.59840761103478,-0.382921916685129,0.0000000113314529480389,2.23720643752927,1.94995324286953,2.52445963218901,0.00000000000126331201363177,0.78486105084093,0.772908886998759,0.000000203971806303364,0.440692565907114,0.326438269093436,0.554946862720793,0.000000203971806303361,-4.76365358765543,-5.05310187842498,-4.47420529688588,0.00000000000000000648950267427888
"3","2013-2014","100",0.397715698833563,0.322430161187758,0.050594966568386,-0.502467286859444,-1.0065911842332,0.00165661051431476,0.0505949665683861,1.82266054957562,0.110684560052603,3.53463653909864,0.0396206912105587,0.629830187624703,0.576948785856803,0.0106750924135573,0.694449272108206,0.218629582206754,1.17026896200966,0.0106750924135573,-6.17915380397464,-7.72009375878717,-4.63821384916211,0.0000303431685314157
"4","2014-2015","100",0.341793157014516,0.268659063349463,0.0588916629931049,-0.542283538682758,-1.10973334952692,0.0251662721614032,0.0588916629931048,1.95484940270916,-0.0222609545512771,3.9319597599696,0.0521245436662996,0.362835667525587,0.283190125966286,0.0653445428733147,0.610370532128619,-0.0490756960717541,1.26981676032899,0.0653445428733147,-5.82128627751549,-8.04139364528596,-3.60117890974502,0.000307098852992505
