"census","genus","species","sp","biomass.mortality.Mg.C.ha.1.yr.1"
"census 2015 and 2016","Ulmus","rubra","ulru",0.0182632199092019
"census 2016 and 2017","All","All",NA,2.59914053819347
"census 2016 and 2017","Acer","All",NA,0.000644156104048852
"census 2016 and 2017","Amelanchier","All",NA,0.00112991674628964
"census 2016 and 2017","Carpinus","All",NA,0.00336744391140428
"census 2016 and 2017","Carya","All",NA,0.322467523774533
"census 2016 and 2017","Cercis","All",NA,0.00687729822075938
"census 2016 and 2017","Cornus","All",NA,0.00124119172630905
"census 2016 and 2017","Fraxinus","All",NA,1.07490183153514
"census 2016 and 2017","Juglans","All",NA,0.00174522562954921
"census 2016 and 2017","Liriodendron","All",NA,0.0587260979843889
"census 2016 and 2017","Nyssa","All",NA,0.0473051137175137
"census 2016 and 2017","Pinus","All",NA,0.000744232829317157
"census 2016 and 2017","Prunus","All",NA,0.000830350802940321
"census 2016 and 2017","Quercus","All",NA,1.05444324680465
"census 2016 and 2017","Robinia","All",NA,0.0109147400406183
"census 2016 and 2017","Ulmus","All",NA,0.0138021683660107
"census 2016 and 2017","Acer","rubrum","acru",0.000644156104048852
"census 2016 and 2017","Amelanchier","arborea","amar",0.00112991674628964
"census 2016 and 2017","Carpinus","caroliniana","caca",0.00336744391140428
"census 2016 and 2017","Carya","cordiformis","caco",0.186194092000289
"census 2016 and 2017","Carya","glabra","cagl",0.0616056251457713
"census 2016 and 2017","Carya","ovalis","caovl",0.00943302334386594
"census 2016 and 2017","Carya","tomentosa","cato",0.065234783284607
"census 2016 and 2017","Cercis","canadensis","ceca",0.00687729822075938
"census 2016 and 2017","Cornus","florida","cofl",0.00124119172630905
"census 2016 and 2017","Fraxinus","americana","fram",1.03570807972101
"census 2016 and 2017","Fraxinus","nigra","frni",0.0391937518141305
"census 2016 and 2017","Juglans","nigra","juni",0.00174522562954921
"census 2016 and 2017","Liriodendron","tulipifera","litu",0.0587260979843889
"census 2016 and 2017","Nyssa","sylvatica","nysy",0.0473051137175137
"census 2016 and 2017","Pinus","strobus","pist",0.000744232829317157
"census 2016 and 2017","Prunus","avium","prav",0.000830350802940321
"census 2016 and 2017","Quercus","alba","qual",0.00949854580044767
"census 2016 and 2017","Quercus","prinus","qupr",0.327597680155099
"census 2016 and 2017","Quercus","rubra","quru",0.275688630613757
"census 2016 and 2017","Quercus","velutina","quve",0.441658390235342
"census 2016 and 2017","Robinia","pseudoacacia","rops",0.0109147400406183
"census 2016 and 2017","Ulmus","rubra","ulru",0.0138021683660107
"census 2017 and 2018","All","All",NA,2.79672971971693
"census 2017 and 2018","Acer","All",NA,0.0209943296037002
"census 2017 and 2018","Carpinus","All",NA,0.00349520802842928
"census 2017 and 2018","Carya","All",NA,0.145881018949484
"census 2017 and 2018","Cercis","All",NA,0.00490386743636688
"census 2017 and 2018","Fagus","All",NA,0.0225533421294507
"census 2017 and 2018","Fraxinus","All",NA,1.02137618511205
"census 2017 and 2018","Hamamelis","All",NA,0.00135283827916587
"census 2017 and 2018","Juglans","All",NA,0.0132385177552341
"census 2017 and 2018","Liriodendron","All",NA,0.429196430594687
"census 2017 and 2018","Nyssa","All",NA,0.00550798317273274
"census 2017 and 2018","Prunus","All",NA,0.00825439152086691
"census 2017 and 2018","Quercus","All",NA,1.09905219132388
"census 2017 and 2018","Tilia","All",NA,0.0057106352828321
"census 2017 and 2018","Ulmus","All",NA,0.0152127805280443
"census 2017 and 2018","Acer","rubrum","acru",0.0209943296037002
"census 2017 and 2018","Carpinus","caroliniana","caca",0.00349520802842928
"census 2017 and 2018","Carya","cordiformis","caco",0.00121815778779633
"census 2017 and 2018","Carya","glabra","cagl",0.073322638778333
"census 2017 and 2018","Carya","ovalis","caovl",0.0188890247865173
"census 2017 and 2018","Carya","tomentosa","cato",0.0524511975968377
"census 2017 and 2018","Cercis","canadensis","ceca",0.00490386743636688
"census 2017 and 2018","Fagus","grandifolia","fagr",0.0225533421294507
"census 2017 and 2018","Fraxinus","americana","fram",1.00065542622045
"census 2017 and 2018","Fraxinus","nigra","frni",0.0194899756636505
"census 2017 and 2018","Fraxinus","pennsylvanica","frpe",0.00123078322794979
"census 2017 and 2018","Hamamelis","virginiana","havi",0.00135283827916587
"census 2017 and 2018","Juglans","nigra","juni",0.0132385177552341
"census 2017 and 2018","Liriodendron","tulipifera","litu",0.429196430594687
"census 2017 and 2018","Nyssa","sylvatica","nysy",0.00550798317273274
"census 2017 and 2018","Prunus","avium","prav",0.00825439152086691
"census 2017 and 2018","Quercus","alba","qual",0.140617179296385
"census 2017 and 2018","Quercus","michauxii","qumi",0.0383799262534051
"census 2017 and 2018","Quercus","prinus","qupr",0.166194305773241
"census 2017 and 2018","Quercus","rubra","quru",0.115234396577741
"census 2017 and 2018","Quercus","velutina","quve",0.638626383423109
"census 2017 and 2018","Tilia","americana","tiam",0.0057106352828321
"census 2017 and 2018","Ulmus","americana","ulam",0.00206163293484776
"census 2017 and 2018","Ulmus","rubra","ulru",0.0131511475931966
