quadrat,acne,acpl,acru,acsp,aial,amar,astr,beth,caca,caco,cade,cagl,caovl,casp,cato,ceca,ceoc,chvi,coal,coam,cofl,crpr,crsp,divi,elum,fagr,fram,frni,frpe,frsp,havi,ilve,juci,juni,libe,litu,loma,nysy,pato,pipu,pist,pivi,ploc,prav,prpe,prse,qual,quco,qufa,qumi,qumu,qupr,quru,qusp,quve,romu,rops,rual,rupe,ruph,saal,saca,tiam,ulam,ulru,ulsp,unk,vipr,vire
113,,,3,,,,7,,6,,,4,1,,1,1,,,,,1,,,,,5,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
114,,,,,,,,,3,,,3,3,1,3,,,,,,,,,,,8,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,2,,
115,,,,,,,,,2,,,4,3,,1,,,,,,2,,,,,8,,,,,,,,,,6,,9,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
116,,,,,,1,1,,,,,9,,,4,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,
117,,,,,,1,,,5,2,,3,,,2,3,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,
118,,,1,,,,,,10,,,2,5,,4,3,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
119,,,,,,2,,,3,,,2,3,,2,,,,,,6,,,,,,,,1,,,,,,,7,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
120,,,,,,,,,5,1,,3,1,,2,,,,,,4,,,,,,1,,,,2,,,,,2,,3,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
121,,,1,,,,,,2,,,2,2,,3,1,,,,,2,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,1,,1,
122,,,1,,,,,,8,,,2,,,3,,1,,,,,,,,,,2,1,,,4,,,,1,1,,6,,,,,,,,,,,,,,1,,,,,,,,,,,7,1,,,,,
123,,,1,,,,,,12,,,1,,,,,,,,,1,,,,,,1,2,,,4,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,1,
124,,,2,,,,,,5,,,,,,1,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,2,
125,,,,,,,2,,1,,,,,,,,3,,,,,,,,,,6,,2,,,,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,5,
126,,,5,,,,,,2,,,,,,,,,,,,,,,,,1,9,,1,,,,,,5,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,
127,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,2,,2,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
