quadrat,acne,acpl,acru,acsp,aial,amar,astr,beth,caca,caco,cade,cagl,caovl,casp,cato,ceca,ceoc,chvi,coal,coam,cofl,crpr,crsp,divi,elum,fagr,fram,frni,frpe,frsp,havi,ilve,juci,juni,libe,litu,loma,nysy,pato,pipu,pist,pivi,ploc,prav,prpe,prse,qual,quco,qufa,qumi,qumu,qupr,quru,qusp,quve,romu,rops,rual,rupe,ruph,saal,saca,tiam,ulam,ulru,ulsp,unk,vipr,vire
528,,,1,,,,,,,,,3,3,,1,,,,,,1,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,1,3,,8,5,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
530,,,,,,,,,,1,,1,1,,4,3,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
531,,,,,,,,,,,,3,2,,7,,,,,,2,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,
532,,,,,,,,,,,,3,2,,1,2,,,,,4,,,,,,,,,,,,,,,8,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
601,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,,5,1,,,,,,,,,,,5,,,,,2,1,,1,,,,,,,,,,4,1,,,
602,,,1,,,2,,,1,,,5,,,3,1,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,2,,,,,,,,4,,,,,,,,,1,,,,2,,,,
603,,,,,,3,,,,,,11,,1,11,4,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,4,,,1,,,,,2,2,,,,,,,,,,,,1,,,1,
604,,,,,,2,,,4,,,8,,,3,1,,,,,1,,,,,,1,,,,3,,,,,3,,1,,,,,,,,2,1,,,,,,,,,,,,,,10,,,,,,,,
605,,,,,,,,,7,,,4,2,,3,,,,,,1,,,,,3,,,,,18,,,,,6,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
606,,,,,,3,,,4,,,3,1,,2,,,,,,3,,,,,2,,,,,3,,,,,12,,2,,,,,,,,,2,,,,,1,1,,,,,,,,,,,,,,,,
607,,,,,,2,,,4,,,7,1,,3,,,,,,2,,,,,7,,,,,,,,,,1,,2,,,,,,,,,1,,,,,4,1,,1,,,,,,,,,,,,,,
608,,,,,,5,,,3,,,12,2,,9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,,,,,,,,1,,,,,,,,
609,,,1,,3,2,,,25,,,6,1,1,4,,,,,,4,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,
610,,,,,,,5,,13,,,2,,,1,1,,,,,1,,,,,,1,,,,1,,,,4,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,
611,,,,,,1,12,,12,,,1,,,5,,,,,,1,,,,,1,1,,,,1,,,,,1,,2,,,,,,,,,2,,,,,,4,,1,,,,,,,,,,,,,,
612,,,,,,,,,4,2,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,
613,,,2,,,,1,,5,,,2,,,,,,,,,1,,,,,,1,,,,,,,,2,4,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,
614,,,1,,,,1,,11,2,,,,,,,,,,,,,,,,2,1,1,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
615,,,,,,,,,12,1,,1,,,,1,,,,,1,,,,,6,,,,,1,,,1,1,3,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,
616,,,,,,,6,,11,,,,,,3,,,,,,,,,,,2,2,,,,2,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,
617,,,2,,,3,,,,,,13,1,,12,1,,,,,4,,,,,2,1,,,,1,,,,,,,5,,,,,,,,,1,,,,,,1,,3,,,,,,,,,,,,,,
618,,,,,,2,,,2,,,8,,,1,1,,,,,2,,,,,4,,,,,,,,,,5,,3,,,,,,,,,3,,,,,1,1,,,,,,,,,,,,,,,,
619,,,,,,3,,,3,,,7,,,10,,,,,,1,,,,,2,,,,,,,,,,2,,5,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
620,,,1,,,,,,8,,,2,1,,4,3,,,,,2,,,,,,,,,,,,,,,2,,5,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
621,,,,,,,,,2,,,5,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,14,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,
622,,,,,,3,,,5,,,13,1,,10,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,
623,,,1,,,2,,,8,,,6,2,,5,,,,,,,,,,,1,1,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,5,,,1,2,,,,,3,,,,,1,1,,,,,,,,,9,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,2,,,2,,,,,,1,,,,,,,,,,,,,,,6,,2,,,,,,,,,1,,,,,,3,,1,,,,,,,,,,1,,,,
626,,,,,,,,,,,,9,1,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,5,,,5,,,3,,,,,,,,,,,,,,,,,,,,,12,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
628,,,,,,1,,,,,,6,,,4,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,1,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
630,,,,,,,,,,,,2,,,2,4,,,,,,,,,,,3,,,,,,,,,3,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
631,,,,,,,,,,,,1,,,3,5,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
632,,,,,,,,,,,,2,,,4,1,,,,,2,,,,,,,,,,,,,,,1,,8,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,
701,,,2,,,,,,,3,,3,,,2,,,,,,11,,,,,3,2,,,,,,,,,,1,,,,,,,1,,,4,,,,,,,,4,,,,,,,,,,,,,,
702,,,,,,5,,,1,,,1,,,3,4,,,,,1,,,,,4,,,,,,,,1,4,2,,4,,,,,,,,,3,,,,,1,,,3,,,,,,,,,,1,,,,
703,,,,,,4,,,2,,,5,,,2,2,1,,,,,,,,,,,,,,,,,,10,5,,7,,,,,,2,,1,1,,,,,,,,,,,,,,3,,,,11,,1,1,
704,,,,,,1,,,,,,5,2,,1,,,,,,2,,,,,,,,,,23,,,,,2,,2,,,,,,,,,,,,,,2,1,,,,,,,,,,,,2,,,,
705,,,,,,,,,1,,,2,,,,1,,,,,2,,,,,,,,,,34,,,1,2,4,,,,,,,,,,,,,,,,2,1,,,,,,,,2,,,,1,,,,
706,,,,,,,,,,,,3,2,,,,,,,,1,,,,,,,,,,31,,,,,5,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,
707,,,4,,,,,,4,,,2,,,2,,,,,,9,,,,,2,,,,,6,,,,1,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
708,,,2,,,,,,5,,,6,,,8,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,4,,,1,,,,,,,,,,1,,1,,
709,,,,,,,,,26,,,2,1,,5,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
710,,,2,,,,,,21,,,5,,,3,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
711,,,1,,,,1,,19,,,,,,4,,,,,,2,,,,,1,,,,,,,,,,1,,2,,,,,,,,,4,,,,,1,1,,1,,,,,,,,,,,,,,
712,,,,,,2,,,7,,,3,2,,7,,,,,,1,,,,,4,,,,,,,,,,4,,2,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,
713,,,,,,2,,,7,,1,1,1,,4,,,,,,1,,,,,2,,,,,,,,,,6,,2,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,
714,,,,,,,,,6,,,,1,,4,1,,,,,1,,,,,,,,,,1,,,,,5,,4,,,,,,,,,,,,,,,2,,1,,,,,,,,1,,1,,,,
715,,,2,,,,2,,3,,,,,,1,1,,,,,1,,,,,1,2,,,,1,,,,,3,,1,,,,,,,,,3,,,,,,,,,,,,,,,,1,,1,,,1,
716,,,,,,,,,11,3,,1,,,,1,,,,,,,,,,1,1,,,,1,,,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,
717,,,,,,5,,,1,,,12,3,,7,,,,,,2,,,,,4,,,,,4,,,,,1,,14,,,,,,,,,,,,,,1,5,,3,,,,,,,,,,,,,,
718,,,2,,,4,,,,,,10,,,5,,,,,,4,,,,,2,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,4,,3,,,,,,,,,,,,,,
719,,,1,,,,,,1,,,10,1,,8,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
720,,,1,,,,,,,,,15,2,,5,1,,,,,1,,,,,1,,,,,,,,,,2,,9,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,
721,,,3,,,,,,,1,,7,,,3,,,,,,3,,,,,,,,,,,,,,,6,,5,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
722,,,,,,1,,,,1,,11,1,,3,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,
723,,,1,,,,,,,,,,3,,7,1,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,
724,,,,,,,,,,,,2,1,,3,,,,,,3,,,,,,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,7,,3,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
726,,,,,,,,,,,,3,1,,2,1,,,,,2,,,,,,,,,,,,,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
727,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,12,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
728,,,1,,,,,,,,,2,2,,3,2,,,,,2,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,
729,,,,,,,,,,,,,1,,1,4,,,,,1,,,,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,
730,,,,,,,1,,,,,1,1,,,9,,,,,,,,,,,,,,,,,,1,1,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,
731,,,,,,,1,,,,,1,,,3,3,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,,,,,,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
801,,,1,,,,,,1,3,,3,,,,1,,,,,5,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,1,1,
802,1,,,,,1,,,,1,,6,,,4,5,,,,,,,,,,1,1,,,,,,,,11,2,,1,,,,,,7,,14,1,,,,,,,,5,,,,,,5,,,,1,,,,
803,,,,,,5,,,1,,,5,1,,2,,,,,,,,,,,,,,,,,,,,4,2,,12,,,,,,,,,,,,,,,1,,6,,,,,,,,,,3,,,5,
804,,,1,,,1,,,21,,,4,,,,6,,,,,2,,,,,1,,,,,,,,,2,4,,20,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,5,
805,,,1,,,1,,,14,,,1,,,,,,,,,1,,,,,,,,,,13,,,,3,11,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,
806,,,,,,,,,19,2,,6,1,,,4,,,,,1,,,,,,,,,,11,,,,8,4,,3,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,1,
807,,,1,,,,,,29,3,,6,,,2,,,,,,,,,,,,1,,,,4,,,,11,2,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,1,1,,,2,
808,,,,,,1,,,28,1,,5,,1,3,,,,,,2,,,,,,1,,,,,,,,1,2,,,,,,,,,,,1,,,,,5,1,,,,,,,,,,,,,,,,
809,,,2,,,,,,34,,,6,2,,2,,,,,,,,,,,,1,,,,,,,,,3,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
810,,,,,,,,,22,1,,5,,,6,,,,,,,,,,,1,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,,1,,,,,,10,,,5,3,,8,,,,,,,,,,,1,1,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
812,,,4,,,1,,,6,,,3,,,5,,,,,,1,,,,,1,,,,,,,,,,12,,6,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
813,,,3,,,,,,6,,,6,2,1,9,,,,,,1,,,,,1,,,,,,,,,1,5,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,
814,,,,,,1,,,3,,,3,,1,6,,,,,,1,,,,,,,,,,6,,,,,5,,3,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,
815,,,2,,,,,,7,1,,1,,,2,,,,,,1,,,,,,1,,1,,5,,,,,4,,3,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,4,3,,,
816,,,3,,,,,,6,1,,,,,,,,,,,,,,,,,3,2,,,2,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,
817,,,5,,,3,,,5,,,,1,,1,1,,,,,2,,,,,1,,,,,8,,,,,3,,14,,,,,,,,,3,,,,,,1,,1,,,,,,,,,,,,,,
818,,,,,,3,,,,,,11,,,1,,,,,,4,,,,,,,,,,1,,,,,,,7,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,,,,
819,,,3,,,5,,,,,,9,4,,2,,,,,,2,,,,,,,,,,1,,,,,,,3,,,,,,,,,2,,,,,,5,,1,,,,,,,,,,,,,,
820,,,4,,,1,,,,,,5,,,1,1,,,,,3,,,,,,1,,,,,,,,,1,,3,,,,,,,,,4,,,,,,2,,,,,,,,,,1,,1,,,,
821,,,,,,2,,,,1,,8,,,1,1,,,,,3,,,,,,,,,,,,,,,,,13,,,,,,,,,3,,,,,,1,,1,,,,,,,,,,1,,,,
822,,,,,,,,,,,,6,,,2,1,,,,,,,,,,,,,,,,,,,,8,,6,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,4,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
824,,,,,,,,,,,,2,,1,2,2,,,,,,,,,,,,,,,,,,,,6,,5,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
825,,,2,,,1,,,,,,2,,,3,,,,,,2,,,,,,,,,,,,,,,7,,7,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
826,,,,,,,,,,,,9,,,1,,,,,,,,,,,,1,,,,,,,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,,,1,,,,,,,,,5,2,,1,,,,,,3,,,,,,,,,,,,,,,7,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
828,,,2,,,,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,9,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
829,,,1,,,,,,,,,2,,,3,2,,,,,,,,,,1,1,,,,,,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,
830,,,,,,,,,,1,,1,,,3,4,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
831,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
832,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,
901,,,1,,,,,,,5,,4,,,,1,,,,,5,,,1,,,,,,,,,,,45,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,
902,,,2,,,,,,11,,,6,,,3,,,,,,2,,,,,1,,,1,,,,,,52,2,,2,,,,,,,,4,,,,,,,,,2,,,,,,,,,1,5,,,,
903,,,,,,,,,16,,,4,1,,1,5,,,,,,,,,,7,1,,,,,,,,4,5,,1,,,,,,,,1,3,,,,,,,,1,,,,,,,,,,2,,,,
904,,,1,,,,,,95,,,7,,,,2,,,,,,,,,,2,,,,,,,,,6,6,,6,,,,,,,,1,,,,,,,,,1,,,,,,3,,,,1,,1,4,
905,,,,,,,,,70,2,,4,,,2,,,,,,2,,,,,,,,,,,,,,18,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
906,,,1,,,1,,,4,,,2,1,,2,2,,,,,1,,,,,,,,,,,,,,20,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
907,,,1,,,,,,24,,,4,2,,1,3,,,,,,,,,,,,,,,,,,,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
908,,,,,,,,,19,,,7,,,3,,,,,,4,,,,,1,,,,,,,,,15,13,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
909,,,1,,,,,,24,,,1,2,,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
910,,,,,,,,,15,,,3,1,,3,,,,,,1,,,,,2,,,,,,,,,,6,,1,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,
911,,,,,,,,,5,,,7,,,9,,,,,,1,,,,,1,,,,,,,,,,4,,1,,,,,,,,,1,,,,,3,1,,2,,,,,,,,,,,,,,
912,,,,,,1,,,2,,,11,1,,6,,,,,,3,,,,,4,,,,,,,,,,2,,,,,,,,,,,2,,,,,2,,1,1,,,,,,,,,,,,1,,
913,,,,,,,,,1,,,5,2,,8,,,,,,,,,,,1,,,,,,,,,1,4,,1,,,,,,,,,,,,,,1,4,,1,,,,,,,,,,,,,,
914,,,1,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,7,,,,,8,,3,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
915,,,1,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,5,,,,2,3,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
916,,,1,,,,2,,10,1,,,,,,,,,,,,,,,,,,5,,,1,,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,3,
917,,,4,,,,,,12,1,,2,,,,,,,,,,,,1,,2,1,,,,3,,,,,2,,2,,,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,,5,
918,,,3,,,5,,,,,,7,3,,4,2,,,,,2,,,,,,,,,,5,,,,,2,,3,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,
919,,,8,,,1,,,,,,11,1,,6,,,,,,,,,,,,,,,,1,,,,,3,,5,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
920,,,3,,,1,,,,,,16,1,,9,,,,,,1,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,,1,,2,,,,,,1,,,,,,,2,
921,,,1,,,2,,,,,,8,1,,7,,,,,,1,1,,,,,,,,,,,,,,5,,4,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,
922,,,,,,2,,,,,,4,,,4,7,,,,,,,,,,1,,,,,,,,,,2,,22,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,
923,,,1,,,,51,,,,,7,,,2,7,,,,,,,,,,,1,,,,,,,,,2,,10,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,
924,,,,,,,8,,,,,1,1,,1,5,,,,,5,,,,,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
925,,,1,,,,,,,,,3,,,1,1,,,,,3,,,,,,,,,,,,,,,5,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,
926,,,1,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
927,,,,,,,,,,,,1,2,,,2,,,,,1,,,,,,3,,,,,,,,,10,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
928,,,,,,,,,,,,4,2,,1,1,,,,,4,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
929,,,,,,,,,,,,4,,,2,3,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
930,,,,,,,,,,3,,1,,,1,5,,,,,1,,,,,,2,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
931,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
932,,1,2,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1001,,,,,,,,,2,2,,,,,,6,,,,,6,,,,,,1,,,,,,,,151,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,1,1,1,
1002,,,,,,1,,,14,1,,3,,,,9,,,,,5,,,,,,1,,1,,,,,,190,1,2,1,,,,,,,,2,,,,,,,,,1,,,,,,2,,,,5,,,,
1003,,,,,,,,,86,2,,5,,,5,1,,,,,,,,,,,2,,2,,,,,,40,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
1004,,1,,,,,,,72,3,,2,,,1,1,,,,,,,,,,2,1,2,,,,,,,8,7,,,,,,,,,,,,,,,,,5,,2,,,,,,1,,,,,,,1,
1005,,,2,,,,,,12,,,1,,,,4,,,,,5,,,,,,1,,1,,,,,,52,,,3,,,,,,,,,,,,,,,3,,1,,,,,,1,,,,1,1,,13,
1006,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,56,6,,12,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
1007,,,,,,,4,,4,3,,2,,,,3,,,,,,,,,,,,,,,,,,1,34,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,1,,,,8,,15,,,3,1,,7,2,,,,,,,,,,2,,,,,,,,,2,17,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1009,,,,,,,,,11,1,,7,,,6,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1010,,,,,,,,,3,,,3,3,,4,,,,,,3,,,,,2,,,,,,,,,,1,,4,,,,,,1,,,,,,,,2,2,,,,,,,,,,,,,,,,
1011,,,,,,,,,2,,,3,1,,8,,,,,,2,,,,,1,1,,,,,,,,,5,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
1012,,,,,,2,,,1,,,7,,,18,,,,,,1,,,,,2,,,,,,,,,,4,,3,,,,,,,,,1,,,,,,1,,3,,,,,,1,,,,,,,,
1013,,,1,,,1,,,1,,,6,,,6,,,,,,3,,,,,5,,,,,,,,,,3,,1,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,
1014,,,,,,,,,1,,,2,,1,1,,,,,,4,,,,,1,,,,,10,,,,,6,,6,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
1015,,,1,,,,3,,3,1,,,,1,,1,,,,,,,,,,,1,1,,,4,,,,2,2,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,
1016,,,1,,,,33,,3,2,,,,,,2,,,,,,,,,,1,3,,,,3,,,1,2,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,
1017,,,2,,,,57,,1,1,,2,,,,1,,,,,2,,,,,,1,,,,1,,,,,1,,5,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2,
1018,,,,,,,7,,1,,,7,,1,5,2,,,,,,,,,,,,,,,6,,,,,1,,11,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1019,,,3,,,,,,,1,,3,1,,4,,,,,,,,,,,1,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
1020,,,2,,,2,,,,,,16,1,,9,,,,,,1,,,,,1,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,1,,20,5,,11,,,,,,1,,,,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,1,,,,1,,6,1,,3,1,,,,,,,,,,,1,,,,,,,,,,,3,,,1,,,,,,6,,,,,,,,3,,,,,,,,,,,,,,
1023,,,,,,,11,,,,,1,,,,8,,,,,1,,,,,,2,,,,,,,,,3,,2,,,4,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
1024,,,1,,,,,,1,,,10,1,,6,2,,,,,1,,,,,,,,,,,,,,,3,,5,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,2,
1025,,,,,,,1,,,,,2,1,,1,,,,,,1,,,,,,,,,,,,,,,4,,11,,,,,,2,,,4,,,,,,,,1,,,,,,,,,,,,,1,
1026,,,,,,,5,,,,,2,1,,2,1,,,,,5,,,,,,,,,,,,,,,3,,7,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,2,
1027,,,,,,1,,,,,,5,,,3,,,,,,2,,,,,,,,,,,,,,,3,,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,,2,,,,,,,9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,
1029,,,,,,,,,,,,2,,,1,2,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
1030,,,1,,,,,,,,,3,,,1,3,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
1032,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
1101,,,1,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,213,6,,,,,,,,,,,,,,,,,1,,,1,,,,,17,,2,,3,,2,,
1102,1,,1,,,,27,,3,,,,,,,4,,,,,1,,,,,,3,,,,,,1,,177,3,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,4,,4,,
1103,,,1,,,,1,,8,5,,1,1,,,8,,,,,2,,,,,4,2,,,,,,,,137,,1,1,,,,,,1,,,,,,,,,1,,,,,,,,5,,,,3,,2,,
