"tag","coreID","sp","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
12475,"12475A","frpe",2.115,1.337,1.37,1.001,1.111,1.48,1.872,1.431,1.22,1.189,0.93,0.982,0.893,0.63,0.634,0.809,0.732,0.779,0.779,0.841,1.1,0.699,0.887,0.891,0.908,0.815,0.611,0.832,0.64,0.551,0.638,0.628,0.539,0.736,0.62,0.614,0.652,0.453,0.472,0.46,0.41,0.466,0.186,0.337,0.251,0.209,0.257,0.212,0.269,0.18,0.148,0.239,0.107,0.259,NA,NA
12475,"12475B","frpe",NA,NA,NA,NA,NA,NA,NA,NA,2.012,1.1,1.159,1.735,1.584,1.655,1.154,0.922,0.636,0.756,0.805,0.34,0.551,0.423,0.795,0.703,0.544,0.691,0.924,0.828,0.815,0.527,0.671,0.614,0.409,0.548,0.437,0.223,0.278,0.246,0.256,0.295,0.421,0.277,0.198,0.298,0.233,0.263,0.224,0.179,0.243,0.275,0.282,0.255,0.174,0.131,0.181,0.2
