"sp","Latin","Genus","Species","Family","SpeciesID","Authority","IDLevel","syn","subsp"
"acne","Acer negundo","Acer","negundo","Sapindaceae",1,NA,"species",NA,NA
"acpl","Acer platanoides","Acer","platanoides","Sapindaceae",2,NA,"species",NA,NA
"acru","Acer rubrum","Acer","rubrum","Sapindaceae",3,NA,"species",NA,NA
"acsp","Acer sp","Acer","sp","Sapindaceae",4,NA,"multiple",NA,NA
"aial","Ailanthus altissima","Ailanthus","altissima","Simaroubaceae",5,NA,"species",NA,NA
"amar","Amelanchier arborea","Amelanchier","arborea","Rosaceae",6,NA,"species",NA,NA
"astr","Asimina triloba","Asimina","triloba","Annonaceae",7,NA,"species",NA,NA
"beth","Berberis thunbergii","Berberis","thunbergii","Berberidaceae",8,NA,"species",NA,NA
"caca","Carpinus caroliniana","Carpinus","caroliniana","Betulaceae",9,NA,"species",NA,NA
"caco","Carya cordiformis","Carya","cordiformis","Juglandaceae",10,NA,"species",NA,NA
"cade","Castanea dentata","Castanea","dentata","Fagaceae",11,NA,"species",NA,NA
"cagl","Carya glabra","Carya","glabra","Juglandaceae",12,NA,"species",NA,NA
"caovl","Carya ovalis","Carya","ovalis","Juglandaceae",13,NA,"species",NA,NA
"casp","Carya sp","Carya","sp","Juglandaceae",14,NA,"multiple",NA,NA
"cato","Carya tomentosa","Carya","tomentosa","Juglandaceae",15,NA,"species",NA,NA
"ceca","Cercis canadensis","Cercis","canadensis","Fabaceae",16,NA,"species",NA,NA
"ceoc","Celtis occidentalis","Celtis","occidentalis","Cannabaceae",17,NA,"species",NA,NA
"chvi","Chionanthus virginicus","Chionanthus","virginicus","Oleaceae",18,NA,"species",NA,NA
"coal","Cornus alternifolia","Cornus","alternifolia","Cornaceae",19,NA,"species",NA,NA
"coam","Corylus americana","Corylus","americana","Betulaceae",20,NA,"species",NA,NA
"cofl","Cornus florida","Cornus","florida","Cornaceae",21,NA,"species",NA,NA
"crpr","Crataegus pruinosa","Crataegus","pruinosa","Rosaceae",22,NA,"species",NA,NA
"crsp","Crataegus sp","Crataegus","sp","Rosaceae",23,NA,"multiple",NA,NA
"divi","Diospyros virginiana","Diospyros","virginiana","Ebenaceae",24,NA,"species",NA,NA
"elum","Elaeagnus umbellata","Elaeagnus","umbellata","Elaeagnaceae",25,NA,"species",NA,NA
"eual","Euonymus alatus","Euonymus","alatus","Celastraceae",72,"(Thunb.) Siebold","species",NA,NA
"fagr","Fagus grandifolia","Fagus","grandifolia","Fagaceae",26,NA,"species",NA,NA
"fram","Fraxinus americana","Fraxinus","americana","Oleaceae",27,NA,"species",NA,NA
"frni","Fraxinus nigra","Fraxinus","nigra","Oleaceae",28,NA,"species",NA,NA
"frpe","Fraxinus pennsylvanica","Fraxinus","pennsylvanica","Oleaceae",29,NA,"species",NA,NA
"frsp","Fraxinus sp","Fraxinus","sp","Oleaceae",30,NA,"multiple",NA,NA
"havi","Hamamelis virginiana","Hamamelis","virginiana","Hamamelidaceae",31,NA,"species",NA,NA
"ilve","Ilex verticillata","Ilex","verticillata","Aquifoliaceae",32,NA,"species",NA,NA
"juci","Juglans cinerea","Juglans","cinerea","Juglandaceae",33,NA,"species",NA,NA
"juni","Juglans nigra","Juglans","nigra","Juglandaceae",34,NA,"species",NA,NA
"juvi","Juniperus virginiana","Juniperus","virginiana","Cupressaceae",35,NA,"species",NA,NA
"libe","Lindera benzoin","Lindera","benzoin","Lauraceae",36,NA,"species",NA,NA
"litu","Liriodendron tulipifera","Liriodendron","tulipifera","Magnoliaceae",37,NA,"species",NA,NA
"loma","Lonicera maackii","Lonicera","maackii","Caprifoliaceae",38,NA,"species",NA,NA
"nysy","Nyssa sylvatica","Nyssa","sylvatica","Nyssaceae",39,NA,"species",NA,NA
"pato","Paulownia tomentosa","Paulownia","tomentosa","Paulowniaceae",40,NA,"species",NA,NA
"pipu","Pinus pungens","Pinus","pungens","Pinaceae",41,NA,"species",NA,NA
"pist","Pinus strobus","Pinus","strobus","Pinaceae",42,NA,"species",NA,NA
"pivi","Pinus virginiana","Pinus","virginiana","Pinaceae",43,NA,"species",NA,NA
"ploc","Platanus occidentalis","Platanus","occidentalis","Platanaceae",44,NA,"species",NA,NA
"prav","Prunus avium","Prunus","avium","Rosaceae",45,NA,"species",NA,NA
"prpe","Prunus persica","Prunus","persica","Rosaceae",46,NA,"species",NA,NA
"prse","Prunus serotina","Prunus","serotina","Rosaceae",47,NA,"species",NA,NA
"prsp","Prunus sp","Prunus","sp","Rosaceae",48,NA,"multiple",NA,NA
"qual","Quercus alba","Quercus","alba","Fagaceae",49,NA,"species",NA,NA
"quco","Quercus coccinea","Quercus","coccinea","Fagaceae",50,NA,"species",NA,NA
"qufa","Quercus falcata","Quercus","falcata","Fagaceae",51,NA,"species",NA,NA
"qumi","Quercus michauxii","Quercus","michauxii","Fagaceae",52,NA,"species",NA,NA
"qupr","Quercus prinus","Quercus","prinus","Fagaceae",54,NA,"species",NA,NA
"quru","Quercus rubra","Quercus","rubra","Fagaceae",55,NA,"species",NA,NA
"qusp","Quercus sp","Quercus","sp","Fagaceae",56,NA,"multiple",NA,NA
"quve","Quercus velutina","Quercus","velutina","Fagaceae",57,NA,"species",NA,NA
"rhpe","Rhododendron periclymenoides","Rhododendron","periclymenoides","Ericaceae",74,NA,"species",NA,NA
"romu","Rosa multiflora","Rosa","multiflora","Rosaceae",58,NA,"species",NA,NA
"rops","Robinia pseudoacacia","Robinia","pseudoacacia","Fabaceae",59,NA,"species",NA,NA
"rual","Rubus allegheniensis","Rubus","allegheniensis","Rosaceae",60,NA,"species",NA,NA
"rupe","Rubus pensilvanicus","Rubus","pensilvanicus","Rosaceae",61,NA,"species",NA,NA
"ruph","Rubus phoenicolasius","Rubus","phoenicolasius","Rosaceae",62,NA,"species",NA,NA
"saal","Sassafras albidum","Sassafras","albidum","Lauraceae",63,NA,"species",NA,NA
"saca","Sambucus canadensis","Sambucus","canadensis","Adoxaceae",64,NA,"species",NA,NA
"tiam","Tilia americana","Tilia","americana","Malvaceae",65,NA,"species",NA,NA
"ulam","Ulmus americana","Ulmus","americana","Ulmaceae",66,NA,"species",NA,NA
"ulru","Ulmus rubra","Ulmus","rubra","Ulmaceae",67,NA,"species",NA,NA
"ulsp","Ulmus sp","Ulmus","sp","Ulmaceae",68,NA,"multiple",NA,NA
"unk","Unidentified unk","Unidentified","unk","Unknown",69,NA,"multiple",NA,NA
"viac","Viburnum acerifolium","Viburnum","acerifolium","Adoxaceae",73,"L.","species",NA,NA
"vipr","Viburnum prunifolium","Viburnum","prunifolium","Adoxaceae",70,NA,"species",NA,NA
"vire","Viburnum recognitum","Viburnum","recognitum","Adoxaceae",71,NA,"species",NA,NA
