treeid,stemid,tag,stemtag,quadratname,lx,ly,px,py
18062,34660,131136,2,1311,0.8,0.1,240.8,200.10001
18065,34661,131139,2,1311,3.6,2.1,243.60001,202.10001
18068,34662,131143,2,1311,4.1,5.5,244.10001,205.5
18069,34663,131144,2,1311,1.8,6.9,241.8,206.89999
18071,34664,131146,2,1311,10.2,8,250.2,208
18076,34665,131151,2,1311,4.4,16.2,244.39999,216.2
18078,34666,131153,2,1311,0.5,15.7,240.5,215.7
18130,34667,131205,2,1311,18.1,11.3,258.10001,211.3
18134,34668,131382,2,1311,13.5,9.3,253.5,209.3
18147,34669,131222,2,1313,15.9,4.3,255.89999,244.3
18151,34670,131226,2,1313,18.3,11.7,258.29999,251.7
18159,34671,131234,2,1314,16.1,0.1,256.10001,260.10001
18162,34672,131237,2,1314,12.3,5.3,252.3,265.29999
18166,34673,131241,2,1314,13.2,8.7,253.2,268.70001
18167,34674,131242,2,1314,12.2,9.8,252.2,269.79999
18168,34675,131243,2,1314,12.5,11.5,252.5,271.5
18171,34676,131246,2,1314,12.5,12.1,252.5,272.10001
18175,34677,131250,2,1314,14.4,12,254.39999,272
18183,34678,131258,2,1314,11.3,16.9,251.3,276.89999
18184,34679,131259,2,1314,13,15.9,253,275.89999
18187,34680,131262,2,1314,9.4,16.4,249.39999,276.39999
18188,34681,131263,2,1314,9,16.8,249,276.79999
18190,34682,131265,2,1314,10.8,19,250.8,279
18194,34683,131271,2,1315,15,2.2,255,282.20001
18197,34684,131274,2,1315,16.7,3.8,256.70001,283.79999
18201,34685,131278,2,1315,12.8,4,252.8,284
18202,34686,131279,2,1315,11.3,7.7,251.3,287.70001
18208,34687,131285,2,1315,10.1,4.3,250.10001,284.29999
18219,34688,131296,2,1315,18.5,11.2,258.5,291.20001
18220,34689,131297,2,1315,19,4.7,259,284.70001
18228,34690,131305,2,1314,6.8,14.9,246.8,274.89999
18231,34691,131308,2,1314,5.8,19.1,245.8,279.10001
18232,34692,131309,2,1315,1.5,0.8,241.5,280.79999
18233,34693,131310,2,1315,0.7,2.6,240.7,282.60001
18245,34694,131322,2,1315,6.9,10.2,246.89999,290.20001
18250,34695,131327,2,1315,3.6,11.6,243.60001,291.60001
18260,34696,131337,2,1315,0.4,19.9,240.39999,299.89999
18267,34697,131345,2,1315,15.5,14.7,255.5,294.70001
18272,34698,131350,2,1316,5.5,1,245.5,301
18274,34699,133461,2,1316,5.5,3.3,245.5,303.29999
18282,34700,131360,2,1316,11.9,10.7,251.89999,310.70001
18294,34701,131373,2,1316,15,19.1,255,319.10001
18304,34702,131401,2,1315,9.7,9.8,249.7,289.79999
18305,34703,131402,2,1316,18.2,1.1,258.20001,301.10001
18307,34704,131404,2,1316,17.2,2.2,257.20001,302.20001
18309,34705,131406,2,1316,15.3,2.3,255.3,302.29999
18311,34706,131408,2,1316,15.3,3.9,255.3,303.89999
18313,34707,131410,2,1316,14.3,1.6,254.3,301.60001
18321,34708,131418,2,1316,15.1,7.8,255.10001,307.79999
18322,34709,131419,2,1316,14.2,9.2,254.2,309.20001
18326,34710,131423,2,1316,18.5,9.8,258.5,309.79999
18329,34711,131426,2,1316,16.1,14.1,256.10001,314.10001
18336,34712,131433,2,1316,15.7,17,255.7,317
18340,34713,131437,2,1316,16.9,18.8,256.89999,318.79999
18355,34714,132013,2,1317,15.2,18.3,255.2,338.29999
18362,34715,132021,2,1317,19.8,14.4,259.79999,334.39999
18373,34716,132032,2,1318,2.1,2.5,242.10001,342.5
18381,34717,132041,2,1318,1.6,8.2,241.60001,348.20001
18382,34718,132042,2,1318,3.6,11.2,243.60001,351.20001
18388,34719,132049,2,1318,4.1,11.4,244.10001,351.39999
18423,34720,132086,2,1319,19.9,19.1,259.89999,379.10001
18443,34721,132107,2,1317,17.3,2.5,257.29999,322.5
18446,34722,132110,2,1317,19.5,1.9,259.5,321.89999
18453,34723,132117,2,1317,11.8,6.7,251.8,326.70001
18455,34724,132119,2,1318,10.3,3.9,250.3,343.89999
18456,34725,132120,2,1318,11,1.2,251,341.20001
18458,34726,132123,2,1318,13.8,3,253.8,343
18460,34727,132125,2,1318,18.8,4,258.79999,344
18461,34728,132126,2,1318,17.8,4.8,257.79999,344.79999
18463,34729,132129,2,1318,18.4,9.5,258.39999,349.5
18469,34730,132136,2,1318,12.9,12.6,252.89999,352.60001
18489,34731,132159,2,1319,14.5,9.1,254.5,369.10001
18490,34732,132160,2,1319,14.9,8.3,254.89999,368.29999
18493,34733,132163,2,1319,14.8,10.6,254.8,370.60001
18515,34734,132186,2,1321,16.4,3.9,256.39999,403.89999
18523,34735,132197,2,1321,18.4,15.5,258.39999,415.5
18530,34736,132204,2,1320,6.6,12.6,246.60001,392.60001
18752,34737,132438,2,1328,4.4,16.6,244.39999,556.59998
18778,34738,132464,2,1331,8.8,6.7,248.8,606.70001
18807,34739,132514,2,1328,7.6,19.8,247.60001,559.79999
18808,34740,132515,2,1328,6.7,19.3,246.7,559.29999
18843,34741,140002,2,1401,19.5,0.9,279.5,0.9
18845,34742,140004,2,1401,19.7,1.3,279.70001,1.3
18850,34743,140009,2,1401,16.6,1.3,276.60001,1.3
18867,34744,140026,2,1401,13.2,3.2,273.20001,3.2
18902,34745,140063,2,1401,19.4,7.9,279.39999,7.9
18909,34746,140070,2,1401,15.8,18.8,275.79999,18.8
18918,34747,140081,2,1402,17.4,0.2,277.39999,20.2
18937,34748,140100,2,1402,13.7,2.7,273.70001,22.7
18954,34749,140118,2,1402,9.6,6.3,269.60001,26.3
18956,34750,140120,2,1402,8.6,7,268.60001,27
18957,34751,140121,2,1402,10.7,5.5,270.70001,25.5
18961,34752,140126,2,1402,11.3,5.4,271.29999,25.4
18973,34753,140139,2,1402,13.6,4.6,273.60001,24.6
18976,34754,140142,2,1402,16,4.3,276,24.3
19007,34755,140173,2,1402,10.9,8.2,270.89999,28.2
19020,34756,140186,2,1402,14.4,6.6,274.39999,26.6
19026,34757,140192,2,1402,15.1,7,275.10001,27
19030,34758,140196,2,1402,17.6,6.7,277.60001,26.7
19035,34759,140202,2,1401,3.4,1.4,263.39999,1.4
19052,34760,140219,2,1401,10.8,8.5,270.79999,8.5
19061,34761,140229,2,1401,9.8,4.4,269.79999,4.4
19088,34762,140256,2,1401,13.1,18.7,273.10001,18.7
19101,34763,140269,2,1401,2.2,17.5,262.20001,17.5
19111,34764,140280,2,1402,1.6,4.3,261.60001,24.3
19112,34765,140281,2,1402,0.3,5.4,260.29999,25.4
19113,34766,140282,2,1402,7.8,2.6,267.79999,22.6
19121,34767,140290,2,1402,7.6,5.6,267.60001,25.6
19124,34768,140293,2,1402,6.1,5.8,266.10001,25.8
19128,34769,140297,2,1402,4.6,6.8,264.60001,26.8
19132,34770,140301,2,1402,2.8,8,262.79999,28
19136,34771,140305,2,1402,3.6,9.4,263.60001,29.4
19164,34772,140334,2,1402,8.3,12,268.29999,32
19202,34773,140379,2,1402,14.3,9.8,274.29999,29.8
19203,34774,140380,2,1402,15.6,10.6,275.60001,30.6
19207,34775,140384,2,1402,16.1,12,276.10001,32
19222,34776,140400,2,1402,16,14,276,34
19230,34777,140408,2,1402,19.3,7.6,279.29999,27.6
19233,34778,140411,2,1402,19,7.7,279,27.7
19243,34779,140423,2,1402,17.5,11.6,277.5,31.6
19248,34780,140428,2,1402,20,9.4,280,29.4
19311,34781,140499,2,1406,2.6,2.4,262.60001,102.4
19327,34782,140515,2,1406,14.6,4.5,274.60001,104.5
19332,34783,140520,2,1406,17.1,5.5,277.10001,105.5
19333,34784,140521,2,1406,16.8,6,276.79999,106
19339,34785,140528,2,1406,11.8,4.8,271.79999,104.8
19341,34786,140530,2,1406,12.1,5.6,272.10001,105.6
19352,34787,140542,2,1406,10.1,11.5,270.10001,111.5
19354,34788,140544,2,1406,9.4,12.6,269.39999,112.6
19359,34789,140549,2,1406,12.1,10.8,272.10001,110.8
19369,34790,140561,2,1406,8.6,13.2,268.60001,113.2
19372,34791,140564,2,1406,10.1,16.9,270.10001,116.9
19373,34792,140565,2,1406,10.4,16.9,270.39999,116.9
19378,34793,140570,2,1406,14.4,17.4,274.39999,117.4
19381,34794,140573,2,1406,19.1,16.5,279.10001,116.5
19385,34795,140577,2,1406,18,19.6,278,119.6
