FAMILY,SCIENTIFIC NAME,COMMON NAME,life_form
Acanthaceae ,Ruellia strepens,limestone wild petunia,herbaceous
Adoxaceae,Sambucus canadensis,American black elderberry,woody
Adoxaceae,Sambucus pubens,Red elderberry,woody
Adoxaceae,Viburnum acerifolium,Mapleleaf viburnum,woody
Adoxaceae,Viburnum prunifolium,Black haw,woody
Adoxaceae,Viburnum recognitum,Southern arrowood,woody
Amarillidaceae,Hypoxia hirsuta,common goldstar,herbaceous
Anacardiaceae,Toxicodendron radicans,poison ivy,herbaceous
Annonaceae,Asimina triloba,Pawpaw,woody
Apiaceae,Apiaceae sp.,parsely family,herbaceous
Apiaceae,Cryptotaenia canadensis,Canadian honewort,herbaceous
Apiaceae,Osmorhiza claytonii,clayton's sweetroot,herbaceous
Apiaceae,Osmorhiza longistylis ,longstyle sweetroot,herbaceous
Apiaceae,Sanicula canadensis,Canadian blacksnakeroot,herbaceous
Apiaceae,Sanicula odorata ,clustered blacksnakeroot,herbaceous
Apiaceae,Sanicula sp.,snakeroot,herbaceous
Apiaceae,Sanicula trifoliata,trifoliate snakeroot,herbaceous
Apocynaceae,Apocynum sp.,dogbane,herbaceous
Aquifoliaceae,Ilex verticillata,Common winterberry,woody
Araceae,Symplocarpus foetidus,skunk cabbage,herbaceous
Araceae (Arum),Arisaema triphyllum,Jack in the pulpit,herbaceous
Araliaceae,Panax quinquefolius,ginseng,herbaceous
Aristolochiaceae,Aristolochia serpentaria,Virginia snakeroot,herbaceous
Asparagaceae,Maianthemun racemosum,false solomon's seal,herbaceous
Aspleniaceae,Asplenium platyneuron ,ebony spleenwort,ferns
Asteraceae,Antennaria sp.,pussytoes,herbaceous
Asteraceae,Cirsium sp.,thistle,herbaceous
Asteraceae,Eupatorium sp.,,herbaceous
Asteraceae,Eurybia divaricata ,white wood aster,herbaceous
Asteraceae,Eurybia macrophylla,big-leaf aster,herbaceous
Asteraceae,Hieracium sp.,hawkweed,herbaceous
Asteraceae,Hieracium venosum,rattlesnake weed ,herbaceous
Asteraceae,Packera aurea,"Golden Ragwort, Heartleaf Ragwort",herbaceous
Asteraceae,Prenanthes alba,"white lettuce, rattlesnake-root ",herbaceous
Asteraceae,Prenanthes sp.,white lettuce,herbaceous
Asteraceae,Solidago arguta,Atlantic goldenrod,herbaceous
Asteraceae,Solidago caesia ,wreath goldenrod,herbaceous
Asteraceae,Solidago rugosa,wrinkleleaf goldenrod,herbaceous
Asteraceae,Solidago sp.,goldenrod,herbaceous
Asteraceae,Taraxacum officinale,common dandelion,herbaceous
Balsaminaceae ,Impatiens capensis ,jewelweed,herbaceous
Berberidaceae,Berberis thunbergii ,Japanese barberry,woody
Berberidaceae ,Podophyllum peltatum,mayapple,herbaceous
Betulaceae,Carpinus caroliniana,American hornbeam,woody
Betulaceae,Corylus americana,American hazelnut,woody
Boraginaceae,Cynoglossum virginianum,wild comfrey,herbaceous
Boraginaceae ,Hackelia virginiana ,beggar's lice,herbaceous
Brassicaceae,Alliaria petiolata,garlic mustard,herbaceous
Brassicaceae,Barbarea vulgaris,garden yellowrocket,herbaceous
Brassicaceae ,Cardamine rotundifolia,American bittercress,herbaceous
Campanulaceae ,Lobelia inflata,Indian tobacco,herbaceous
Cannabaceae,Celtis occidentalis,Hackberry,woody
Caprifoliaceae,Lonicera japonica,Japanese honeysuckle,woody
Caprifoliaceae,Lonicera maackii,Bush honeysuckle,woody
Caprifoliaceae,Symphoricarpos orbiculatus ,Coralberry,woody
Caryophyllaceae,Paronychia canadensis,smooth forked nailwort,herbaceous
Caryophyllaceae,Stellaria media,common chickweed,herbaceous
Caryophyllaceae,Stellaria pubera,star chickweed,herbaceous
Celastraceae,Celastrus orbiculatus,oriental bittersweet,woody
Celastraceae,Euonymus alatus,Burning bush,woody
Colchicaceae,Uvularia perfoliata ,perfoliate bellwort,herbaceous
Colchicaceae,Uvularia sessilifolia ,sessileleaf bellwort,herbaceous
Commelinaceae,Commelina communis,Asiatic dayflower,herbaceous
Cornaceae,Cornus alternifolia,Alternate leaf dogwood,woody
