family,genus,species,author,spcode,canopy_position,live_form,native_status,habitat,successional_status,drought_tolerance,deer_herbivory,flower_reproduction,fruit_type,dispersal_vector,IUCN_status,References
Pinaceae,Pinus,virginiana,Mill.,pivi,canopy,tree,native,"Dry old fields and forests, rocky woodlands and barrens, cliffs, and outcrop",early succesional,drought-resistant,,Monoecious,Cones,,Least concern,"Weakly et al, 2012 (habitat)"
Platanaceae,Platanus,occidentalis,L.,ploc,canopy,tree,native,"Floodplain forests and swamps, montane alluvial forests, stream banks, flood-scoured rocky bars and shores, and disturbed alluvial habitats",,,,Monoecious,Achenes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Prunus,avium,(L.) L.,prav,canopy,tree,introduced,"Mesic and dry-mesic (occasionally dry) upland forests, old fields",,,,,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Prunus,persica,(L.) Batsch,prpe,canopy,tree,introduced,"Old fields, old homesites, roadsides, and waste ground",,,,,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Prunus,serotina,Ehrh.,prse,canopy,tree,native,Wet to dry forests and woodlands throughout,,,,,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,alba,L.,qual,"canopy, emergent",tree,native,"Mesic to dry mesic upland forest, well drained bottomlands",,,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,coccinea,Münchh.,quco,canopy,tree,native,"Dry to, occasionally, mesic upland forests and woodlands; most characteristic of dry, acidic, nutrient-poor soils",,,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,falcata,Michx.,qufa,canopy,tree,native,"Dry to mesic upland forests and woodlands, mostly acidic and nutrient-poor; occasionally in wet flatwoods and other low, somewhat poorly drained habitats",,,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,michauxii,Nutt.,qumi,canopy,tree,native,"Well-drained floodplain forests, alluvial swamps, tidal swamps, wet flatwoods, and low mesic upland forests.",,,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,muehlenbergii,Engelm.,qumu,canopy,tree,native,"Dry to mesic upland forests and rocky woodlands, usually on soils weathered from calcareous or mafic rock",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,montana,L.,qupr,canopy,tree,native,"Dry to occasionally mesic upland forests, woodlands, and shale barrens",,,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,rubra,L.,quru,"canopy, emergent",tree,native,"Mesic to dry mesic upland forest, mid to high elev.",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,velutina,Lam.,quve,"canopy, emergent",tree,native,Dry to mesic upland forest,,,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
