Tag,Quadrat,DBH.2008.mm,Latin,box.number,clarity.of.sapwood.boundary,sapwood.depth.mm,sapwood.depth.uncertainty.mm,notes
112184,1121,465.9,Carya glabra,T7,1,26.9,0,
112320,1125,355,Carya glabra,T2,1,39.2,0,
112399,1127,164.1,Carya glabra,T3,1,44.4,0,
122159,1221,186.9,Carya glabra,T3,3,,,
122272,1223,338.7,Carya glabra,T2,1,59,0,
122277,1223,154,Carya glabra,T3,3,,,
122407,1226,224.7,Carya glabra,T3,1,60,0,
122458,1226,227,Carya glabra,T3,1,71.1,0,
122459,1226,186.1,Carya glabra,T2,3,,,
122476,1228,189.7,Carya glabra,T2,1,85.7,0,
132158,1319,161.1,Carya glabra,T3,1,27.2,0,
132168,1320,219,Carya glabra,T3,1,46.2,0,
132226,1321,221,Carya glabra,,,,,
132324,1323,231.1,Carya glabra,T3,1,45.5,0,
132459,1330,191.8,Carya glabra,T2,1,19.6,0,
142069,1418,164.9,Carya glabra,T3,4,,,
142246,1420,208.4,Carya glabra,T3,1,57.8,0,
142435,1420,181.5,Carya glabra,T3,1,58,0,
151070,1514,606.6,Carya glabra,T7,1,120,0,
152040,1518,162,Carya glabra,T3,3,,,
152053,1518,210,Carya glabra,T3,1,35.8,0,
152690,1531,274.1,Carya glabra,,,,,
152718,1532,315.6,Carya glabra,T2,1,38.1,0,
162431,1626,163.3,Carya glabra,T3,1,46.1,0,Mismatched species
172006,1717,293.7,Carya glabra,T3,1,6.6,0,
172218,1718,151.8,Carya glabra,T3,4,,,
182272,1821,155.6,Carya glabra,T3,1,48.8,0,Mismatched species
122489A,1229,180,Carya glabra,T2,3,,,
122489B,1229,274.4,Carya glabra,T3,1,31.3,0,
192625A,1926,210.2,Carya glabra,T3,1,17.5,0,
192625B,1926,159.4,Carya glabra,T3,1,22.7,0,
10653,114,159.2,Carya ovalis,T3,1,20.9,0,
10705,113,327.8,Carya ovalis,T2,1,47.8,0,
12072,119,240.2,Carya ovalis,T2,1,22.4,0,
22363,226,165,Carya ovalis,T3,1,51.7,0,
30219,305,232.2,Carya ovalis,,,,,
32360,327,391.8,Carya ovalis,T7,1,67.3,0,
32481,330,207.8,Carya ovalis,T2,1,42.5,0,
42393,428,402.7,Carya ovalis,T3,4,,,Broken sample
42566,431,490,Carya ovalis,T7,1,41.7,0,
42588,432,375,Carya ovalis,T3,1,39.6,0,
42590,432,150.5,Carya ovalis,T3,4,,,
50172,503,236.7,Carya ovalis,T3,1,35.4,0,
52270,525,169.4,Carya ovalis,T3,1,24.4,0,
62139,620,203.9,Carya ovalis,T3,3,,,
72113,719,278.7,Carya ovalis,T3,1,68.2,0,
92113,919,180,Carya ovalis,T2,4,,,
92454,927,461.5,Carya ovalis,T7,1,41.7,0,
112360,1126,260,Carya ovalis,T2,1,37.7,0,
112453,1127,282.5,Carya ovalis,T3,1,49.8,0,
121420,1213,292.7,Carya ovalis,T3,1,86.3,0,
121425,1213,169.5,Carya ovalis,T3,1,24.6,0,
132270,1324,168.4,Carya ovalis,T3,4,,,
132463,1331,277.8,Carya ovalis,,,,,
142068,1418,357.4,Carya ovalis,T3,1,115.8,0,
151196,1516,270.9,Carya ovalis,T3,1,40.6,0,
162116,1617,388.5,Carya ovalis,T3,1,31.3,0,
171199,1710,181.5,Carya ovalis,T3,4,,,
171409,1711,631,Carya ovalis,T3,1,45.1,0,
172039,1719,274.3,Carya ovalis,T3,1,36.6,0,
172055,1720,167.8,Carya ovalis,T3,1,37.2,0,
172595,1732,309.8,Carya ovalis,T3,1,122.8,0,
180870,1816,179.4,Carya ovalis,T3,1,20.6,0,
180930,1809,233.2,Carya ovalis,T3,2,29.4,3.5,
180934,1810,273.8,Carya ovalis,T3,1,27.8,0,
182008,1817,255.5,Carya ovalis,T3,1,49.4,0,
190929,1916,217.7,Carya ovalis,T3,1,36.7,0,
192283,1921,244.8,Carya ovalis,T3,1,72.4,0,
201404,2015,189.1,Carya ovalis,T3,1,58.2,0,
202330,2022,195.9,Carya ovalis,T3,1,77.4,0,
132198,1321,356.7,Carya sp,,,,,
10633,112,334.4,Carya tomentosa,T3,1,19.6,0,
10644,112,300.9,Carya tomentosa,T3,1,65.5,0,
10704,113,320.4,Carya tomentosa,T3,1,35.7,0,
12080,119,315.9,Carya tomentosa,T3,1,35.2,0,
12403,129,179.8,Carya tomentosa,T2,4,,,
20848,216,214.7,Carya tomentosa,T7,1,63.4,0,
22036,217,383.3,Carya tomentosa,T3,1,52.9,0,
22434,228,168.2,Carya tomentosa,T3,4,,,
22441,228,568,Carya tomentosa,T10,1,75.9,0,Mismatched species (LITU)
30564,315,206.1,Carya tomentosa,T3,1,71.4,0,
30624,316,250.8,Carya tomentosa,T3,1,96.2,0,
32319,325,329.9,Carya tomentosa,T2,1,45.5,0,
32367,327,158.3,Carya tomentosa,T3,1,24.6,0,
42109,420,176.9,Carya tomentosa,T2,1,30.4,0,
42382,427,182,Carya tomentosa,T3,1,29.3,0,
42395,428,167,Carya tomentosa,T3,1,47.3,0,
50206,502,256.9,Carya tomentosa,T2,1,96.7,0,
52124,520,273.5,Carya tomentosa,T3,1,21.8,0,
52369,529,227.9,Carya tomentosa,T3,3,,,
62306,625,322.6,Carya tomentosa,T3,1,37.9,0,
62313,626,199.1,Carya tomentosa,T2,4,,,
62445,632,236.8,Carya tomentosa,T3,1,32.9,0,
72040,717,161,Carya tomentosa,T3,4,,,
92175,921,307.5,Carya tomentosa,T2,1,97.4,0,
101239,1014,504.5,Carya tomentosa,T3,1,39.9,0,
102148,1019,252.8,Carya tomentosa,T3,1,63.8,0,
112146,1120,171.8,Carya tomentosa,T3,1,38.7,0,
121324,1213,289.1,Carya tomentosa,T3,1,61.2,0,
121344,1214,162.4,Carya tomentosa,T3,1,52.5,0,
121430,1214,153.9,Carya tomentosa,T3,3,,,
121458,1216,156.3,Carya tomentosa,T3,1,21,0,Mismatched species
122326,1224,351,Carya tomentosa,T3,1,143.7,0,
122551,1230,162.4,Carya tomentosa,,,,,
131173,1313,201.6,Carya tomentosa,T3,1,65.9,0,
131183,1313,176.9,Carya tomentosa,T3,3,,,
132124,1318,470.8,Carya tomentosa,T7,1,52.2,0,Mismatched species (says CAOV)
132308,1322,329.4,Carya tomentosa,T3,1,71.8,0,
142491,1421,189,Carya tomentosa,T3,3,,,
151634,1516,219.3,Carya tomentosa,T3,1,75.1,0,
160808,1610,392.9,Carya tomentosa,T3,1,19,0,
171401,1710,185.4,Carya tomentosa,T3,2,44.5,4.2,
10619,111,189.9,Fagus grandifolia,T10,0,,,
10643,112,653.3,Fagus grandifolia,T10,0,,,
10647,112,142.5,Fagus grandifolia,T10,1,70,0,
10664,114,135,Fagus grandifolia,T10,0,,,
10675,114,186.5,Fagus grandifolia,T10,0,,,
10730,115,137.3,Fagus grandifolia,T10,0,,,
10743,115,116.1,Fagus grandifolia,T10,0,,,
12032,118,159,Fagus grandifolia,T10,,,,
20627,209,705.6,Fagus grandifolia,T10,0,,,
20693,211,199.8,Fagus grandifolia,T10,1,93,,
20820,216,181.5,Fagus grandifolia,T10,0,,,
20847,216,100.5,Fagus grandifolia,,,,,
30233,306,1030.4,Fagus grandifolia,T10,5,88,0,species doesn't match SIGEO database; major outlier;
30256,310,600.9,Fagus grandifolia,T7,0,,,
30257,310,158.9,Fagus grandifolia,T10,0,,,
30333,306,206.7,Fagus grandifolia,T10,1,63.6,0,
30418,310,237.8,Fagus grandifolia,T10,0,,,
30421,311,618.1,Fagus grandifolia,T10,0,,,
30472,314,103.4,Fagus grandifolia,T10,0,,,
30483,314,164.3,Fagus grandifolia,T10,0,,,
30534,314,111.7,Fagus grandifolia,T10,1,46.8,0,
30549,315,153.4,Fagus grandifolia,,,,,
40563,406,344.5,Fagus grandifolia,T10,1,124.5,0,
40585,408,141,Fagus grandifolia,T10,0,,,
40873,412,306.8,Fagus grandifolia,T10,1,140,0,
40889,413,130.1,Fagus grandifolia,T10,0,,,
50557,513,265.3,Fagus grandifolia,T10,0,,,
50559,514,206.6,Fagus grandifolia,T10,0,,,
50563,514,208.7,Fagus grandifolia,T10,0,,,
50567,515,721.2,Fagus grandifolia,,,,,
50652,514,175.2,Fagus grandifolia,T10,0,,,
52010,517,161.4,Fagus grandifolia,T10,0,,,
52130,520,161.7,Fagus grandifolia,T10,0,,,
60426,612,282.7,Fagus grandifolia,T10,0,,,
60467,615,153.6,Fagus grandifolia,T10,0,,,
60486,616,152.8,Fagus grandifolia,T10,0,,,
60596,616,176.9,Fagus grandifolia,T10,,,,
70018,701,199.1,Fagus grandifolia,T10,0,,,
92562,932,146.9,Fagus grandifolia,T10,0,,,
102157,1020,222.1,Fagus grandifolia,T10,0,,,
132531,1330,124.4,Fagus grandifolia,T10,1,59.5,0,
132532,1330,145.7,Fagus grandifolia,T10,0,,,
142651,1430,187.3,Fagus grandifolia,T10,0,,,
150911,1506,177.5,Fagus grandifolia,T10,0,,,
151123,1511,158.3,Fagus grandifolia,T10,0,,,
151140,1512,165.6,Fagus grandifolia,T10,0,,,
151193,1516,115.8,Fagus grandifolia,,,,,
152529,1526,283.1,Fagus grandifolia,T10,1,138.8,0,
152661,1530,114.2,Fagus grandifolia,T10,0,,,
160760,1606,187.5,Fagus grandifolia,T10,0,,,
160776,1608,121.7,Fagus grandifolia,,,,,
171150,1706,136.7,Fagus grandifolia,T10,0,,,
171306,1712,222.4,Fagus grandifolia,T10,0,,,
182695,1830,163.8,Fagus grandifolia,T10,0,,,
190635,1906,159,Fagus grandifolia,T10,0,,,
10194,104,275.8,Fagus grandifolia,T10,0,,,
10194,104,275.8,Fagus grandifolia,T10,0,,,
10539,108,463.4,Fraxinus americana,,,,,
12267,125,206.6,Fraxinus americana,,,,,
12303,126,276.1,Fraxinus americana,T4,1,55.8,0,
22333,226,366.9,Fraxinus americana,,,,,
30062,303,197.9,Fraxinus americana,T4,1,55.4,0,
40131,403,609.8,Fraxinus americana,T7,1,125.3,0,
101292,1016,550,Fraxinus americana,T4,1,136.8,0,
132525,1329,514,Fraxinus americana,,,,,
140881,1414,601.5,Fraxinus americana,T8,1,212.7,0,
140883,1414,687.2,Fraxinus americana,T7,1,182.6,0,
141124,1416,184.3,Fraxinus americana,T4,4,,,
142178,1419,534.9,Fraxinus americana,,,,,
142206,1419,851.4,Fraxinus americana,T7,1,169.6,0,
142703,1428,177.9,Fraxinus americana,T4,1,53.1,0,
150048,1501,439.6,Fraxinus americana,T4,1,45.1,0,
152659,1530,175.7,Fraxinus americana,,,,,
152702,1531,401.3,Fraxinus americana,,,,,
161024,1614,724.6,Fraxinus americana,,,,,
161562,1615,470,Fraxinus americana,,,,,
162458,1630,282.8,Fraxinus americana,T4,1,70.8,0,
171303,1712,253.7,Fraxinus americana,,,,,
171358,1714,887.8,Fraxinus americana,,,,,
171421,1712,254.8,Fraxinus americana,,,,,
172332,1721,277.5,Fraxinus americana,,,,,
172542,1728,196.3,Fraxinus americana,,,,,
172575,1730,246.2,Fraxinus americana,,,,,
182396,1824,351.9,Fraxinus americana,,,,,
182678,1828,158,Fraxinus americana,,,,,
192641,1927,216.3,Fraxinus americana,,,,,
192697,1932,381.3,Fraxinus americana,,,,,
192707,1932,348,Fraxinus americana,,,,,
202379,2025,454.2,Fraxinus americana,T4,1,93.7,0,
202528,2027,155.7,Fraxinus americana,,,,,
202536,2028,419.5,Fraxinus americana,,,,,
202775,2027,793.2,Fraxinus americana,T8,1,121.2,0,
202933,2030,227.8,Fraxinus americana,,,,,
40853A,411,427.1,Fraxinus americana,,,,,
40853B,411,292.8,Fraxinus americana,T4,1,78.8,0,
80773,816,282.9,Fraxinus nigra,T2,3,,,Species mismatch
10010,101,541.9,Juglans nigra,T8,1,33.8,0,
10122,101,761.9,Juglans nigra,T8,1,56.8,0,
10286,106,218.5,Juglans nigra,,,,,
10296,106,550.9,Juglans nigra,T8,1,24.8,0,
12354,128,509.2,Juglans nigra,T8,1,35.2,0,
12387,129,204,Juglans nigra,T2,1,23.8,0,
30135,302,248.1,Juglans nigra,,,,,
30226,306,378.7,Juglans nigra,T4,1,19.7,0,
30315,306,242.7,Juglans nigra,T8,1,30.5,0,
30324,306,565.1,Juglans nigra,,,,,
72424,730,599,Juglans nigra,T4,1,40.7,0,
80694,816,345.9,Juglans nigra,T4,1,24.6,0,
101304,1016,450,Juglans nigra,,,,,
112323,1125,603,Juglans nigra,T8,1,40.7,0,
122295,1224,545.8,Juglans nigra,T4,1,20.5,0,
131360,1316,314.9,Juglans nigra,T4,1,22.4,0,
150761,1503,366.1,Juglans nigra,T4,1,25.6,0,
152623,1528,484.6,Juglans nigra,T4,1,22.3,0,
161554,1615,405,Juglans nigra,T4,1,31.3,0,
162355,1621,444,Juglans nigra,T4,1,19.7,0,
162575,1629,500.9,Juglans nigra,T8,1,32.2,0,
172453,1727,312.9,Juglans nigra,,,,,
172637,1732,335.1,Juglans nigra,,,,,
180341,1803,611.7,Juglans nigra,T4,1,55.4,0,
180644,1804,280.9,Juglans nigra,T4,1,9.6,0,
180906,1808,486,Juglans nigra,,,,,
190074,1902,371.2,Juglans nigra,T4,1,26.1,0,
190483,1908,426.9,Juglans nigra,T4,1,19.8,0,
192588,1932,258.8,Juglans nigra,,,,,
200382,2003,298.1,Juglans nigra,T4,1,11.7,0,
200577,2007,535.2,Juglans nigra,T8,1,21.7,0,
200812,2008,540.7,Juglans nigra,T8,1,13.7,0,
201261,2013,454.1,Juglans nigra,T4,1,9.4,0,
202585,2032,405,Juglans nigra,T4,1,19,0,
202941,2031,485,Juglans nigra,,,,,
40024A,401,249,Juglans nigra,T4,1,24.8,0,
40024B,401,281.8,Juglans nigra,T8,1,20.6,0,
12366,128,100.5,Liriodendron tulipifera,T8,4,,,
12473,130,117.9,Liriodendron tulipifera,T7,1,17.6,0,
12490,131,312.9,Liriodendron tulipifera,T10,1,59.7,0,
22545,230,590.2,Liriodendron tulipifera,T10,1,122.8,0,
22603,231,130.7,Liriodendron tulipifera,T8,4,,,
22604,231,275.6,Liriodendron tulipifera,T10,1,39.8,0,
32189,322,509.7,Liriodendron tulipifera,T10,1,95.5,0,
32484,330,125.7,Liriodendron tulipifera,T7,1,9.3,0,
42287,425,252,Liriodendron tulipifera,T10,4,,,
42544,430,308.5,Liriodendron tulipifera,T10,1,40.7,0,
50474,509,317.6,Liriodendron tulipifera,T10,1,37.4,0,
52388,530,251.1,Liriodendron tulipifera,T10,1,22.1,0,
62144,620,724,Liriodendron tulipifera,T10,1,103.1,0,
62248,623,215.2,Liriodendron tulipifera,T10,1,45,0,
72443,732,177,Liriodendron tulipifera,T10,4,,,
82213,822,612,Liriodendron tulipifera,T8,1,69.8,,
82218,822,613.9,Liriodendron tulipifera,T10,1,86,0,
82317,827,145,Liriodendron tulipifera,T8,1,19.2,0,
82368,829,302.8,Liriodendron tulipifera,T10,1,22.5,0,
92384,925,122.8,Liriodendron tulipifera,T8,1,14.5,0,
92493,925,187.3,Liriodendron tulipifera,T10,1,28,0,
92505,925,647.9,Liriodendron tulipifera,T7,1,49,0,
102404,1027,241.9,Liriodendron tulipifera,,,,,
102412,1027,557,Liriodendron tulipifera,T10,1,78.2,0,
121442,1215,254.7,Liriodendron tulipifera,T10,1,45.6,0,
131304,1314,613.7,Liriodendron tulipifera,T10,1,133.9,0,
151125,1511,468.2,Liriodendron tulipifera,T10,1,70.5,0,
160777,1608,434.2,Liriodendron tulipifera,T10,1,73.6,0,
160930,1608,490.5,Liriodendron tulipifera,T10,1,80,0,
170994,1704,528.9,Liriodendron tulipifera,T10,1,95.2,0,
172229,1719,708.1,Liriodendron tulipifera,T10,1,102.7,0,
180751,1807,591.9,Liriodendron tulipifera,T10,1,83.6,0,
180794,1811,415.6,Liriodendron tulipifera,T10,1,72.5,0,
190018,1901,775.1,Liriodendron tulipifera,T10,1,52.1,0,
190438,1905,675.1,Liriodendron tulipifera,T10,1,130,0,
190497,1909,136,Liriodendron tulipifera,T8,1,28.2,0,
192128,1923,136.2,Liriodendron tulipifera,T8,1,34.5,0,
192129,1923,114.3,Liriodendron tulipifera,T8,1,16.2,0,
200038,2001,819.5,Liriodendron tulipifera,T10,1,194.2,0,
200168,2002,423.1,Liriodendron tulipifera,T10,1,24.4,0,
200389,2003,329.5,Liriodendron tulipifera,T10,1,75.8,0,
200825,2008,289.8,Liriodendron tulipifera,T10,1,33.6,0,
200988,2010,361.7,Liriodendron tulipifera,T10,1,77.7,0,
202096,2021,121.9,Liriodendron tulipifera,T7,4,,,Broken; extremely difficult to analyze
202162,2024,260.5,Liriodendron tulipifera,T10,1,53.3,0,
202555,2029,723.6,Liriodendron tulipifera,T10,1,52.2,0,
160665A,1604,666.1,Liriodendron tulipifera,T10,1,71.6,0,
160665B,1604,630.5,Liriodendron tulipifera,T10,1,37.6,0,
92486 A,925,180.4,Liriodendron tulipifera,T10,1,29.8,0,
92486,925,180.4,Liriodendron tulipifera,,,,,
10551,109,242.2,Nyssa sylvatica,T3,1,43.4,0,
20639,210,186.6,Nyssa sylvatica,T3,4,,,
20674,211,208.8,Nyssa sylvatica,T2,1,50.8,0,
22103,219,153.1,Nyssa sylvatica,T3,1,21.7,,Sample says DBH 163.1
32505,331,192.9,Nyssa sylvatica,T2,1,64.1,0,
50575,515,213.2,Nyssa sylvatica,T3,2,55.7,4,
52195,522,242.8,Nyssa sylvatica,T2,1,69.2,0,
62173,621,165,Nyssa sylvatica,T2,1,26.8,0,
62464,632,236.1,Nyssa sylvatica,T3,1,68.9,0,
70492,714,194,Nyssa sylvatica,T3,1,60.1,0,
82021,817,160.9,Nyssa sylvatica,T2,1,34,0,Mounted backwards
82259,824,195.6,Nyssa sylvatica,T3,1,38,0,
92171,921,234,Nyssa sylvatica,T3,1,93.4,0,
92237,922,215.5,Nyssa sylvatica,T3,1,50.6,0,
92415,926,207.1,Nyssa sylvatica,T3,1,41.3,0,
92422,926,163.2,Nyssa sylvatica,T3,1,30.1,0,
92435,926,173.4,Nyssa sylvatica,T2,1,54.5,0,
101321,1016,341.3,Nyssa sylvatica,T3,1,51.1,0,
102373,1026,185,Nyssa sylvatica,T2,1,54.3,0,
111293,1116,188.9,Nyssa sylvatica,T3,1,47.6,0,
112345,1125,192.4,Nyssa sylvatica,T2,1,72.6,0,
112377,1126,170.8,Nyssa sylvatica,T2,1,46,0,
122050,1218,209.7,Nyssa sylvatica,,,,,
132067,1319,325.2,Nyssa sylvatica,T3,1,99.3,0,
150902,1506,162.9,Nyssa sylvatica,T3,1,48.5,0,
152504,1525,294.3,Nyssa sylvatica,T2,1,116.7,0,
152593,1527,161.9,Nyssa sylvatica,T3,4,,,
160936,1609,199.1,Nyssa sylvatica,T3,1,38,0,
172262,1720,177.3,Nyssa sylvatica,,,,,
182137,1821,206.1,Nyssa sylvatica,T3,1,65.4,0,
192118,1922,284,Nyssa sylvatica,T3,1,39,0,
192230,1919,161.3,Nyssa sylvatica,T3,4,,,
202247,2018,153.3,Nyssa sylvatica,T3,1,59.7,0,
150798A,1506,289.5,Nyssa sylvatica,T3,1,26.2,0,
150798B,1506,298.9,Nyssa sylvatica,,,,,
72458,732,279.1,Pinus strobus,,,,,
102273,1023,219.2,Pinus strobus,,,,,
102279,1023,331,Pinus strobus,,,,,
112136,1120,262.2,Pinus strobus,,,,,
112145,1120,239.4,Pinus strobus,,,,,
112170,1121,324.7,Pinus strobus,,,,,
112180,1121,188.6,Pinus strobus,,,,,
112215,1122,157.6,Pinus strobus,,,,,
112258,1123,157.9,Pinus strobus,,,,,
122128,1219,206.9,Pinus strobus,,,,,
122131,1219,293.3,Pinus strobus,,,,,
122146,1220,357.1,Pinus strobus,,,,,
122149,1220,150.1,Pinus strobus,,,,,
122150,1221,329,Pinus strobus,,,,,
122157,1221,438.9,Pinus strobus,,,,,
122164,1221,191.6,Pinus strobus,,,,,
122165,1221,217,Pinus strobus,,,,,
122166,1221,374.2,Pinus strobus,,,,,
122180,1222,297.1,Pinus strobus,,,,,
122184,1222,206.3,Pinus strobus,,,,,
122187,1222,288.9,Pinus strobus,,,,,
122229,1221,221.4,Pinus strobus,,,,,
122275,1223,156.7,Pinus strobus,,,,,
122278,1223,346.9,Pinus strobus,,,,,
122302,1223,200,Pinus strobus,,,,,
132194,1321,169.4,Pinus strobus,,,,,
132233,1322,315.8,Pinus strobus,,,,,
132236,1322,253.2,Pinus strobus,,,,,
132241,1322,284.6,Pinus strobus,,,,,
142046,1418,331.8,Pinus strobus,,,,,
142484,1421,509.6,Pinus strobus,,,,,
142521,1422,418,Pinus strobus,T6,1,46,0,
162432,1626,384.6,Pinus strobus,,,,,
182058,1819,311.2,Pinus strobus,,,,,
192213,1917,452.3,Pinus strobus,T6,1,76,0,
20835,216,415.6,Quercus alba,T5,1,7,0,
22014,217,712.9,Quercus alba,,,,,
40717,410,244,Quercus alba,T5,1,20,0,
42362,427,343.1,Quercus alba,T5,1,21.7,0,
50517,511,167.3,Quercus alba,T5,1,13.7,0,
52111,520,494.6,Quercus alba,T5,2,56.8,,
60016,601,502.1,Quercus alba,T5,1,23.5,0,
60210,601,217.9,Quercus alba,T5,1,10.4,0,
62148,620,349.1,Quercus alba,T5,1,18,0,
70602,715,269.2,Quercus alba,T5,1,26.7,0,
72232,722,159.2,Quercus alba,T5,1,27.3,1,
82058,818,200,Quercus alba,T5,1,17.2,0,
82365,829,428,Quercus alba,,,,,
90752,916,484.7,Quercus alba,T5,1,18,0,
92046,918,560,Quercus alba,T5,1,21.8,0,
102271,1023,723,Quercus alba,T8,1,25.9,0,
102310,1024,444,Quercus alba,,,,,
102371,1026,767.3,Quercus alba,,,,,
112142,1120,367.1,Quercus alba,T5,1,18.9,0,
112336,1125,505.9,Quercus alba,T5,1,20.84,0,
122211,1220,299.4,Quercus alba,T5,1,23.1,0,
122404,1226,494.2,Quercus alba,T5,1,16.5,0,
122474,1227,600,Quercus alba,,,,,
132206,1320,467,Quercus alba,T5,1,24.1,0,
142363,1424,474.9,Quercus alba,T5,1,27.1,0,
142539,1423,586.9,Quercus alba,T5,1,25.4,0,
142564,1425,299.1,Quercus alba,,,,,
142565,1425,302.4,Quercus alba,T5,1,11.2,0,
162295,1623,511.3,Quercus alba,T5,1,28.8,0,
162397,1624,353.9,Quercus alba,T5,1,17,0,
162398,1624,522,Quercus alba,,,,,
162543,1627,870.3,Quercus alba,,,,,
171471,1715,225.8,Quercus alba,T5,2,13.7,3.3,
172036,1719,480.9,Quercus alba,T5,1,17.2,0,
172168,1723,270.7,Quercus alba,T5,1,15.7,0,
180996,1814,623,Quercus alba,,,,,
182686,1829,530.6,Quercus alba,T10,1,17.4,0,Mismatched species (QUVE indicated)
192029,1918,359.7,Quercus alba,T5,1,31.6,0,
201332,2015,451.4,Quercus alba,T5,1,10.6,0,
10726,115,706.2,Quercus prinus,T5,1,76.3,0,
10731,115,605.7,Quercus prinus,T5,1,26.8,0,
12033,118,478.5,Quercus prinus,T5,1,40.3,0,
20792,215,132.2,Quercus prinus,T5,1,7.8,0,
22031,217,676,Quercus prinus,T5,1,40.7,0,
22064,218,678.2,Quercus prinus,T5,1,29.2,0,
22600,231,106.1,Quercus prinus,T5,1,11.8,0,
30099,304,298.8,Quercus prinus,,,,,
30218,305,479.2,Quercus prinus,,,,,
32008,319,676.2,Quercus prinus,,,,,
32032,319,119,Quercus prinus,T5,1,8.4,0,
32381,327,807.3,Quercus prinus,T5,1,34.1,0,
40155,403,350.1,Quercus prinus,,,,,
40160,403,197.3,Quercus prinus,,,,,
40165,403,245.4,Quercus prinus,,,,,
40176,403,494.9,Quercus prinus,,,,,
40176,403,459.5,Quercus prinus,,,,,
40586,408,131.2,Quercus prinus,T5,1,11.7,0,
42389,428,369.5,Quercus prinus,T5,1,8.1,0,
50483,510,422.7,Quercus prinus,T5,1,29.7,0,
52323,527,481,Quercus prinus,T5,1,22,0,
52331,527,376.7,Quercus prinus,,,,,
52462,532,363.1,Quercus prinus,T5,1,23.1,0,
60023,602,157.7,Quercus prinus,T5,1,14.5,0,
60232,603,534.6,Quercus prinus,,,,,
62365,628,466,Quercus prinus,,,,,
62373,628,279.7,Quercus prinus,,,,,
72361,728,323.9,Quercus prinus,T5,1,14.7,0,
111240,1113,267.6,Quercus prinus,T5,1,19.5,0,
141031,1411,425.6,Quercus prinus,T5,1,35.2,0,
141142,1416,222,Quercus prinus,T4,1,31,0,Mismatched species (JUNI indicated)
142360,1424,228.5,Quercus prinus,T5,1,22.9,0,
142583,1427,483.3,Quercus prinus,T5,1,23.6,0,
142602,1427,584.2,Quercus prinus,T5,1,37.9,0,
142605,1427,515.7,Quercus prinus,T5,1,30.5,0,
151120,1511,577.1,Quercus prinus,T5,1,37.4,0,
152044,1518,350,Quercus prinus,T5,1,27.9,0,
152069,1518,584.8,Quercus prinus,T5,1,41.8,0,
162030,1618,140.2,Quercus prinus,T5,1,13.1,0,
162415,1625,357.5,Quercus prinus,T5,1,40.5,0,
162438,1626,112.9,Quercus prinus,T5,1,19.7,0,
162527,1626,468.1,Quercus prinus,T5,1,37.9,0,
172184,1725,161.5,Quercus prinus,,,,,
172517,1726,200.7,Quercus prinus,T5,1,17.7,0,
180960,1811,177,Quercus prinus,T5,1,8.2,0,
181034,1816,205.2,Quercus prinus,T5,1,20.4,0,
190845,1916,103.2,Quercus prinus,,,,,
192068,1920,516.9,Quercus prinus,T5,1,30,0,
192070,1921,506,Quercus prinus,,,,,
192074,1921,387,Quercus prinus,T5,1,44.8,0,
192083,1921,102.2,Quercus prinus,T5,1,9.7,0,
192108,1922,106.1,Quercus prinus,T5,1,9.8,0,
192130,1923,348,Quercus prinus,T5,1,24.4,0,
202103,2022,108.4,Quercus prinus,T5,1,14.3,0,
202135,2023,405.2,Quercus prinus,T5,1,28.6,0,
202230,2018,560.3,Quercus prinus,T5,1,24.7,0,
202324,2021,104.8,Quercus prinus,T5,1,8.4,0,
10636,112,367.2,Quercus rubra,T9,1,13.7,0,
12460,130,375.8,Quercus rubra,T9,1,15.6,0,
22336,226,774.8,Quercus rubra,T9,1,23,0,
32516,332,340.3,Quercus rubra,T9,3,,,
40649,409,581.7,Quercus rubra,T9,1,39.2,0,
42092,420,413.7,Quercus rubra,T9,1,23.8,0,
42270,424,813.2,Quercus rubra,,,,,
50046,501,258.3,Quercus rubra,T9,1,16.3,0,
50499,511,609.9,Quercus rubra,T9,1,14.3,0,
50506,510,281,Quercus rubra,T9,1,7.6,0,
52087,519,1432.1,Quercus rubra,,,,,
52287,526,633,Quercus rubra,T5,3,,,
60414,611,912,Quercus rubra,,,,,
60522,611,285.2,Quercus rubra,T9,1,6.1,0,
62019,617,695.6,Quercus rubra,T9,1,32,0,
62103,619,680.9,Quercus rubra,,,,,
62281,624,769.8,Quercus rubra,T9,1,13.7,0,
62372,628,510.8,Quercus rubra,T9,1,17.4,0,
72140,720,488.7,Quercus rubra,T9,1,24.3,0,
72396,729,743.1,Quercus rubra,T9,1,36.2,0,
82115,819,177.8,Quercus rubra,T9,1,6,0,
82138,820,586.8,Quercus rubra,T9,1,19.2,0,
111252,1114,317,Quercus rubra,T9,1,14.6,0,
111314,1114,694.2,Quercus rubra,T9,4,,,
112082,1118,324.1,Quercus rubra,,,,,
121329,1213,405.4,Quercus rubra,T9,1,12.5,0,
121434,1214,723.3,Quercus rubra,T9,1,20.8,0,
122060,1218,640.1,Quercus rubra,T9,1,24.9,0,
161524,1616,309.3,Quercus rubra,T9,1,25.7,0,
161576,1616,539.4,Quercus rubra,T9,1,23.3,0,
172202,1717,538.8,Quercus rubra,T9,1,8.1,0,
180952,1811,538.2,Quercus rubra,T9,1,12.8,0,
182060,1819,196.1,Quercus rubra,T9,1,10.3,0,
202496,2026,230.1,Quercus rubra,T9,1,5.2,0,
