Tag,Quadrat,DBH.2008.mm,Latin,box.number,clarity.of.sapwood.boundary,sapwood.depth.mm,sapwood.depth.uncertainty.mm,notes
91385,909,420.8,Carya ovalis,T6,1,55.4,0,
100919,1008,193.1,Carya ovalis,,,,,
100963,1010,182.4,Carya ovalis,T6,1,35.2,0,
101107,1010,343.2,Carya ovalis,,,,,
111081,1110,429.6,Carya ovalis,,,,,
111189,1112,186.4,Carya ovalis,,,,,
121162,1208,307.9,Carya ovalis,,,,,
121301,1211,230.8,Carya ovalis,,,,,
130788,1309,151.1,Carya ovalis,,,,,
131061,1309,291.6,Carya ovalis,T10,1,52,0,
131091,1311,219.5,Carya ovalis,,,,,
131138,1311,206.4,Carya ovalis,,,,,
140810,1410,214.7,Carya ovalis,,,,,
111190,1112,338.3,Carya ovalis,T3,2,26.6,4.7,
111190,1112,338.3,Carya ovalis,T3,2,26.6,4.7,
50356,507,387.8,Carya ovalis,T3,2,57.5,4.2,
50356,507,387.8,Carya ovalis,T3,2,57.5,4.2,
80640,811,548.9,Carya ovalis,T3,1,106.7,0,
80640A,811,548.9,Carya ovalis,T3,1,111.9,0,
40550,406,257.4,Carya tomentosa,T1,1,32.1,0,
50267,504,440.3,Carya tomentosa,T1,1,86.4,0,
50339,506,178.9,Carya tomentosa,T3,4,,,
60110,605,278.3,Carya tomentosa,,,,,
60160,608,165,Carya tomentosa,,,,,
60266,604,484.7,Carya tomentosa,T1,1,66.6,0,
60349,608,257.2,Carya tomentosa,,,,,
70343,707,178.2,Carya tomentosa,T1,3,,,
70422,710,202.7,Carya tomentosa,T3,1,36.6,0,
80479,809,186,Carya tomentosa,T1,1,20.5,0,
80513,809,154.4,Carya tomentosa,T1,3,,,
80619,810,322.4,Carya tomentosa,T1,1,22.4,0,
80632,811,227,Carya tomentosa,T1,1,36.5,0,
80634,811,230,Carya tomentosa,T1,1,42.3,0,
80703,810,160.4,Carya tomentosa,T3,1,32.2,0,
80706,810,193.3,Carya tomentosa,T1,,,,Two cores
80749,812,168.6,Carya tomentosa,,,,,
90539,911,335.8,Carya tomentosa,T1,1,23.7,0,
90556,912,165.6,Carya tomentosa,,,,,
91382,909,204.6,Carya tomentosa,T10,1,31,0,
91391,909,444.1,Carya tomentosa,T6,1,59.8,0,
91403,906,257.5,Carya tomentosa,T1,1,44.4,0,
100979,1011,201.3,Carya tomentosa,T1,1,52.1,0,
100993,1012,255.4,Carya tomentosa,T1,1,84.7,0,
101117,1011,209.3,Carya tomentosa,T1,1,83.3,0,
101134,1012,195,Carya tomentosa,T1,1,61.8,0,
111077,1109,163.8,Carya tomentosa,T6,1,64.8,0,
111169,1110,264.9,Carya tomentosa,T1,1,82.8,0,
111180,1111,323.1,Carya tomentosa,T1,2,87.6,6.8,
111188,1112,435.6,Carya tomentosa,T1,1,68.9,0,
111192,1112,171.4,Carya tomentosa,T1,1,32.2,0,
121292,1210,238.7,Carya tomentosa,T1,1,71.4,0,
121296,1210,167.6,Carya tomentosa,T1,1,74.1,0,
130766,1308,281.2,Carya tomentosa,,,,,
131128,1310,565.9,Carya tomentosa,T7,1,44.9,0,
140947,1408,236,Carya tomentosa,T1,1,22.5,0,
30212,304,137.8,Fagus grandifolia,,,,,
30214,305,122.1,Fagus grandifolia,T10,0,,,
40479,405,151.4,Fagus grandifolia,T10,0,,,
40480,405,159.4,Fagus grandifolia,T10,0,,,
40485,405,163.5,Fagus grandifolia,T10,1,65.1,0,
40493,405,140.8,Fagus grandifolia,T10,1,59.8,0,
40535,405,151.4,Fagus grandifolia,,,,,
40536,405,127,Fagus grandifolia,T10,0,,,
40549,406,159.9,Fagus grandifolia,T10,0,,,
40554,406,406.2,Fagus grandifolia,T10,1,105.3,0,
50299,506,176.5,Fagus grandifolia,T10,0,,,
50301,505,103,Fagus grandifolia,T10,0,,,
50330,506,146.2,Fagus grandifolia,T10,0,,,
50340,506,152.7,Fagus grandifolia,T1,0,,,
50433,507,127.2,Fagus grandifolia,T10,0,,,
60086,605,170.5,Fagus grandifolia,T10,0,,,
60111,605,410.2,Fagus grandifolia,T10,1,105.1,0,
60129,606,146.8,Fagus grandifolia,T10,0,,,
60135,607,121.9,Fagus grandifolia,,,,,
60145,607,205.2,Fagus grandifolia,,,,,
60295,605,109.6,Fagus grandifolia,T10,0,,,
60339,607,157.3,Fagus grandifolia,T10,0,,,
70180,707,147,Fagus grandifolia,T10,0,,,
70182,707,193.6,Fagus grandifolia,T10,1,59,0,
90062,902,216.8,Fagus grandifolia,T10,0,,,
90121,903,216.5,Fagus grandifolia,T10,1,106.8,0,
90276,903,242.9,Fagus grandifolia,T10,0,,,
