"tag","coreID","sp","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
90716,"90716B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.405,5.067,6.257,3.383,2.417,2.911,2.503,2.408,1.731,1.312,1.632,1.618,1.636,1.371,1.856,1.424,2.734,1.591,2.48,2.251,1.367,2.094,2.77,2.499,1.51,3.362,3.429,2.185,1.993,1.501,1.229,1.298,0.739,0.873,0.781,0.733,0.66,0.675,0.838,0.667,0.852,0.915,0.897,1.954,1.47,1.311,2.395,1.429,1.538,1.412,1.592,1.557,1.367,1.106,1.67,2.37,2.773,2.186,3.369,2.045,1.429,1.319,1.12,1.742,1.467,1.946,2.063,2.116,2.257,3.43,2.371,1.942,3.032,2.815,1.884,2.757,1.573,2.189,2.137,3.13,2.738,2.068,1.914,1.608,1.382,1.035,0.988,1.049,1.008,1.421,1.286,1.258,1.362,1.096,1.62,1.515,2.062,1.616,1.629,1.756,0.847,NA,NA
90718,"90718A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.175,1.186,0.442,0.208,0.231,0.215,0.159,0.096,0.118,0.165,0.2,0.29,0.212,0.879,1.146,0.936,0.935,0.712,1.014,0.92,2.495,1.614,0.9,1.003,1.017,0.891,0.41,0.766,0.747,0.856,0.726,0.812,1.113,0.858,1.748,0.894,1.045,1.044,1.211,0.83,0.472,0.414,0.526,0.271,0.388,NA,NA
90718,"90718B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123,0.103,0.116,0.093,0.102,0.093,0.111,0.164,0.115,0.127,0.217,0.281,0.302,0.165,0.471,0.233,0.175,0.125,0.144,0.09,0.082,0.129,0.242,0.404,0.64,1.025,1.211,1.536,1.829,0.969,0.73,0.562,0.386,0.342,0.336,0.23,0.253,0.258,0.244,0.226,0.242,0.235,0.387,0.523,0.766,0.558,0.468,0.406,1.833,5.147,1.595,0.986,2.043,1.398,0.673,1.452,1.199,1,0.728,0.797,1.307,1.069,1.253,0.817,1.386,1.181,1.103,0.57,0.402,0.223,NA,NA
90759,"090759A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.546,1.589,1.924,2.615,1.233,1.731,1.848,2.44,2.04,1.295,1.246,1.13,1.395,0.518,0.449,0.301,0.227,0.486,0.306,0.391,0.745,0.275,0.185,0.275,0.148,0.185,0.217,0.232,0.264,0.222,0.291,0.248,0.412,0.354,0.254,0.676,0.428,0.312,0.296,0.275,0.301,0.296,0.254,0.264,NA
90759,"090759B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.297,2.49,2.107,1.468,1.134,1.359,1.177,0.97,1.306,2.125,1.008,1.052,0.423,0.365,0.337,0.265,0.283,0.239,0.22,0.537,0.471,0.387,0.286,0.233,0.197,0.207,0.161,0.163,0.208,0.176,0.164,0.187,0.384,0.448,0.596,0.549,0.746,0.674,0.29,0.252,0.266,0.291,0.292,NA
101186,"101186A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014,2.72,4.715,2.865,4.433,4.94,4.625,4.973,4.177,2.524,2.75,1.866,2.557,1.961,1.779,1.852,1.916,2.081,1.35,1.238,0.979,1.094,0.887,0.802,0.894,0.923,1.143,1.248,1.214,0.905,0.989,1.056,0.902,0.946,0.754,0.905,0.762,0.565,0.587,0.553,0.614,0.675,0.66,0.701,0.63,0.735,0.767,0.905,1.026,0.871,0.874,1.057,0.952,0.873,1.074,1.021,0.952,1.188,1.106,1.095,1.023,0.898,1.136,1.804,0.993,1.25,1.365,1.069,1.04,0.864,0.763,0.552,0.638,0.529,0.573,0.638,0.558,0.733,0.652,0.565,0.514,0.526,0.467,0.385,0.383,0.378,0.508,0.545,0.42,0.391,0.445,0.506,0.372,0.412,0.5,0.484,0.431,0.49,0.425,0.357,0.367,0.317,0.197,0.24,0.192,NA,NA,NA
101186,"101186B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768,0.619,0.497,0.546,0.519,0.529,0.564,0.521,0.476,0.505,0.575,0.525,0.702,0.784,0.82,0.713,0.92,0.764,0.693,0.784,0.768,0.804,0.885,0.92,0.903,0.916,0.86,0.989,1.302,1.032,1.035,1.031,1.1,0.903,0.739,0.701,0.594,0.45,0.588,0.557,0.574,0.545,0.623,0.544,0.551,0.423,0.51,0.373,0.367,0.356,0.404,0.44,0.414,0.414,0.353,0.411,0.382,0.335,0.338,0.388,0.416,0.373,0.35,0.34,0.247,0.285,0.212,0.214,0.185,0.158,NA,NA,NA,NA
102001,"102001A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502,1.705,1.34,1.251,0.91,0.666,0.874,0.629,0.327,0.309,0.394,0.678,0.847,1.128,1.09,1.105,1.5,1.976,1.365,2.1,2.157,2.016,2.003,1.748,1.792,1.555,1.643,1.759,1.274,1.358,1.145,0.573,1.244,0.877,0.901,1.228,1.245,1.45,1.222,1.128,1.431,1.668,1.864,1.466,0.54,0.7,1.071,0.747,0.691,1.004,0.864,0.831,0.903,0.904,0.914,0.877,1.097,1.607,1.607,0.799,0.952,0.594,0.984,0.894,1.303,1.006,1.02,1.173,1.241,1.025,0.646,1.197,0.743,0.822,0.642,0.644,0.607,0.751,0.798,0.785,0.779,0.628,0.928,0.649,0.614,0.638,0.619,0.441,0.299,0.366,0.311,0.264,0.358,0.285,0.222,0.233,0.243,0.243,0.252,NA,NA,NA
180968,"180968A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.831,2.183,2.42,2.363,3.151,1.768,2.94,1.45,1.28,1.763,0.973,1.025,1.317,1.36,1.563,1.13,0.604,0.395,0.539,0.446,0.312,0.274,0.334,0.703,0.481,0.434,0.557,0.851,0.461,0.429,0.368,0.391,0.416,0.384,0.36,0.282,0.289,0.218,0.207,0.168,0.194,0.176,0.156,0.247,0.29,0.162,0.237,0.221,0.215,0.209,0.12,0.349,0.84,0.501,0.702,0.387,0.73,0.586,0.638,1.154,1.062,NA
190549,"190549A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.155,0.909,0.721,2.729,1.66,0.876,0.317,0.265,0.283,0.257,0.255,0.299,0.283,0.54,0.467,0.626,0.905,0.725,0.688,0.662,0.888,0.609,1.17,0.868,0.865,0.876,0.969,0.727,1.329,1.043,1.306,0.985,1.453,1.783,1.04,0.511,0.358,0.444,0.447,0.302,0.55,1.13,1.053,0.916,1.693,1.442,2.529,2.555,2.146,1.626,0.575,0.433,0.502,0.476,0.464,0.426,0.707,1.091,3.031,2.638,2.597,2.066,2.756,2.114,2.347,1.417,2.298,2.707,1.941,0.589
190549,"190549b","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.523,0.53,0.538,0.772,0.747,0.341,0.821,0.483,0.431,0.294,0.402,0.505,0.568,1.976,2.074,0.948,0.475,0.295,0.264,0.433,0.159,0.528,0.539,0.506,0.285,0.296,0.56,0.328,0.39,0.419,0.465,0.296,0.19,0.211,0.127,0.317,0.475,0.338,0.687,0.656,0.549,0.327,0.603,0.716,0.369,0.73,0.983,0.878,1.022,1.068,1.131,1.224,1.11,0.73,1.525,1.346,1.184,0.811,0.497,0.232,0.516,0.329,0.2,0.19,0.188,0.221,0.201,0.476,0.454,0.296,0.612,0.792,0.655,1.005,0.761,0.749,1.045,0.951,0.77,1.237,1.194,1.247,0.972,0.612,0.507,0.296,0.338,0.316,0.368,0.571,0.793,1.417,1.195,1.078,2.188,1.732,3.365,3.033,2.21,1.637,0.653,0.484,0.263,0.38,0.897,0.878,0.611,1.374,2.04,4.308,2.032,2.504,1.423,2.792,2.594,2.521,3.902,2.75,1.634,0.781
190774,"190774A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387,0.315,0.316,0.372,0.303,0.468,0.5,0.422,0.403,0.421,0.365,0.454,0.497,0.648,0.333,0.712,0.527,1.813,3.047,1.812,1.24,1.065,1.141,1.324,1.299,1.226,1.438,1.287,0.899,0.685,0.711,1.921,1.84,1.442,1.036,0.983,1.002,0.55,0.454,0.438,0.554,0.575,0.654,0.58,0.598,0.517,0.476,0.38,0.407,0.375,0.397,0.396,NA
190774,"190774B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882,0.466,0.652,1.009,0.791,0.489,0.623,0.541,0.382,0.707,0.337,0.967,0.623,0.581,0.502,0.517,0.484,0.504,0.52,0.459,0.559,0.744,0.729,0.517,0.227,0.467,0.376,0.996,0.857,3.106,1.808,1.581,1.529,1.162,1.591,1.306,1.435,0.993,0.945,0.627,0.294,0.492,2.161,1.718,2.018,1.205,1.542,1.466,0.716,0.793,0.757,NA
410402,"41040B2","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.336,2.743,2.003,2.023,2.128,1.603,2.222,1.892,2.406,2.412,2.124,2.563,3.003,2.383,2.177,1.831,2.032,1.196,2.277,1.747,1.988,2.953,3.467,2.358,2.021,2.758,2.165,2.286,2.323,1.828,1.976,2.166,0.657,1.573,1.753,2.321,2.26,2.949,3.209,1.742,1.816,1.703,1.407,1.579,1.165,1.547,1.81,1.539,1.656,1.125,0.979,0.946,1.058,0.816,1.102,0.849,0.731,1.074,1.211,1.144,1.172,0.939,0.553,0.842,0.835,0.861,0.707,1.095,1.175,1.109,0.86,0.925,0.91,0.986,0.98,1.06,0.669,1.072,1.073,1.239,1.377,1.354,1.581,1.156,1.213,0.982,0.901,1.099,1.092,1.536,1.668,1.946,1.803,0.915,1.394,1.318,1.179,0.869,1.089,0.868,0.872,0.329,NA
