"tag","coreID","sp","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
30141,"30141A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424,1.076,1.401,1.074,1.16,1.262,1.193,1.046,1.13,0.987,1.61,2.46,2.14,2.485,2.073,0.76,0.952,0.98,0.974,1.508,1.172,1.37,1.685,1.092,1.183,1.017,0.621,0.434,0.412,0.264,0.206,0.296,0.285,0.31,0.272,0.294,0.333,0.237,0.418,NA
30141,"30141B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284,0.152,0.107,0.321,0.364,0.441,0.316,0.229,0.277,0.36,0.341,0.409,0.794,1.197,0.753,0.591,0.935,0.592,0.917,1.104,1.629,1.326,1.299,1.431,1.229,1.469,1.216,1.473,2.802,3.031,3.738,2.724,1.098,1.149,1.452,1.808,2.608,1.456,2.287,1.646,0.599,1.004,0.604,0.468,0.43,0.546,0.494,0.47,0.356,0.479,0.512,0.825,1.029,0.564,0.955,0.394,0.267,0.308,0.376,0.336,0.135,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30142,"30142A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529,1.114,1.637,1.359,1.287,1.898,1.91,2.267,3.63,2.627,1.929,1.37,1.068,1.467,1.395,3.029,1.867,2.064,2.455,1.936,1.674,1.595,1.839,1.682,1.533,1.244,1.077,1.054,0.65,0.331,0.3,0.328,0.317,0.328,0.274,0.472,0.515,0.397,0.364,0.326,0.454,0.457,0.487,0.537,0.555,0.516,0.531,0.376,0.395,0.408,0.379,NA,NA
30142,"30142B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102,0.1,0.204,0.167,0.298,0.268,0.191,0.27,0.29,0.329,0.362,0.418,0.664,0.209,0.202,0.363,0.582,0.778,0.727,1.02,1.311,1.163,1.328,1.092,4.75,1.539,1.598,2.493,2.45,3.243,4.014,2.355,1.796,1.333,1.113,1.495,1.315,2.43,1.394,1.965,2.569,2.03,1.959,1.533,1.488,1.369,1.486,1.134,1.282,1.365,0.54,0.472,0.238,0.231,0.392,0.354,0.239,0.467,0.421,0.317,0.346,0.336,0.493,0.423,0.495,0.578,0.636,0.782,0.734,0.365,0.473,0.538,0.425,NA,NA,NA,NA
40113,"40113A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.224,0.238,0.239,0.147,1.326,0.994,1.785,2.149,0.599,0.17,0.649,1.109,0.891,1.022,0.963,1.28,1.188,1.089,1.637,0.846,0.662,0.476,0.291,0.454,0.251,0.188,0.21,0.173,0.184,0.119,0.141,0.136,0.12,0.109,0.089,0.197,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
40113,"40113B","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.551,0.552,0.527,0.347,0.356,0.355,0.215,0.426,0.573,1.288,0.878,0.766,1.324,0.407,0.595,1.19,1.514,0.978,1.437,1.042,1.813,1.658,1.426,1.765,1.13,1.046,0.85,0.639,0.658,0.404,0.26,0.218,0.159,0.185,0.119,0.198,0.117,0.085,0.088,0.081
41039,"41039A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.347,2.016,2.082,2.171,1.917,2.692,2.361,2.66,1.62,2.01,2.496,3.18,2.387,1.868,1.648,1.828,1.921,2.467,2.187,1.843,3.3,2.809,2.129,1.709,2.027,1.849,1.925,2.488,2.451,1.901,2.269,0.994,1.508,1.446,2.249,2.357,3.239,2.526,1.329,1.516,1.779,1.496,1.405,1.355,1.057,1.316,1.144,0.833,0.794,0.799,0.78,1.002,1.227,1.54,1.216,1.96,1.854,2.577,2.476,1.259,1.023,0.789,0.803,1.083,0.664,0.748,0.947,1.239,1.008,1.021,1.1,1.315,1.594,1.421,1.222,0.889,1.013,1.265,1.267,1.48,1.387,1.472,1.522,1.238,1.04,1.007,1.074,1.232,1.655,1.534,1.439,1.414,0.903,1.124,1.183,0.928,0.58,0.64,0.632,NA,NA,NA
41039,"41039","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.152,2.275,4.657,5.199,4.014,2.889,3.057,2.587,2.431,3.459,2.433,3.459,2.084,2.582,2.71,3.74,3.298,2.404,2.195,2.502,2.628,3.352,2.964,2.04,3.937,4.164,2.876,3.492,2.571,2.797,2.773,3.506,3.395,1.799,2.376,0.987,1.573,1.578,1.487,1.85,3.397,3.187,2.136,2.611,3.284,2.914,1.806,2.271,2.377,2.744,1.331,1.197,1.056,0.962,1.03,1.024,1.256,1.317,0.851,1.11,1.528,2.306,2.359,1.58,1.311,0.935,1.119,1.159,0.951,1.039,1.262,1.487,1.698,1.463,1.446,1.436,1.782,1.624,1.9,1.164,1.121,1.525,1.58,2.016,1.721,1.723,1.837,0.968,0.709,0.811,1.093,1.333,1.332,1.123,1.03,1.187,0.87,1.081,1.049,0.646,0.778,0.611,0.404,0.271,NA
41040,"41040A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833,2.268,3.457,1.46,1.549,1.965,1.956,1.838,2.05,2.343,3.615,2.414,2.047,1.957,1.682,1.742,2.252,1.64,1.765,2.669,2.573,2.211,1.878,2.835,2.051,2.705,2.577,2.001,1.801,2.15,0.927,1.649,1.907,2.551,2.654,3.359,3.832,2.014,2.067,1.818,1.805,1.637,1.866,1.814,2.403,2.319,2.105,2.259,1.723,1.306,1.305,1.208,1.069,1.061,1.04,1.28,1.393,1.229,1.063,1.061,0.891,1.005,1.108,1.192,1.085,1.036,1.253,1.223,1.145,0.877,0.773,0.847,0.952,0.723,0.675,0.921,1.281,1.069,1.085,0.943,1.142,0.938,1.109,0.92,0.914,0.946,0.934,1.393,1.223,1.538,1.698,1.009,1.185,1.444,1.029,0.988,1.194,1.125,0.788,0.237,NA
90716,"90716A","frni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.749,1.897,1.789,2.333,1.856,1.013,2.522,1.834,2.037,2.615,2.222,2.919,2.575,1.854,1.697,1.327,1.042,1.134,0.923,1.172,0.873,0.945,0.935,1.358,1.141,1.606,1.431,2.017,1.853,1.648,1.869,2.523,2.096,1.482,2.213,2.217,2.139,1.333,0.888,1.124,0.984,0.627,0.784,0.755,0.607,0.564,0.66,0.887,0.72,1.01,0.917,0.904,1.18,0.951,0.991,1.639,0.995,1.426,0.929,0.933,0.811,0.747,0.774,1.385,1.603,1.304,1.359,1.867,1.62,1.326,1.017,0.777,1.5,1.625,2.431,1.753,1.287,1.331,1.577,1.254,1.444,1.901,2.163,2.202,2.743,1.199,1.461,1.867,2.42,2.492,1.467,2.003,1.702,1.609,1.252,1.301,1.43,1.986,1.755,1.142,1.286,1.407,1.395,1.451,1.987,1.58,1.22,1.008,1.05,0.913,NA,NA
