"tag","sp","stemtag","quadrat","treeID","stemID","dbh2008","dbh2013","dbh2018","biannual","intraannual","cored","year.cored","status","illum","crown.condition","crown.position","tree.notes","lx","ly","gx","gy","NAD83_X","NAD83_Y","lat","lon"
50488,"caco",1,510,6369,6369,344.7,354.6,354,0,0,1,"2016-2017","dead",4,1,"canopy","",19.6,19.4,99.6,199.4,747480.4683,4308708.095,38.89240821,-78.14655465
132018,"caco",1,1317,18360,18360,379.6,385.2,385,0,0,1,"2016-2017","dead",4,4,"canopy","",17.1,14.1,257.1,334.1,747634.8009,4308846.413,38.89360962,-78.14472737
20605,"caco",1,208,2795,2795,154.2,159.3,159.3,0,0,1,"2010-2011","dead",1,1,"sub-canopy","Poss dead",4.7,16.7,24.7,156.7,747406.579,4308663.669,38.89202916,-78.14742162
30525,"caco",1,314,4150,4150,182.3,188.3,188.3,0,0,1,"2010-2011","dead",1,1,"sub-canopy","Poss dead",8,6.8,48,266.8,747427.3185,4308774.28,38.89301886,-78.14714291
40952,"caco",1,414,5413,5413,605,616.2,615,0,0,1,"2010-2011","dead",3,1,"sub-canopy","Poss dead",11.5,7.3,71.5,267.3,747450.8006,4308775.325,38.89302165,-78.1468721
70622,"caco",1,716,8620,8620,307.9,315.5,315.5,0,0,1,"2010-2011","dead",2,1,"sub-canopy","Poss dead",14.3,16.9,134.3,316.9,747512.433,4308826.368,38.8934637,-78.14614389
80398,"caco",1,807,9474,9474,194.7,193.4,191,1,0,1,"2016-2017","dead",3,1,"sub-canopy","",0.2,19.7,140.2,139.7,747522.4423,4308649.353,38.89186768,-78.14609243
101092,"caco",1,1009,12712,12712,107,107,107,0,0,1,"2016-2017","dead",1,1,"sub-canopy","Poss dead",4.7,4.7,184.7,164.7,747566.3504,4308675.379,38.89208955,-78.14557737
132010,"caco",1,1317,18352,18352,269,278.7,280,0,0,1,"2010-2011","dead",4,1,"sub-canopy","Poss dead",8.7,19.5,248.7,339.5,747626.2779,4308851.616,38.89365886,-78.14482365
142220,"caco",1,1420,20174,20174,290.8,307.9,325,0,0,1,"2010-2011","alive",3,3,"sub-canopy","",17,1.7,277,381.7,747653.6,4308894,38.89404,-78.14449
151006,"caco",1,1510,21537,21537,189.6,189.6,189.6,0,0,1,"2016-2017","dead",NA,NA,"sub-canopy","CF",5.6,12.5,285.6,192.5,747666.6,4308706,38.89233,-78.14441
152118,"caco",1,1519,21873,21873,116,114.1,114.1,0,0,1,"2016-2017","dead",2,1,"sub-canopy","",1.8,8.8,281.8,368.8,747658.7,4308882,38.89392,-78.14444
152151,"caco",1,1520,21904,21904,302.9,310.5,310.5,0,0,1,"2016-2017","dead",3,1,"sub-canopy","Poss dead",0.6,0,280.6,380,747657.2,4308893,38.89402,-78.14445
50246,"cagl",1,504,6134,6134,250.9,263.5,268,0,0,1,"2010-2011","alive",4,4,"canopy","",9.7,9.3,89.7,69.3,747473.5891,4308577.8,38.89123745,-78.14668083
60059,"cagl",1,603,7068,7068,523.1,545.4,565,0,0,1,"2010-2011","alive",5,4,"canopy","",14,13.6,114,53.6,747498.2468,4308562.668,38.89109431,-78.14640232
70256,"cagl",1,703,8273,8273,220,224,226,0,0,1,"2010-2011","alive",4,3,"canopy","",20,10.4,140,50.4,747524.3141,4308560.072,38.8910636,-78.14610305
70269,"cagl",1,704,8285,8285,410.9,426.4,445,0,0,1,"2010-2011","alive",4,4,"canopy","",13.9,8.9,133.9,68.9,747517.7865,4308578.426,38.89123063,-78.14617161
80625,"cagl",1,810,9697,9697,376,381.9,985,0,0,1,"2010-2011","alive",4,4,"canopy","",16,19.7,156,199.7,747536.8461,4308709.703,38.8924068,-78.14590479
111094,"cagl",1,1110,14443,14443,343.8,351.7,362,0,0,1,"2010-2011","alive",4,4,"canopy","",10.1,16.9,210.1,196.9,747590.9965,4308708.159,38.89237764,-78.14528171
121105,"cagl",1,1207,16211,16211,493.4,523.3,560,0,0,1,"2010-2011","alive",4,4,"canopy","",19.9,14.3,239.9,134.3,747622.2408,4308646.267,38.89181179,-78.1449442
131113,"cagl",1,1310,18039,18039,508.7,525.1,535,0,0,1,"2010-2011","alive",4,4,"canopy","",6.6,0.9,246.6,180.9,747627.8579,4308693.01,38.89223091,-78.14486266
152053,"cagl",1,1518,21814,21814,210,211.1,211.1,0,0,1,"2010-2011","dead",5,4,"canopy","",19.4,9.5,299.4,349.5,747676.7,4308863,38.89375,-78.14424
30567,"cagl",1,316,4190,4190,184.3,195.5,195.5,0,0,1,"2016-2017","dead",NA,NA,"sub-canopy","CF",8.4,3.3,48.4,303.3,747426.8716,4308810.779,38.89334749,-78.14713491
40522,"cagl",1,404,4999,4999,227.1,238.5,245,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",14.1,15.6,74.1,75.6,747457.8472,4308583.737,38.89129531,-78.14685999
50244,"cagl",1,504,6132,6132,244,248.5,253,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",10.7,7.8,90.7,67.8,747474.6237,4308576.324,38.89122387,-78.14666945
60172,"cagl",1,609,7174,7174,254.6,264,279,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",15.4,2.5,115.4,162.5,747497.1201,4308671.571,38.89207479,-78.14637604
