"tag","coreID","sp","status.at.coring","1777","1778","1779","1780","1781","1782","1783","1784","1785","1786","1787","1788","1789","1790","1791","1792","1793","1794","1795","1796","1797","1798","1799","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
20605,"20605A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.165,2.386,2.263,1.352,0.585,0.72,0.702,0.25,0.186,0.278,0.964,1.187,0.95,0.686,0.483,0.392,0.259,0.422,0.443,0.413,0.618,0.838,1.296,0.901,1.228,1.189,1.047,0.803,0.74,1.698,1.271,0.968,1.925,1.689,2.024,1.497,1.758,1.319,1.407,1.413,1.042,0.818,1.755,1.012,1.506,1.213,1.214,0.763,0.758,1.168,1.29,0.702,0.921,1.13,1.151,0.95,0.745,0.997,0.912,0.707,0.519,0.626,0.39,0.254,0.428,1.594,1.283,0.359,0.238,0.174,0.19,0.227,0.201,0.19,0.174,0.196,0.206,0.222,0.137,NA,NA,NA
30525,"030525A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.957,2.149,2.653,2.48,2.559,1.709,1.497,0.97,1.213,1.52,1.48,0.781,1.765,1.195,1.691,0.761,0.642,0.501,0.348,0.227,0.279,0.226,0.458,0.444,0.526,0.373,0.306,0.314,0.301,0.243,0.241,0.236,0.208,0.184,0.259,0.469,0.661,1.242,0.559,1.669,2.097,2.357,1.269,2.156,1.734,1.885,2.373,1.224,0.966,1.972,0.913,1.801,3.018,4.036,0.743,0.6,0.433,0.28,0.375,0.464,0.31,0.348,0.557,0.452,0.347,0.341,0.286,0.295,0.832,0.535,0.584,0.419,0.846,1.859,1.698,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA
40952,"40952A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714,0.605,0.997,1.352,1.689,2.28,4.81,3.336,2.628,2.57,1.789,1.89,2.121,2.301,3.665,3.016,2.432,2.168,1.738,2.177,1.752,2.126,1.734,1.86,1.489,2.523,2.736,3.679,2.128,2.971,2.915,2.742,2.697,0.668,1.508,2.441,1.957,2.08,3.315,3.777,2.905,1.95,2.612,2.51,5.241,3.7,3.44,2.934,2.115,2.051,1.689,2.45,1.8,2.073,2.45,2.198,2.3,1.084,1.031,1.315,1.188,1.398,2.285,1.11,1.101,0.971,1.343,1.35,1.245,2.054,1.148,1.339,2.189,1.205,1.156,0.987,1.677,0.567,1.345,2.046,1.382,1.574,1.718,1.188,1.624,1.174,0.989,0.953,0.675,0.926,1.084,1.041,0.966,1.213,1.222,0.922,1.056,1.343,0.761,1.044,0.89,0.946,0.75,0.989,1.835,1.444,0.96,1.061,0.909,0.85,0.719,0.774,0.615,0.483,0.552,0.617,0.756,0.672,0.553,0.476,0.383,0.316,0.427,0.303,0.389,0.316,0.321,0.267,0.255
50488,"50488A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.143,3.024,3.41,3.009,2.135,2.805,3.112,3.3,2.544,1.763,2.048,1.243,1.322,1.243,1.224,0.912,0.761,0.812,0.969,0.831,0.609,1.098,0.741,1.038,1.111,1.086,0.909,0.879,0.754,0.865,0.222,0.254,0.303,1.001,1.579,2.365,5.012,2.04,0.913,0.59,0.623,0.473,0.564,0.716,0.852,0.737,0.993,1.422,2.482,1.667,1.251,0.956,0.56,1.182,1.282,0.386,0.264,0.242,0.207,0.264,0.28,0.476,0.867,0.84,0.851,0.6,0.555,0.65,0.5,0.589,0.502,0.755,0.599,0.518,0.544,1.324,1.125,0.724,0.624,0.629,0.428,0.505,0.491,0.463,0.245,0.301,0.301,0.238,0.219,NA,NA,NA,NA,NA,NA,NA
52059,"52059A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344,0.61,0.809,0.872,1.774,1.277,1.085,1.285,0.962,0.682,1.178,0.598,0.713,0.413,0.227,0.295,0.244,0.184,0.543,0.809,0.59,0.37,0.286,0.601,0.865,0.809,0.354,0.772,0.627,0.881,1.184,0.391,0.576,0.39,0.375,0.485,0.348,0.449,0.713,1.037,0.615,0.662,0.449,0.859,1.248,0.633,0.749,0.51,0.553,0.256,0.523,0.242,0.412,0.334,0.284,0.523,0.524,0.381,0.692,0.354,0.269,0.465,0.522,0.362,0.334,0.263,0.358,0.576,0.337,0.332,0.238,0.588,0.866,0.87,0.417,0.233,0.449,0.359,0.28,0.379,0.328,0.264,0.169,0.159,0.412,0.423,0.396,0.397,0.366,0.233,0.188,0.337,0.313,0.345,0.402,0.272,NA,NA,NA,NA,NA
70622,"70622A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.345,2.229,1.519,1.712,1.197,1.86,1.626,2.256,1.547,2.629,2.178,1.615,1.336,1.573,1.627,2.199,2.317,3.608,2.553,1.219,1.474,1.692,1.53,1.841,1.267,1.054,1.029,2.462,1.702,1.632,1.696,1.444,1.571,1.446,1.368,1.374,1.149,0.864,1.126,0.994,0.667,0.614,0.707,0.873,0.896,1.031,1.067,0.982,1.009,1.422,1.417,1.072,1.232,1.344,1.111,1.167,0.84,2.8,1.462,1.03,0.933,0.709,0.897,0.629,0.668,0.637,0.777,0.569,0.584,0.472,0.456,0.463,0.413,0.264,NA,NA,NA,NA
80398,"80398A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639,1.031,0.918,1.299,1.226,1.054,0.736,1.062,2.016,1.413,0.894,0.96,1.821,2.252,2.436,2.773,3.082,2.789,2.839,2.427,2.491,1.901,1.553,2.4,1.597,2.121,2.374,2.001,2.387,1.794,2.449,1.86,4.007,3.141,1.559,1.785,0.569,0.727,0.56,0.526,0.789,0.589,0.457,0.439,0.45,0.402,0.317,0.385,0.37,0.253,0.254,0.344,0.278,0.256,0.291,0.375,0.359,0.338,0.353,0.46,0.238,0.238,0.275,0.222,0.227,0.232,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA
101092,"101092A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.278,1.818,0.628,1.249,0.834,0.732,0.802,0.385,0.546,0.576,0.805,0.146,0.327,0.411,0.362,0.567,0.104,0.262,0.3,0.176,0.22,0.229,0.171,0.195,0.132,0.361,0.323,0.538,0.667,0.466,0.675,0.448,0.349,0.446,0.525,0.55,0.343,0.371,0.418,0.256,0.427,0.315,0.219,0.155,0.356,0.308,0.371,0.354,0.221,0.148,0.346,0.477,0.543,0.632,0,0.345,0.376,0.371,0.669,0.68,0.377,0.396,0.515,0.585,0.284,0.497,0.423,0.392,0.339,0.326,0.384,0.248,0.239,0.153,0.158,0.191,0.209,0.177,0.229,0.206,0.14,0.179,0.156,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111190,"111190A","caco","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0.331,0.544,0.43,0.549,0.562,0.626,0.717,0.76,0.646,0.87,0.94,0.84,0.587,0.503,0.545,0.684,0.865,0.902,0.708,0.642,0.984,0.771,0.853,1.011,0.894,0.935,0.812,0.922,0.905,0.566,1.123,1.009,0.96,1.147,1.056,1.144,1.201,1.237,1.177,1.244,1.624,1.339,1.341,1.422,1.41,1.358,0.742,1.052,0.768,1.081,1.175,1.109,1.179,1.191,0.957,1.113,0.937,1.261,1.128,0.85,0.976,0.845,0.21,0.207,0.211,0.239,0.256,0.196,0.192,0.337,0.35,0.301,0.551,0.303,0.307,0.428,0.512,0.346,0.37,0.28,0.395,0.315,0.343,0.344,0.548,0.409,0.24,0.365,0.396,0.244,0.344,0.315,NA,NA,NA,NA,NA,NA,NA,NA
132010,"132010A","caco","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.714,2.476,1.956,1.674,0.745,0.66,0.429,0.996,0.882,1.221,0.755,0.463,0.456,0.53,0.365,0.385,0.564,0.417,0.921,0.733,0.745,0.686,0.892,0.428,0.388,0.479,0.36,0.558,0.386,0.326,0.821,0.648,0.647,0.627,1.317,1.808,1.302,1.013,1.229,1.288,1.143,1.207,1.197,0.987,1.418,1.023,1.537,1.824,1.323,1.595,1.278,1.128,0.989,0.979,0.857,1.142,1.02,1.007,0.756,0.975,0.89,1.049,0.793,0.844,0.947,0.644,0.989,1.008,0.765,0.567,0.551,0.713,0.471,0.687,1.038,1.018,1.086,0.834,1.083,0.919,0.953,0.729,0.701,0.392,0.412,0.577,0.302,0.306,0.335,0.308,0.304,0.377,0.35,0.41,0.431,0.536,0.578,0.429,0.572,1.425,1.198,1.475,1.008,1.131,1.465,0.677,0.873,1.066,0.875,1.045,1.774,1.392,0.838,0.739,0.532,0.866,0.762,1.036,0.923,0.533,0.277,0.43,NA,NA
