"tag","coreID","sp","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
122131,"122131","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.122,1.581,1.299,0.105,2.613,2.767,1.588,1.776,1.188,0.964,0.77,1.582,1.368,1.492,1.208,0.852,1.181,1.418,1.017,1.173,0.991,0.977,0.803,0.501,0.537,0.397,0.589,0.938,1.118,0.826,0.369,0.55,0.524,0.635,0.42,0.516,0.866,0.836,0.769,0.681,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122146,"122146","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.336,1.723,1.469,1.707,1.861,1.816,1.378,1.3,1.273,1.241,1.069,1.122,1.219,1.872,1.865,2.108,2.211,1.918,2.178,1.81,1.144,1.329,0.953,1.196,1.12,1.347,1.063,1.439,1.224,1.53,1.282,0.968,1.18,1.843,1.577,1.421,1.043,0.897,1.041,0.922,1.464,1.385,2.019,1.208,0.735,1.621,2.108,1.709,1.707,1.996,1.355,1.297,1.194,1.111,1.488,NA,NA,NA,NA,NA,NA
122149,"122149","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952,0.696,0.512,0.235,0.32,0.316,0.412,0.787,1.118,1.277,0.912,1.675,1.238,1.156,1.141,0.028,0.784,0.708,0.427,0.456,0.506,0.775,0.846,0.534,0.448,0.545,0.637,0.495,0.448,0.346,0.492,0.447,0.398,0.191,0.228,0.312,0.378,0.415,0.292,0.425,0.269,0.255,0.364,0.247,0.255,0.203,0.116,0.102,0.042,0.103,0.043,0.077,0.038,0.028,0.032,0.068,0.075,0.034,0.044,NA,NA,NA,NA,NA,NA
122150,"122150","pist",NA,NA,NA,NA,NA,NA,0.57,0.852,0.843,0.715,1.434,0.747,1.161,1.096,0.677,1.481,1.463,1.171,1.208,0.941,0.893,0.85,0.878,0.859,1.026,2.089,1.391,1.689,2.077,1.311,2.204,1.739,1.263,1.257,1.084,0.983,0.879,0.051,1.106,1.777,1.641,1.323,0.935,0.937,1.09,0.893,0.684,0.872,0.85,0.904,0.46,0.853,0.734,1.511,1.211,1.22,0.946,0.932,0.863,1.108,0.813,1.327,0.952,0.704,0.756,0.693,0.826,1.086,0.833,0.579,0.287,0.622,0.438,0.465,0.465,0.461,0.606,0.483,0.389,0.343,0.431,NA,NA,NA,NA,NA,NA
122157,"122157","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857,1.198,1.833,1.61,1.741,1.598,1.223,1.417,1.663,1.278,1.655,1.286,1.18,1.237,0.052,1.141,2.272,2.201,2.32,1.198,1.851,1.968,1.52,2.099,2.435,1.932,1.77,1.412,2.222,1.713,1.286,1.592,1.594,1.674,1.518,1.096,1.596,1.567,2.804,1.85,1.734,1.111,1.324,1.795,1.796,1.758,1.18,0.631,1.529,1.529,1.69,2.072,1.989,1.503,2.377,1.434,1.28,1.71,NA,NA,NA,NA,NA,NA
122164,"122164","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.261,1.27,1.218,1.528,1.159,1.283,0.948,0.899,1.503,0.952,1.418,0.817,0.691,0.48,0.73,0.789,0.71,0.847,2.383,1.877,1.491,1.313,1.046,1.529,1.232,1.31,1.308,0.952,0.893,0.615,0.664,0.932,0.927,0.541,0.504,0.491,0.384,0.389,0.414,0.457,0.304,0.366,0.229,0.283,0.245,0.278,0.311,0.174,0.179,0.11,0.078,0.157,0.098,0.131,0.066,0.037,0.026,0.05,0.024,0.055,0.04,0.059,0.06,0.062,0.037,0.035,0.041,NA,NA,NA,NA,NA,NA
122165,"122165","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651,0.621,1.066,0.599,0.437,0.497,0.428,0.358,0.402,0.534,0.5,0.744,2.541,2.202,1.356,1.412,1.156,1.039,0.979,0.623,1.479,2.428,3.009,0.491,0.469,0.623,0.025,0.479,0.443,0.438,0.456,0.534,0.748,0.628,0.542,0.528,0.568,0.381,0.353,0.254,0.306,0.238,0.371,0.418,0.262,0.238,0.279,0.182,0.547,0.437,0.658,0.495,0.428,0.414,0.379,0.523,0.782,0.741,0.487,0.271,0.378,0.267,0.297,0.289,0.326,0.544,0.375,0.285,0.345,0.36,NA,NA,NA,NA,NA,NA
122166,"122166","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.018,0.897,1.396,1.037,1.126,0.768,0.618,0.571,0.463,0.693,0.631,0.658,2.069,1.598,1.029,1.03,1.664,1.948,1.295,1.315,0.973,0.982,0.974,0.754,0.839,1.475,1.595,1.897,1.162,1.278,1.325,1.034,1.133,1.179,0.83,1.141,0.678,0.717,0.736,0.989,0.877,0.782,0.837,0.717,0.564,0.733,0.916,0.896,0.817,0.619,0.646,0.366,0.754,0.963,0.97,0.799,0.448,0.966,0.658,0.601,0.482,0.495,0.506,0.363,0.416,0.518,0.577,NA,NA,NA,NA,NA,NA
122180,"122180","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951,0.794,0.704,0.264,0.116,0.172,0.43,0.46,0.365,0.371,0.248,0.27,0.282,0.681,3.853,1.911,1.732,1.239,1.013,1.453,1.393,0.905,0.863,1.72,1.543,0.979,0.082,1.234,2.017,1.266,1.183,0.693,0.839,0.837,0.705,0.511,0.457,0.44,0.429,0.288,0.311,0.337,0.336,0.398,0.309,0.403,0.406,0.378,0.604,0.372,0.51,0.436,0.294,0.332,0.477,1.026,1.745,1.783,1.156,0.4,0.67,0.687,0.647,1.001,0.883,0.932,0.99,0.995,1.038,1.235,NA,NA,NA,NA,NA,NA
122184,"122184","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.582,0.574,0.705,0.777,0.706,0.72,1.016,0.953,0.881,1.449,2.239,2.559,1.686,1.747,1.514,1.043,1.034,0.911,0.678,0.67,0.708,0.599,0.49,0.582,0.498,0.319,0.294,0.297,0.27,0.257,0.215,0.32,0.259,0.43,0.291,0.227,0.459,0.381,0.522,0.394,0.408,0.335,0.505,0.589,0.563,0.647,0.546,0.458,0.44,0.619,0.883,1.212,1.03,0.919,0.451,0.631,0.693,0.745,0.737,0.645,0.771,0.777,0.717,0.805,0.757,NA,NA,NA,NA,NA,NA
