"tag","coreID","sp","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
11241,"11241B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,2.698,3.621,2.914,2.848,1.631,1.631,0.818,2.061,3.079,2.283,1.344,1.644,1.112,1.064,1.288,1.438,0.595,1.586,1.142,1.771,2.358,2.317,4.692,2.086,0.898,0.965,0.559,0.357,0.408,0.361,0.279,0.245,0.242,0.245,0.321,0.421,0.301,0.311,0.315,0.249,0.347,0.245,0.236,0.329,0.482,0.428,0.299,0.458,0.363,0.38,0.297,2.141,2.263,2.233,1.512,2.02,1.289,1.549,1.75,2.226,2.419,1.019,0.673,0.502,0.609,0.532,0.377,0.316,0.257,0.411,0.483,0.405,0.669,0.551,0.627,0.486,0.15,0.422,0.234,0.318,0.329,0.604,0.412,0.278,0.27,0.246,0.386,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA
12366,"12366","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.859,1.364,0.693,0.38,0.324,0.525,2.37,1.314,1.384,1.557,1.017,0.885,1.19,1.206,0.711,0.716,0.894,0.77,0.365,0.337,0.411,0.219,0.241,0.228,0.248,0.23,0.34,0.345,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12367,"12367B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.341,3.147,2.196,1.624,0.374,1.664,0.993,1.586,2.616,1.906,1.74,1.234,1.102,0.557,0.468,0.37,0.459,0.349,0.589,0.752,0.144,0.101,0.157,0.178,0.187,0.16,0.536,0.313,0.65,0.66,0.178,0.339,0.28,0.098,0.095,0.075,0.124,0.117,0.107,0.13,0.198,0.143,0.139,0.116,0.105,0.152,0.263,0.21,0.222,0.192,0.192,0.203,0.182,0.149,0.119,NA,NA,NA,NA,NA,NA,NA,NA
12369,"12369A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.231,1.125,1.55,2.667,1.453,3.38,1.812,0.572,1.421,1.085,1.653,0.86,1.489,1.334,1.373,3.904,2.179,0.617,2.887,1.939,1.987,1.073,0.846,1.007,1.12,0.862,0.987,1.43,0.413,0.48,0.261,0.239,0.257,0.201,0.669,0.748,0.381,0.548,0.414,0.633,0.596,0.366,0.301,0.28,0.288,0.329,0.132,0.176,0.234,0.176,0.198,0.151,0.145,0.194,0.22,0.151,0.144,0.154,0.131,0.106,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
12490,"12490","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494,1.638,1.424,1.175,0.972,1.49,1.269,1.273,0.932,1.14,0.646,0.88,0.838,0.565,0.469,0.716,0.548,0.869,0.888,0.716,0.892,0.66,0.575,0.595,0.4,0.376,0.313,0.486,0.619,0.599,1.049,1.486,1.942,2.015,1.788,0.956,0.622,0.45,0.371,0.388,0.431,0.783,1.645,1.163,0.998,0.924,1.043,1.347,1.537,1.964,2.022,1.538,2.157,2.506,2.233,2.013,1.686,1.062,0.926,0.57,0.644,0.913,0.855,0.896,0.886,0.41,0.456,0.422,0.773,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20804,"20804A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,1.547,1.051,1.271,1.386,1.163,0.724,0.813,0.823,0.487,0.453,0.305,0.289,0.356,0.533,0.4,0.745,0.541,0.498,1.044,1.252,1.79,2.175,1.576,1.811,4.371,4.672,3.607,2.811,3.486,3.126,2.892,2.593,2.97,3.72,4.291,3.292,1.958,2.641,3.006,2.337,1.795,1.817,1.25,1.964,1.729,2.407,4.136,2.643,2.448,1.677,0.79,0.793,0.706,0.335,0.298,0.343,0.27,0.317,0.459,0.556,0.425,0.351,0.233,0.122,0.134,0.161,0.165,0.222,0.23,0.281,0.265,0.572,0.589,0.651,0.903,1.012,0.953,1.715,1.44,0.875,0.689,0.923,0.734,0.753,0.626,0.512,0.476,0.389,0.466,0.811,1.055,1.199,1.586,0.936,0.518,0.744,0.774,0.707,0.657,0.614,0.612,0.66,0.528,0.11,0.144,0.14,0.2,0.156,0.17,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22545,"22545","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.854,2.367,3.263,1.901,2.521,2.163,2.213,1.822,1.011,0.833,0.776,0.825,1.031,1.263,1.453,1.788,1.773,1.484,2.246,2.355,1.335,1.011,1.117,1.508,1.301,1.776,2.105,2.351,1.767,1.484,1.769,1.688,1.003,1.709,1.63,1.339,1.305,1.203,1.275,1.399,0.95,1.155,1.102,0.744,0.557,0.615,0.797,0.687,1.505,1.401,1.794,1.569,1.788,2.591,2.379,1.619,2.767,1.538,0.872,0.929,1.265,1.125,1.461,0.919,1.809,1.755,1.577,1.81,1.369,0.915,1.38,1.661,1.708,1.719,1.721,1.029,1.253,0.723,1.571,1.585,1.573,1.858,1.763,1.282,0.992,0.924,1.244,1.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22603,"22603","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.655,0.956,0.391,0.252,0.438,0.567,1.23,1.257,1.064,0.542,0.052,0.137,0.058,0.135,0.164,0.157,0.157,0.097,0.832,1.227,0.885,0.86,0.709,0.725,0.544,0.497,0.255,0.346,0.423,0.489,0.39,0.519,0.38,0.324,0.325,0.354,0.328,0.109,0.084,0.076,0.085,0.055,0.069,0.154,0.21,0.249,0.235,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22604,"22604","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.368,1.676,0.559,1.016,1.853,2.111,1.46,1.417,0.987,1.329,1.574,1.459,0.917,1,1.045,0.443,0.54,0.749,0.647,0.402,0.46,0.27,0.335,0.286,0.197,0.179,0.142,0.212,0.267,0.506,0.914,1.103,1.374,1.384,0.603,0.515,0.679,0.843,1.337,0.874,1.267,1.038,1.179,1.523,1.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29894,"29894B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.033,2.886,1.926,2.685,1.389,1.844,2.505,2.93,2.349,2.473,3.088,2.526,1.552,2.7,4.434,3.943,3.698,1.043,1.585,1.269,1.512,1.303,0.409,0.483,0.534,0.425,0.47,0.585,0.5,0.378,0.417,0.381,0.244,0.349,0.297,0.237,0.253,0.295,0.33,0.333,0.584,0.62,0.808,0.419,1.122,0.638,1.184,2.006,1.592,1.617,2.203,1.136,0.571,0.396,0.385,0.241,0.266,0.373,1.197,2.393,2.18,0.319,1.539,0.832,0.341,0.53,0.844,1.214,0.887,0.454,0.285,0.063,0.111,0.155,0.09,0.124,0.133,0.09,0.08,0.076,0.054,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA
