rebar_id,x,y,elev
"1,1",0,0,293.83
"1,2",0,20,292.3
"1,3",0,40,290.78
"1,4",0,60,289.56
"1,5",0,80,289.26
"1,6",0,100,288.95
"1,7",0,120,289.26
"1,8",0,140,290.17
"1,9",0,160,289.86
"1,10",0,180,289.56
"1,11",0,200,290.47
"1,12",0,220,291.69
"1,13",0,240,292
"1,14",0,260,293.22
"1,15",0,280,294.13
"1,16",0,300,294.44
"1,17",0,320,293.22
"1,18",0,340,292
"1,19",0,360,289.86
"1,20",0,380,285.29
"1,21",0,400,280.42
"1,22",0,420,277.37
"1,23",0,440,275.23
"1,24",0,460,274.32
"1,25",0,480,274.02
"1,26",0,500,274.02
"1,27",0,520,273.71
"1,28",0,540,273.71
"1,29",0,560,274.02
"1,30",0,580,275.23
"1,31",0,600,276.45
"1,32",0,620,278.59
"1,33",0,640,278.59
"2,1",20,0,293.52
"2,2",20,20,291.39
"2,3",20,40,289.86
"2,4",20,60,289.26
"2,5",20,80,288.95
"2,6",20,100,287.43
"2,7",20,120,286.82
"2,8",20,140,286.82
"2,9",20,160,287.12
"2,10",20,180,287.73
"2,11",20,200,287.12
"2,12",20,220,287.12
"2,13",20,240,287.12
"2,14",20,260,287.12
"2,15",20,280,287.73
"2,16",20,300,287.43
"2,17",20,320,287.73
"2,18",20,340,285.9
"2,19",20,360,282.85
"2,20",20,380,278.89
"2,21",20,400,276.76
"2,22",20,420,275.54
"2,23",20,440,275.54
"2,24",20,460,275.54
"2,25",20,480,275.54
"2,26",20,500,275.23
"2,27",20,520,276.15
"2,28",20,540,277.98
"2,29",20,560,278.28
"2,30",20,580,281.03
"2,31",20,600,282.24
"2,32",20,620,284.07
"2,33",20,640,284.99
"3,1",40,0,292.91
"3,2",40,20,291.39
"3,3",40,40,290.78
"3,4",40,60,289.86
"3,5",40,80,288.95
"3,6",40,100,287.73
"3,7",40,120,286.51
"3,8",40,140,285.6
"3,9",40,160,284.99
"3,10",40,180,284.68
"3,11",40,200,284.99
"3,12",40,220,284.38
"3,13",40,240,284.07
"3,14",40,260,283.77
"3,15",40,280,283.16
"3,16",40,300,281.94
"3,17",40,320,281.33
"3,18",40,340,279.2
"3,19",40,360,277.98
"3,20",40,380,277.67
"3,21",40,400,276.76
"3,22",40,420,276.45
"3,23",40,440,277.06
"3,24",40,460,277.67
"3,25",40,480,278.59
"3,26",40,500,280.11
"3,27",40,520,282.85
"3,28",40,540,282.85
"3,29",40,560,283.16
"3,30",40,580,286.21
"3,31",40,600,288.95
"3,32",40,620,290.47
"3,33",40,640,290.78
"4,1",60,0,292.3
"4,2",60,20,292
"4,3",60,40,292
"4,4",60,60,295.05
