family,genus,species,latin name,common name,spcode,native_status,habitat,drought_tolerance,deer_herbivory,plant type,references
Caprifoliaceae,Symphoricarpos,orbiculatus ,Symphoricarpos orbiculatus ,Coralberry,syor,introduced,"Mesic to dry forests (where often shade-stressed), woodlands, well-drained floodplains, pastures, and old fields, especially, but by no means exclusively, in base-rich substrates. Common throughout. This shrub is now invasive in dry rocky woodlands and barrens on metabasalt and diabase in northern Virginia where it was absent 20 years ago",,NA,woody,"Weakly et al, 2012 (habitat)"
Anacardiaceae,Toxicodendron,radicans,Toxicodendron radicans,poison ivy,tora,native,"Ubiquitous in a wide range of habitats, including mesic to dry upland forests, floodplain forests, swamps, boulderfields, rock outcrops, old fields, clearings, and fencerows; typically in more mesic and fertile sites than T. pubescens. Common throughout the state.",,NA,woody,Digital Atlas of the Virginia Flora
Ulmaceae,Ulmus,rubra,Ulmus rubra,Slippery Elm,ulru,native,"Mesic to dry mesic upland forest, rocky, disturbed habitats",drought-resistant,NA,woody,Digital Atlas of the Virginia Flora
Unknown,Unknown,conifer.,Unknown conifer.,,conifersp,,,,,woody,
Unknown,Unknown species,,Unknown species,,unk,,,,,woody,
Adoxaceae,Viburnum,prunifolium,Viburnum prunifolium,Black Haw,vipr,native,"Ubiquitous n a notably wide range of forested to open, wet to dry habitats and vegetation types. Common throughout.",drought-resistant,NA,woody,Digital Atlas of the Virginia Flora
Adoxaceae,Viburnum,sp.,Viburnum sp.,,visp,native,"Open, wet to dry habitats.",drought-resistant,NA,woody,Digital Atlas of the Virginia Flora
Vitaceae,Vitis,sp.,Vitis sp.,,vitis,,,,,woody,
Rubiaceae,Galium,sp,Galium sp.,Smooth Bedstraw,gasp,Introduced,"Mesic to damp roadsides and other open, disturbed habitats. Frequent in the mountains; infrequent to rare in the Piedmont, although now apparently spreading rapidly in the northern half of the province; very rare in the Coastal Plain (York Co.).",,,herbaceous,
,,,,,acpl,,,,,woody,
,,,,,ceor,,,,,woody,
,,,,,elum,,,,,herbaceous,
,,,,,wave leaf,,,,,herbaceous,
,,,,,poin,,,,,herbaceous,
,,,,,pope,,,,,herbaceous,
,,,,,alep,,,,,herbaceous,
,,,,,vapa,,,,,,
