"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","hom","dbh.2008","codes.2008","status.2008","date.2008","agb.2008","dbh.2013","codes.2013","status.2013","date.2013","agb.2013","dbh.2018","codes.2018","status.2018","date.2018","agb.2018","status.2014","status.2015","dbh.if.dead.2015","agb.if.dead.2015","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","comments","date.2015","surveyors"
10001,1,1002,"0101","ulsp","Ulmus sp",6.1,1,1.3,188.3,"G;M;lost","G","10/21/2008",0.15,0,"DC","D","3/13/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10001,2,32184,"0101","ulsp","Ulmus sp",6.1,1,1.3,116.8,"G;S","A","10/21/2008",0.05,0,"DC","D","3/13/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10006,1,1006,"0101","juni","Juglans nigra",7.2,6.5,1.3,599.9,"NULL","A","10/21/2008",2.82,609,"NULL","A","3/13/2013",2.92,616,"NULL","A","8/27/2018",3,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10007,1,1007,"0101","unk","Unidentified unk",7.4,9.4,1.3,178.9,"D;Q","D","10/21/2008",0.15,0,"DC","D","3/13/2013",0,NA,"DC","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10009,1,1008,"0101","caco","Carya cordiformis",3.6,10.8,1.3,202.3,"I","A","10/21/2008",0.24,262,"NULL","A","3/13/2013",0.44,283,"I","A","8/27/2018",0.52,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10010,1,1009,"0101","juni","Juglans nigra",7.3,12.2,1.3,541.9,"NULL","A","10/21/2008",2.22,578,"NULL","A","3/13/2013",2.58,629,"NULL","A","8/27/2018",3.15,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10011,1,1010,"0101","ulru","Ulmus rubra",7.9,18.1,1.3,203.1,"D","D","10/21/2008",0.18,0,"DS","D","3/13/2013",0,NA,"DC","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10013,1,1011,"0102","fram","Fraxinus americana",5.5,23.5,1.3,194.6,"NULL","A","10/21/2008",0.21,228,"NULL","A","3/21/2013",0.31,268,"NULL","A","8/27/2018",0.44,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10016,1,1013,"0102","ceoc","Celtis occidentalis",5.8,22.8,1.3,205.9,"NULL","A","10/21/2008",0.2,233.2,"NULL","A","3/21/2013",0.28,257,"NULL","A","8/27/2018",0.35,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10019,1,1016,"0102","ulru","Ulmus rubra",1.9,27.2,1.3,137.2,"D","D","10/21/2008",0.07,0,"DC","D","3/21/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10020,1,1017,"0102","ulru","Ulmus rubra",2.2,27.1,1.3,13.4,"NULL","A","10/21/2008",0,61,"NULL","A","3/21/2013",0.01,NA,"DS","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,1,1018,"0102","fram","Fraxinus americana",5.1,30.1,1.3,120.1,"NULL","A","10/21/2008",0.07,160,"NULL","A","3/21/2013",0.14,206,"NULL","A","8/27/2018",0.24,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10035,1,1030,"0103","acru","Acer rubrum",4.8,50.1,1.3,450.1,"NULL","A","10/21/2008",1.34,467,"NULL","A","3/29/2013",1.47,505,"NULL","A","8/27/2018",1.79,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10036,1,1031,"0103","acru","Acer rubrum",6.2,49.5,1.3,425,"NULL","A","10/21/2008",1.16,420.8,"I","A","3/29/2013",1.13,442,"NULL","A","8/27/2018",1.28,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10037,1,1032,"0103","acru","Acer rubrum",8.1,53.6,1.3,378.5,"I","A","10/21/2008",0.87,381.2,"NULL","A","3/29/2013",0.88,NA,"DC","G","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10039,1,1033,"0103","libe","Lindera benzoin",8.1,54.1,1.3,55,"D","D","10/21/2008",0.01,0,"DN","D","3/29/2013",0,NA,"DN","D","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10045,1,1039,"0104","cato","Carya tomentosa",0.6,61.2,1.2,171.8,"A","A","10/21/2008",0.17,228.2,"NULL","A","4/1/2013",0.32,335,"I","A","8/27/2018",0.77,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10053,1,1046,"0104","acru","Acer rubrum",4.8,61.2,1.3,164.2,"NULL","A","10/21/2008",0.11,168.1,"NULL","A","4/1/2013",0.11,171,"NULL","A","8/27/2018",0.12,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10057,1,1049,"0104","fram","Fraxinus americana",6.2,69.7,1.3,184.8,"NULL","A","10/21/2008",0.19,0,"DS","D","4/1/2013",0,NA,"DS","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10058,1,1050,"0104","astr","Asimina triloba",6.7,70,1.3,64.6,"M","A","10/21/2008",0.01,72.4,"M","A","4/1/2013",0.02,83,"M","A","8/27/2018",0.02,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10058,2,32195,"0104","astr","Asimina triloba",6.7,70,1.3,57.3,"S","A","10/21/2008",0.01,68,"S","A","4/1/2013",0.01,77,"S","A","8/27/2018",0.02,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10073,1,1064,"0104","libe","Lindera benzoin",4.2,72.5,1.3,32.9,"NULL","A","10/21/2008",0,54.1,"M","A","4/1/2013",0.01,66,"M","A","8/27/2018",0.01,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10080,1,1070,"0104","prse","Prunus serotina",3.7,73.4,1.3,30.2,"NULL","A","10/21/2008",0,68.9,"NULL","A","4/1/2013",0.01,100,"NULL","A","8/27/2018",0.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10101,1,1091,"0101","ulru","Ulmus rubra",8.9,1.8,1.3,95.8,"NULL","A","10/21/2008",0.03,100.5,"NULL","A","3/13/2013",0.03,NA,"DS","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10105,1,1092,"0101","libe","Lindera benzoin",7.5,2.5,1.3,64.6,"NULL","A","10/21/2008",0.01,76,"NULL","A","3/13/2013",0.02,NA,"DC","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106,1,1093,"0101","ulru","Ulmus rubra",11,2.5,1.3,95.3,"NULL","A","10/21/2008",0.03,94,"NULL","A","3/13/2013",0.03,NA,"DS","D","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10109,1,1094,"0101","caco","Carya cordiformis",15.1,2,1.3,116.1,"NULL","A","10/21/2008",0.07,119,"NULL","A","3/13/2013",0.07,127,"NULL","A","8/27/2018",0.08,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10111,1,1095,"0101","libe","Lindera benzoin",16.6,0.7,1.3,58.8,"I;M","A","10/21/2008",0.01,0,"DS","G","3/13/2013",0,NA,"DN","G","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10116,1,1099,"0101","unk","Unidentified unk",12.5,10.1,1.3,163.7,"D;Q","D","10/21/2008",0.12,0,"DC","D","3/13/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
