"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","pom","dbh.2008","codes.2008","status.2008","date.2008"
"10142","1",1117,"0102","ceoc","Celtis occidentalis",15.8999996185303,29.8999996185303,"1.3",82.5999984741211,NA,"A","2008-10-21"
"10154","1",1128,"0102","ceoc","Celtis occidentalis",11,36,"1.3",92.0999984741211,NA,"A","2008-10-21"
"10157","1",1131,"0102","fram","Fraxinus americana",4.30000019073486,38.9000015258789,"1.3",449.200012207031,NA,"A","2008-10-21"
"10160","1",1134,"0103","acru","Acer rubrum",11.5,42.5999984741211,"1.3",607.099975585938,"M","A","2008-10-21"
"10160","2",32233,"0103","acru","Acer rubrum",11.5,42.5999984741211,"1.3",600.099975585938,"S","A","2008-10-21"
"10161","1",1135,"0103","frni","Fraxinus nigra",18,46.0999984741211,"1.3",115.800003051758,NA,"A","2008-10-21"
"10162","1",1136,"0103","unk","Unidentified unk",16.2000007629395,55.4000015258789,"1.3",238.399993896484,"D,Q","D","2008-10-21"
"10163","1",1137,"0103","litu","Liriodendron tulipifera",15.3999996185303,57.2000007629395,"1.3",631.799987792969,NA,"A","2008-10-21"
"10165","1",1139,"0103","acru","Acer rubrum",12.8999996185303,58,"1.3",439.700012207031,NA,"A","2008-10-21"
"10166","1",1140,"0103","frni","Fraxinus nigra",12.6999998092651,58.4000015258789,"1.3",135.899993896484,NA,"A","2008-10-21"
"10178","1",1151,"0104","frni","Fraxinus nigra",18.7999992370605,73.3000030517578,"1.3",128.899993896484,"M","A","2008-10-21"
"10178","2",32238,"0104","frni","Fraxinus nigra",18.7999992370605,73.3000030517578,"1.3",13,"S","A","2008-10-21"
"10181","1",1153,"0104","vipr","Viburnum prunifolium",12.8999996185303,63.4000015258789,"1.3",64.8000030517578,"L,M","A","2008-10-21"
"10185","1",1157,"0104","acru","Acer rubrum",10.8999996185303,62.7000007629395,"1.3",556.299987792969,NA,"A","2008-10-21"
"10186","1",1158,"0104","qual","Quercus alba",10.3000001907349,62.7000007629395,"1.3",298.200012207031,NA,"A","2008-10-21"
"10188","1",1159,"0104","amar","Amelanchier arborea",11.8000001907349,64.5,"1.3",134.100006103516,NA,"A","2008-10-21"
"10189","1",1160,"0104","acru","Acer rubrum",12.3000001907349,64.5,"1.3",232.100006103516,NA,"A","2008-10-21"
"10191","1",1162,"0104","amar","Amelanchier arborea",13.3000001907349,64.5,"1.1",75.5999984741211,"A,L","A","2008-10-21"
"10193","1",1164,"0104","fram","Fraxinus americana",17.7000007629395,72.3000030517578,"1.3",335.899993896484,NA,"A","2008-10-21"
"10194","1",1165,"0104","fagr","Fagus grandifolia",14.8999996185303,73.1999969482422,"1.3",275.799987792969,NA,"A","2008-10-21"
"10196","1",1166,"0104","prse","Prunus serotina",17.2000007629395,77.9000015258789,"1.3",180.5,NA,"A","2008-10-21"
"10197","1",1167,"0104","ceca","Cercis canadensis",17.2999992370605,79.0999984741211,"1.3",199.800003051758,NA,"A","2008-10-21"
"10205","1",1175,"0104","fagr","Fagus grandifolia",11.8000001907349,75,"1.3",90.9000015258789,NA,"A","2008-10-21"
"10213","1",1182,"0104","fram","Fraxinus americana",6.40000009536743,77.6999969482422,"1.3",405.399993896484,NA,"A","2008-10-21"
"10249","1",1218,"0105","ulru","Ulmus rubra",13.1999998092651,98.4000015258789,"1.3",302,NA,"A","2008-10-21"
"10251","1",1219,"0105","fram","Fraxinus americana",10.8999996185303,98.9000015258789,"1.3",103.800003051758,NA,"A","2008-10-21"
"10253","1",1221,"0105","fram","Fraxinus americana",8.69999980926514,98.8000030517578,"1.3",251.899993896484,NA,"A","2008-10-21"
"10263","1",1229,"0105","acne","Acer negundo",1.10000002384186,95.9000015258789,"1.3",33.7999992370605,"M","A","2008-10-21"
"10263","2",32273,"0105","acne","Acer negundo",1.10000002384186,95.9000015258789,"1.3",24.7000007629395,"S","A","2008-10-21"
"10266","1",1232,"0106","frni","Fraxinus nigra",18.3999996185303,101.900001525879,"1.3",169.100006103516,NA,"A","2008-10-21"
"10279","1",1243,"0106","nysy","Nyssa sylvatica",17.5,108.300003051758,"1.3",98.8000030517578,NA,"A","2008-10-21"
"10280","1",1244,"0106","nysy","Nyssa sylvatica",19.7000007629395,112.300003051758,"1.3",239.600006103516,NA,"A","2008-10-21"
"10284","1",1246,"0106","ceca","Cercis canadensis",15.6999998092651,103.199996948242,"1.3",139.5,NA,"A","2008-10-21"
"10285","1",1247,"0106","fram","Fraxinus americana",10.5,103.400001525879,"1.3",230.300003051758,NA,"A","2008-10-21"
"10286","1",1248,"0106","juni","Juglans nigra",9.5,103.400001525879,"1.3",218.5,NA,"A","2008-10-21"
"10287","1",1249,"0106","caca","Carpinus caroliniana",13.8999996185303,112.900001525879,"1.3",161.300003051758,NA,"A","2008-10-21"
"10290","1",1251,"0106","cofl","Cornus florida",9.80000019073486,112.800003051758,"1.3",63.9000015258789,"M","A","2008-10-21"
"10292","1",1253,"0106","ulru","Ulmus rubra",9.39999961853027,113,"1.3",164.300003051758,NA,"A","2008-10-21"
"10294","1",1255,"0106","unk","Unidentified unk",11.3999996185303,107,"1.3",215.5,"D,Q","D","2008-10-21"
"10296","1",1257,"0106","juni","Juglans nigra",9.69999980926514,109.199996948242,"1.3",550.900024414062,NA,"A","2008-10-21"
"10312","1",1271,"0105","libe","Lindera benzoin",11.8000001907349,94.8000030517578,"1.2",65.6999969482422,"A,B,M,lost","A","2008-10-21"
"10338","1",1296,"0106","libe","Lindera benzoin",3.09999990463257,100.099998474121,"1.3",37,"M","A","2008-10-21"
"10346","1",1304,"0106","fram","Fraxinus americana",0.600000023841858,102.599998474121,"1.3",44.2000007629395,NA,"A","2008-10-21"
"10367","1",1325,"0106","unk","Unidentified unk",6.30000019073486,103.199996948242,"1.3",166.899993896484,"B,D,Q","D","2008-10-21"
"10376","1",1334,"0106","fram","Fraxinus americana",2.90000009536743,103.300003051758,"1.3",15.1000003814697,"D,Q","A","2008-10-21"
"10379","1",1337,"0106","fram","Fraxinus americana",2.59999990463257,103.099998474121,"1.3",14,"D","D","2008-10-21"
"10401","1",1359,"0106","caca","Carpinus caroliniana",8.80000019073486,108.099998474121,"1.3",126.400001525879,NA,"A","2008-10-21"
"10405","1",1363,"0106","caca","Carpinus caroliniana",6.09999990463257,114.5,"1.3",100.800003051758,NA,"A","2008-10-21"
"10409","1",1366,"0106","vipr","Viburnum prunifolium",10.3999996185303,117.599998474121,"1.3",62.9000015258789,"P","A","2008-10-21"
"10412","1",1369,"0107","caca","Carpinus caroliniana",5.90000009536743,120.300003051758,"1.3",71.0999984741211,"M,P","A","2008-10-21"
"10416","1",1373,"0106","ulsp","Ulmus sp",1.79999995231628,113.800003051758,"1.3",205.800003051758,NA,"A","2008-10-21"
"10424","1",1380,"0106","caco","Carya cordiformis",0.600000023841858,117,"1.3",368.299987792969,NA,"A","2008-10-21"
"10427","1",1382,"0106","juni","Juglans nigra",1.5,112.800003051758,"1.3",254.300003051758,NA,"A","2008-10-21"
"10433","1",1387,"0107","caca","Carpinus caroliniana",14,122.699996948242,"1.3",97.1999969482422,NA,"A","2008-10-22"
"10434","1",1388,"0107","caco","Carya cordiformis",20,121.699996948242,"1.3",164,NA,"A","2008-10-22"
"10435","1",1389,"0107","libe","Lindera benzoin",18.7000007629395,127.800003051758,"1.3",54.5,NA,"A","2008-10-22"
"10436","1",1390,"0107","fagr","Fagus grandifolia",10.3000001907349,128.199996948242,"1.3",549.099975585938,NA,"A","2008-10-22"
"10440","1",1391,"0107","fram","Fraxinus americana",14.3000001907349,132.5,"1.3",354.399993896484,NA,"A","2008-10-22"
"10442","1",1393,"0107","libe","Lindera benzoin",13.1000003814697,134.300003051758,"1.3",52.9000015258789,NA,"A","2008-10-22"
"10443","1",1394,"0107","caca","Carpinus caroliniana",18.2000007629395,136.300003051758,"1.3",149.399993896484,NA,"A","2008-10-22"
"10444","1",1395,"0107","quru","Quercus rubra",14.8000001907349,135.899993896484,"1.3",94.8000030517578,NA,"A","2008-10-22"
"10445","1",1396,"0107","acru","Acer rubrum",17.5,139.899993896484,"1.3",182.800003051758,NA,"A","2008-10-22"
"10446","1",1397,"0107","nysy","Nyssa sylvatica",13.6999998092651,139.100006103516,"1.3",666.799987792969,NA,"A","2008-10-22"
"10448","1",1399,"0107","caca","Carpinus caroliniana",9.19999980926514,135.5,"1.3",127.900001525879,NA,"A","2008-10-22"
"10449","1",1400,"0107","unk","Unidentified unk",9.69999980926514,137,"1.3",387.600006103516,"D,P,Q","D","2008-10-22"
"10451","1",1402,"0107","caca","Carpinus caroliniana",4.30000019073486,139.199996948242,"1.3",90.6999969482422,"L","A","2008-10-22"
"10452","1",1403,"0107","cagl","Carya glabra",11.1999998092651,133.399993896484,"1.3",439,NA,"A","2008-10-22"
"10454","1",1404,"0107","cagl","Carya glabra",4.59999990463257,137.399993896484,"1.3",226.899993896484,NA,"A","2008-10-22"
