"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","pom","dbh.2008","codes.2008","status.2008","date.2008","agb.2008","dbh.2013","codes.2013","status.2013","date.2013","agb.2013","status.2017","status.2018","dbh.if.dead.2018","agb.if.dead.2018","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","comments","date.2018","surveyors"
"10001","1",1002,"0101","ulsp","Ulmus sp",6.09999990463257,1,"1.3",188.300003051758,"G,M,lost","A","2008-10-21",0.141233288669798,NA,"DC","D","2013-03-13",0,"PD","PD",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10001","2",32184,"0101","ulsp","Ulmus sp",6.09999990463257,1,"1.3",116.800003051758,"G,S","A","2008-10-21",0.0426098731065213,NA,"DC","D","2013-03-13",0,"PD","PD",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10006","1",1006,"0101","juni","Juglans nigra",7.19999980926514,6.5,"1.3",599.900024414062,NA,"A","2008-10-21",2.71042405939033,609,NA,"A","2013-03-13",2.81623573510539,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10007","1",1007,"0101","unk","Unidentified unk",7.40000009536743,9.39999961853027,"1.3",178.899993896484,"D,Q","D","2008-10-21",0.0389143633487951,NA,"DC","D","2013-03-13",0,"PD","PD",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10009","1",1008,"0101","caco","Carya cordiformis",3.59999990463257,10.8000001907349,"1.3",202.300003051758,"I","A","2008-10-21",0.201801410573222,262,NA,"A","2013-03-13",0.397434373327562,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"swelling",2018-07-05,"Prestipino/Terrell"
"10010","1",1009,"0101","juni","Juglans nigra",7.30000019073486,12.1999998092651,"1.3",541.900024414062,NA,"A","2008-10-21",2.09270586694198,578,NA,"A","2013-03-13",2.46577724387426,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"tag missing",2018-07-05,"Prestipino/Terrell"
"10011","1",1010,"0101","ulru","Ulmus rubra",7.90000009536743,18.1000003814697,"1.3",203.100006103516,"D","D","2008-10-21",0.156791983636289,NA,"DS","D","2013-03-13",0,"PD","PD",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10013","1",1011,"0102","fram","Fraxinus americana",5.5,23.5,"1.3",194.600006103516,NA,"A","2008-10-21",0.167094172897046,228,NA,"A","2013-03-21",0.247486606203678,"A","A",NA,NA,NA,"I","","","","","",NA,2,2,"AS",NA,"high liana load; tag missing",2018-07-05,"Prestipino/Terrell"
"10016","1",1013,"0102","ceoc","Celtis occidentalis",5.80000019073486,22.7999992370605,"1.3",205.899993896484,NA,"A","2008-10-21",0.0551718682570449,233.199996948242,NA,"A","2013-03-21",0.0751633305384453,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"swelling",2018-07-05,"Prestipino/Terrell"
"10019","1",1016,"0102","ulru","Ulmus rubra",1.89999997615814,27.2000007629395,"1.3",137.199996948242,"D","D","2008-10-21",0.0608420892158052,NA,"DC","D","2013-03-21",0,"PD","PD",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10020","1",1017,"0102","ulru","Ulmus rubra",2.20000004768372,27.1000003814697,"1.3",13.3999996185303,NA,"A","2008-10-21",0.000221906204348271,61,NA,"A","2013-03-21",0.0086032779833169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10021","1",1018,"0102","fram","Fraxinus americana",5.09999990463257,30.1000003814697,"1.3",120.099998474121,NA,"A","2008-10-21",0.0504888644080927,160,NA,"A","2013-03-21",0.102830417623314,"A","A",NA,NA,NA,"I","","","","","",NA,1,0,"none",NA,"",2018-07-05,"Prestipino/Terrell"
"10035","1",1030,"0103","acru","Acer rubrum",4.80000019073486,50.0999984741211,"1.3",450.100006103516,NA,"A","2008-10-21",1.01889556895623,467,NA,"A","2013-03-29",1.11436837234165,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10036","1",1031,"0103","acru","Acer rubrum",6.19999980926514,49.5,"1.3",425,NA,"A","2008-10-21",0.886285936112023,420.799987792969,"I","A","2013-03-29",0.865152672890811,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10037","1",1032,"0103","acru","Acer rubrum",8.10000038146973,53.5999984741211,"1.3",378.5,"I","A","2008-10-21",0.66878859061288,381.200012207031,NA,"A","2013-03-29",0.680440757018147,"A","AU",NA,NA,NA,"","UP","R","F","","",NA,NA,NA,"",NA,"epicormics",2018-07-05,"Prestipino/Terrell"
"10039","1",1033,"0103","libe","Lindera benzoin",8.10000038146973,54.0999984741211,"1.3",55,"D","D","2008-10-21",0.00670107908572201,NA,"DN","D","2013-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10045","1",1039,"0104","cato","Carya tomentosa",0.600000023841858,61.2000007629395,"1.2",171.800003051758,"A","A","2008-10-21",0.131495772326919,228.199996948242,NA,"A","2013-04-01",0.276725395701314,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10053","1",1046,"0104","acru","Acer rubrum",4.80000019073486,61.2000007629395,"1.3",164.199996948242,NA,"A","2008-10-21",0.0878912213329594,168.100006103516,NA,"A","2013-04-01",0.093050420437321,"A","A",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10057","1",1049,"0104","fram","Fraxinus americana",6.19999980926514,69.6999969482422,"1.3",184.800003051758,NA,"A","2008-10-21",0.146998337099785,NA,"DS","D","2013-04-01",0,"PD","PD",NA,NA,NA,"","","","","","",NA,NA,NA,"",NA,"",2018-07-05,"Prestipino/Terrell"
"10058","1",1050,"0104","astr","Asimina triloba",6.69999980926514,70,"1.3",64.5999984741211,"M","A","2008-10-21",0.00310073476554439,72.4000015258789,"M","A","2013-04-01",0.00411540837956693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10058","2",32195,"0104","astr","Asimina triloba",6.69999980926514,70,"1.3",57.2999992370605,"S","A","2008-10-21",0.00230212645155162,68,"S","A","2013-04-01",0.00352198960922832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10073","1",1064,"0104","libe","Lindera benzoin",4.19999980926514,72.5,"1.3",32.9000015258789,NA,"A","2008-10-21",0.00193899359305753,54.0999984741211,"M","A","2013-04-01",0.00587636403292156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10080","1",1070,"0104","prse","Prunus serotina",3.70000004768372,73.4000015258789,"1.3",30.2000007629395,NA,"A","2008-10-21",0.00129022690564515,68.9000015258789,NA,"A","2013-04-01",0.0111750869147027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
