"tag","coreID","sp","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
10636,"10636","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.478,2.485,2.952,2.941,3.249,3.335,2.433,0.953,0.982,0.851,1.124,0.845,0.905,1.152,1.521,1.553,1.253,1.127,0.892,0.853,0.892,1.042,0.961,0.672,0.795,0.574,0.398,0.327,0.273,0.232,0.252,0.225,0.424,0.352,0.373,0.326,0.289,0.233,0.254,0.29,0.396,0.486,0.498,0.373,0.682,0.651,0.83,0.639,0.593,0.509,0.979,0.809,0.778,0.95,1.105,0.938,0.974,1.007,0.92,0.906,0.837,1.036,1.162,0.936,1.019,1.018,0.769,1.044,1.573,1.169,1.427,1.495,1.242,1.194,1.129,1.139,1.134,0.852,1.146,1.262,1.005,0.766,0.621,0.546,0.617,0.659,0.579,0.709,0.648,0.645,0.694,1.035,0.762,0.798,0.864,0.883,NA,NA,NA,NA,NA,NA,NA,NA
12460,"12460","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.063,1.602,2.311,2.342,1.777,1.873,1.471,1.285,1.134,1.391,1.286,1.076,0.964,1.59,1.311,1.024,1.484,1.723,1.681,2.081,2.286,2.242,1.552,0.854,1.339,1.911,1.077,1.589,2.2,2.046,1.77,1.626,1.416,1.393,1.485,1.478,2.174,2.075,1.806,1.462,1.103,1.206,1.576,1.442,1.376,NA,NA,NA,NA,NA,NA,NA,NA
22336,"22336","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.182,1.806,1.285,1.33,1.574,2.517,3,1.671,0.715,0.903,1.889,1.744,1.942,2.162,2.676,2.82,2.658,2.495,2.309,3.091,3.253,2.698,2.938,2.036,1.523,1.606,1.853,2.167,2.113,1.942,1.93,1.438,1.445,2.337,2.235,3.015,2.064,2.149,1.693,1.937,1.995,2.64,2.25,1.21,1.475,1.906,1.564,1.959,1.864,2.263,2.071,2.158,1.99,1.602,0.858,1.228,1.375,0.716,0.726,0.664,1.015,1.292,1.188,1.626,1.124,0.9,0.884,1.025,0.8,1.027,1.246,1.425,1.019,0.932,0.69,1.08,0.741,0.793,1.374,1.335,1.309,2.255,2.341,1.736,1.855,1.402,1.413,NA,NA,NA,NA,NA,NA,NA,NA
30343,"30343A","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.539,3.186,4.315,4.293,3.281,2.838,2.481,2.432,2.038,2.232,1.944,2.334,2.204,2.353,2.897,3.265,3.075,3.411,3.581,2.86,2.764,2.369,2.774,2.793,3.187,2.501,2.89,2.86,2.737,2.46,2.696,2.68,2.16,2.877,3.294,3.909,3.797,3.34,3.003,2.693,2.434,2.872,2.87,2.317,3.581,3.091,2.324,2.631,2.454,1.76,2.154,1.829,2.595,2.479,2.629,2.399,2.318,1.942,2.162,2.266,2.289,2.324,2.24,1.673,2.231,2.158,2.468,2.852,3.146,2.928,3.173,2.894,2.697,2.407,2.681,3.219,2.32,2.707,2.227,1.304,0.69,0.357,NA,NA
30343,"30343B","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.988,1.475,1.729,2.276,2.26,3.311,3.784,3.241,3.01,1.925,1.954,1.895,1.963,1.872,2.594,3.02,2.85,2.879,3.092,3.651,3.845,4.571,4.355,4.017,2.974,3.747,3.713,5.779,4.144,4.901,5.649,4.092,3.627,3.67,3.163,2.398,3.511,4.396,3.806,4.065,3.22,2.468,2.807,2.644,3.101,3.13,2.359,3.927,4.415,2.475,2.506,3.388,2.355,2.053,2.25,2.676,2.896,2.986,3.082,2.759,2.156,2.49,3.625,3.451,3.034,2.688,2.161,3.266,2.58,3.164,3.151,3.924,4.004,3.769,3.834,4.009,3.414,3.428,3.991,3.234,3.344,2.565,3.517,0.916,0.776,NA,NA
32516,"32516","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.697,0.547,0.347,0.333,0.219,0.294,0.152,0.098,0.121,0.121,0.125,0.117,0.262,0.162,0.071,0.209,0.772,1.165,1.259,1.408,1.678,1.147,1.12,0.941,0.87,0.774,0.927,1.042,0.665,0.804,0.679,0.512,0.509,0.656,0.519,0.655,0.453,0.658,0.434,0.913,0.865,0.912,1,0.661,0.828,0.718,1.067,0.912,0.871,0.824,0.689,1.146,1.577,1.765,1.353,1.593,1.529,1.941,1.619,1.956,2.712,2.535,2.227,2.212,1.986,2.09,2.645,1.811,4.146,NA,NA,NA,NA,NA,NA,NA,NA
40617,"40617A","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.412,3.202,3.323,3.503,3.453,2.317,3.702,3.386,2.76,3.102,4.054,3.26,3.24,3.47,3.711,3.985,3.87,3.287,3.24,2.519,3.158,2.811,2.94,2.749,2.663,2.901,4.378,3.271,2.773,2.776,1.8,1.712,2.017,2.481,3.041,1.745,2.334,2.742,1.838,2.11,2.189,2.166,2.629,2.063,2.79,3.344,2.969,3.431,3.498,2.471,3.422,3.476,4.169,3.898,3.463,1.143,3.07,2.939,4.13,4.913,3.751,4.712,3.207,3.423,2.949,2.426,1.709,0.898,0.865,0.676,0.772,0.666,0.962,0.782,0.666,NA
40617,"40617B","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.665,3.24,1.709,2.791,3.309,2.728,3.378,3.799,2.803,3.936,3.22,3.554,3.411,2.28,3.677,3.286,2.348,2.292,3.022,3.514,2.286,2.941,3.592,3.371,3.118,3.998,3.446,3.514,4.414,3.101,3.913,3.389,3.055,2.852,3.19,3.176,2.345,2.732,4.393,3.417,4.122,2.207,1.809,2.731,2.702,2.37,3.136,2.139,3.631,3.505,2.268,2.119,2.271,1.987,2.387,2.36,3.161,3.352,3.363,4.035,4.036,2.755,3.949,4.926,5.138,5.166,5.324,1.439,3.661,3.435,3.985,5.149,4.197,4.738,3.824,4.212,3.52,2.928,1.705,0.998,2.132,1.322,1.126,1.083,1.086,1.068,0.773,NA
40649,"40649","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.197,0.755,1.299,1.036,1.319,1.164,1.152,0.865,0.859,0.551,0.616,0.507,0.616,0.71,0.738,0.741,0.898,0.596,0.519,0.398,0.507,0.509,0.465,0.491,0.283,0.306,0.266,0.208,0.183,0.316,0.344,0.305,0.549,0.578,0.59,0.525,0.953,1.036,1.178,1.276,1.198,1.325,1.484,1.299,1.175,1.695,2.118,2.145,2.212,1.941,1.968,1.95,1.68,2.041,1.789,1.278,2.174,1.775,1.222,1.412,1.961,1.866,2.594,2.067,2.456,2.194,2.235,2.499,2.329,1.893,2.084,1.868,2.293,2.09,1.969,1.87,3.449,2.926,2.966,3.25,1.715,1.824,2.127,2.426,2.634,3.208,2.847,1.968,NA,NA,NA,NA,NA,NA,NA,NA
42092,"42092","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848,0.937,0.443,0.595,0.501,0.67,0.526,0.537,0.427,0.407,0.372,0.457,0.415,0.386,0.495,0.572,0.663,0.758,0.817,0.597,0.956,0.807,0.756,0.636,0.758,1.573,1.278,1.094,1.07,1.003,1.151,1.067,0.797,0.692,0.692,0.822,1.025,0.881,1.367,0.964,0.995,0.947,0.923,0.78,1.1,1.318,0.953,1.798,1.896,1.839,1.979,1.304,1.111,1.034,1.131,1.497,1.56,1.069,1.156,1.021,0.938,0.82,0.834,0.905,0.897,0.797,0.968,0.988,0.678,0.69,0.628,0.421,0.637,0.795,0.994,0.688,0.674,0.534,0.651,0.572,0.648,0.745,1.02,1.213,1.33,1.519,1.631,2.169,2.351,3.521,NA,NA,NA,NA,NA,NA,NA,NA
