quadrat,C_or_U,openness,datasource,combined
610,U,6.91,P,6.91
611,U,8.46,P,8.46
612,C,13.96,P,13.96
613,C,7.02,D,7.94
614,C,2.6,D,6.78
618,C,8.25,P,8.25
619,C,9.82,P,9.82
620,C,4.68,D,7.33
621,C,7.02,D,7.94
622,C,10.76,P,10.76
623,C,5.72,D,7.6
624,C,11.78,P,11.78
626,C,11.51,P,11.51
627,U,10.42,P,10.42
628,C,11.51,P,11.51
630,C,12.02,P,12.02
631,C,5.98,D,7.67
632,C,11.22,P,11.22
701,C,2.6,D,6.78
703,C,10.41,P,10.41
704,C,2.6,D,6.78
705,C,1.56,D,6.5
706,C,11.65,P,11.65
707,C,11.5,P,11.5
709,C,7.92,P,7.92
711,U,3.38,D,6.98
715,C,11.39,P,11.39
716,C,7.79,P,7.79
719,C,11.78,P,11.78
720,C,5.2,D,7.46
721,C,5.98,D,7.67
722,C,10.59,P,10.59
723,C,5.98,D,7.67
724,C,14.06,P,14.06
726,C,13.56,P,13.56
727,C,10.2,P,10.2
728,C,11.18,P,11.18
729,C,3.38,D,6.98
732,C,9.59,P,9.59
803,C,9.6,P,9.6
804,C,2.86,D,6.85
806,U,2.6,D,6.78
807,C,9.74,P,9.74
808,C,9.23,P,9.23
809,C,9.18,P,9.18
810,C,10.79,P,10.79
811,C,11.85,P,11.85
812,C,10.04,P,10.04
815,C,8.87,P,8.87
816,C,9.71,P,9.71
817,C,10.69,P,10.69
818,C,10.16,P,10.16
819,C,10.44,P,10.44
820,C,6.5,D,7.81
821,C,8.32,D,8.28
822,C,10.47,P,10.47
823,C,6.76,D,7.87
824,C,12.84,P,12.84
826,C,13.58,P,13.58
827,C,12.06,P,12.06
828,C,10.41,P,10.41
831,C,2.6,D,6.78
832,C,12.26,P,12.26
902,C,11.41,P,11.41
903,C,9.85,P,9.85
904,U,1.04,D,6.37
906,C,2.6,D,6.78
907,C,12.76,P,12.76
908,C,11.57,P,11.57
909,C,10.66,P,10.66
910,C,12.17,P,12.17
911,C,11.56,P,11.56
915,C,10.52,P,10.52
916,C,9.12,P,9.12
917,C,10.44,P,10.44
918,C,8.3,P,8.3
919,C,13.74,P,13.74
920,C,5.46,D,7.53
921,C,6.24,D,7.74
922,C,7.81,P,7.81
923,C,7.8,D,8.15
924,C,11.78,P,11.78
928,C,11.15,P,11.15
929,C,1.56,D,6.5
930,C,2.86,D,6.85
932,C,11.48,P,11.48
1003,C,5.43,P,5.43
1007,U,9.33,P,9.33
1008,C,8.54,P,8.54
1009,C,8.43,P,8.43
1011,C,11.67,P,11.67
1012,C,11.88,P,11.88
1013,C,10.38,P,10.38
1014,C,11.27,P,11.27
1016,C,8.55,P,8.55
1017,C,10.34,P,10.34
1020,C,5.98,D,7.67
1021,C,8.58,D,8.35
1023,C,4.42,D,7.26
1024,C,10.7,P,10.7
1027,C,7.92,P,7.92
1028,C,9.8,P,9.8
1031,C,2.6,D,6.78
1032,C,12.67,P,12.67
1103,C,7.36,P,7.36
1107,U,9.32,P,9.32
1109,C,9.8,P,9.8
1117,U,9.14,P,9.14
1118,C,1.3,D,6.44
1120,C,4.16,D,7.19
1121,C,5.98,D,7.67
1122,C,9.6,P,9.6
1123,C,8.58,D,8.35
1124,U,11.05,P,11.05
1126,C,11.17,P,11.17
1127,C,9.56,P,9.56
1128,C,9.22,P,9.22
1129,C,5.72,D,7.6
1132,C,11.64,P,11.64
1204,C,2.08,D,6.64
1205,C,10.03,P,10.03
1206,C,3.9,D,7.12
1207,U,10.48,P,10.48
1208,C,10.2,P,10.2
1209,C,10.3,P,10.3
1212,C,9.85,P,9.85
1214,C,10.53,P,10.53
1215,C,5.46,D,7.53
1216,U,8.39,P,8.39
1217,C,11.6,P,11.6
1220,C,6.5,D,7.81
1221,C,8.32,D,8.28
1222,C,11.15,P,11.15
1223,C,8.4,P,8.4
1224,C,11,P,11
1226,C,10.93,P,10.93
1228,C,11.17,P,11.17
1231,C,3.9,D,7.12
1232,C,13.43,P,13.43
1301,C,8.65,P,8.65
1305,C,10.3,P,10.3
1307,C,2.6,D,6.78
1308,C,10.12,P,10.12
1310,C,12.3,P,12.3
1311,U,7.71,P,7.71
1313,C,10.36,P,10.36
1314,U,6.32,P,6.32
1317,C,9.39,P,9.39
1318,C,3.64,D,7.05
1320,C,4.42,D,7.26
1321,C,4.16,D,7.19
1322,C,12.14,P,12.14
1324,U,11.56,P,11.56
1327,C,9.39,P,9.39
1328,C,10.03,P,10.03
1329,C,4.94,D,7.39
1332,C,9.75,P,9.75
1401,C,10.75,P,10.75
1402,C,9.78,P,9.78
1404,C,4.94,D,7.39
1406,U,8.82,P,8.82
1407,U,10.15,P,10.15
1409,U,8.82,P,8.82
1410,C,12.12,P,12.12
1411,C,13.45,P,13.45
1412,C,8.06,P,8.06
1413,C,9.12,P,9.12
1414,C,8.73,P,8.73
1415,C,2.86,D,6.85
1416,C,10.5,P,10.5
1417,U,6.1,P,6.1
1420,C,7.54,D,8.08
1421,C,5.2,D,7.46
1424,C,10.93,P,10.93
1426,C,1.3,D,6.44
1427,C,11.77,P,11.77
1430,C,4.42,D,7.26
1431,C,10.94,P,10.94
1432,C,10.4,P,10.4
1502,C,1.04,D,6.37
1503,C,9.08,P,9.08
1505,C,8.48,P,8.48
1506,C,5.72,D,7.6
1512,C,6.94,P,6.94
1513,C,10.49,P,10.49
1514,C,9.53,P,9.53
1516,C,9.61,P,9.61
1517,C,9.99,P,9.99
1518,C,1.56,D,6.5
1519,C,9.13,P,9.13
1520,C,5.98,D,7.67
1521,C,5.72,D,7.6
1522,C,8.8,P,8.8
1524,C,10.11,P,10.11
1525,C,12.48,P,12.48
1527,C,8.71,P,8.71
1528,C,10.44,P,10.44
1531,C,2.34,D,6.71
1532,C,12.21,P,12.21
1601,C,13.31,P,13.31
1603,C,5.76,P,5.76
1604,C,7.78,P,7.78
1605,C,9.09,P,9.09
1606,C,5.39,P,5.39
1607,C,3.38,D,6.98
1609,C,5.2,D,7.46
1611,C,2.34,D,6.71
1613,C,7.65,P,7.65
1614,C,12.55,P,12.55
1615,C,4.42,D,7.26
1617,C,10.66,P,10.66
1620,C,14.82,D,10
1621,C,4.16,D,7.19
1622,C,10.43,P,10.43
1624,U,8.8,P,8.8
1626,C,2.34,D,6.71
1628,C,12.26,P,12.26
1629,C,4.68,D,7.33
1631,C,11.52,P,11.52
1632,C,12.26,P,12.26
1701,C,5.78,P,5.78
1702,C,4.07,P,4.07
1703,C,1.04,D,6.37
1704,C,6.92,P,6.92
1705,C,6.49,P,6.49
1707,C,10.92,P,10.92
1708,C,11.34,P,11.34
1710,C,2.08,D,6.64
1711,C,11.02,P,11.02
1712,C,7.92,P,7.92
1713,C,10.68,P,10.68
1714,C,10.1,P,10.1
1716,C,10.19,P,10.19
1717,C,13.03,P,13.03
1718,C,1.04,D,6.37
1720,U,5.46,D,7.53
1721,U,2.86,D,6.85
1722,C,8.86,P,8.86
1724,C,10.94,P,10.94
1725,C,9.86,P,9.86
1727,C,3.9,D,7.12
1728,C,11.64,P,11.64
1730,C,5.72,D,7.6
1732,C,14.62,P,14.62
1801,C,10.26,P,10.26
1802,C,2.6,D,6.78
1803,C,8.29,P,8.29
1805,C,1.82,D,6.57
1806,C,9.9,P,9.9
1808,C,10.5,P,10.5
1809,C,12.03,P,12.03
1811,C,7.54,P,7.54
