"tag","coreID","sp","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
12308,"12308A","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484,0.548,1.589,1.108,0.59,0.395,0.375,0.766,0.69,0.539,0.564,0.577,1.075,0.81,0.621,1.45,1.4,1.939,1.379,0.589,1.305,1.555,0.837,0.65,0.653,0.66,0.605,0.661,1.195,1.859,1.481,0.746,1.017,0.69,0.434,0.48,0.531,0.592,0.405,0.48,0.599,0.45,0.532,0.738,0.338,0.514,0.241,0.254,0.352,0.374,0.177,0.226
12312,"12312A","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.389,0.585,0.754,0.737,1.028,0.322,0.383,0.357,0.506,0.456,0.358,0.473,0.71,0.567,0.702,1.113,1.429,1.156,0.819,0.714,0.98,1.425,1.391,0.968,0.773,0.588,1.079,0.894,0.873,1.528,1.142,1.177,0.906,0.701,0.569,0.675,0.935,1.217,1.111,0.563,1.094,0.833,1.108,0.964,1.068,0.234,0.356,0.247,0.253,0.312,0.328,0.424,0.476,0.795,0.377,0.205,0.269,0.359,0.442,0.394,0.321,NA,NA,NA,NA,NA
12312,"12312B","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.169,1.108,0.77,0.38,2.424,1.557,0.643,2.536,1.32,0.814,0.875,0.568,1.127,1.111,0.795,0.628,0.775,1.098,0.697,0.895,0.804,0.775,1.163,0.705,0.731,1.373,1.522,1.274,0.962,1.456,1.031,1.412,1.128,1.966,1.088,0.945,0.651,0.688,0.509,1.071,0.802,0.654,NA,NA
40900,"40900A","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,0.606,0.465,0.323,0.568,0.371,1.027,0.607,0.928,2.778,2.68,2.532,2.255,1.939,1.838,2.268,1.8,1.457,1.606,1.417,1.588,1.191,1.06,2.8,1.873,1.596,1.429,1.339,0.979,0.578,0.365,0.531,0.246,0.519,0.586,0.546,0.363,0.472,0.489,0.357,0.21,0.206,0.36,NA,NA,NA,NA,NA,NA,NA,NA
42014,"42014A","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428,2.214,0.973,1.039,0.561,0.818,0.74,1.414,1.143,0.607,1.216,1.191,1.642,1.528,1.131,0.865,0.736,1.214,1.184,1.341,0.687,2.149,1.519,0.595,0.675,0.381,0.302,0.41,0.389,0.222,0.295,0.295,0.221,0.27,0.418,0.306,0.38,0.402,0.481,0.301,0.243,0.323,0.63,0.489,0.491,0.749,0.496,0.434,0.513,0.425,0.362,0.612,0.396,0.691,0.82,0.57,0.736,0.817,0.936,0.56,0.638,0.476,1.07,1.441,0.666,2.057,0.846,0.547,0.552,0.58,0.422,0.338,0.274,0.218,0.19,0.275,0.221,0.211,0.247,0.286,0.285,0.344,0.431,0.332,0.3,0.264,0.288,0.224,0.145,0.138,0.177,0.124,0.136,0.151
42014,"42014B","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685,0.819,0.683,0.737,0.943,1.113,0.697,0.277,0.981,0.892,1.786,1.083,0.967,0.848,1.011,0.863,0.738,1.499,1.181,2.041,1.807,0.954,0.915,1.473,1.122,1.328,1.203,1.059,0.824,1.187,0.887,0.771,0.664,0.988,1.138,0.877,1.015,0.98,1.802,1.847,1.361,1.191,1.79,1.421,1.269,1.213,1.119,0.578,0.568,0.661,0.412,0.596,0.471,0.802,1.101,0.728,1.653,1.865,1.234,1.444,1.1,0.671,0.814,0.782,0.888,1.024,0.797
60511,"60511A","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464,0.681,1.273,1.159,1.462,1.627,1.238,0.88,0.813,0.415,0.464,0.412,0.27,0.606,0.225,0.09,0.199,0.203,0.173,0.247,0.293,0.203,0.156,0.178,0.179,0.408,0.204,0.229,0.361,0.338,0.299,0.417,0.414,0.449,0.342,0.257,0.224,0.198,0.356,0.283,0.347,0.27,0.228,0.266,0.343,0.322,0.48,0.503,0.491,0.248,0.432,0.816,1.124,0.777,0.463,0.673,0.793,0.992,0.763,0.624,0.479,0.369,0.251,0.434,0.31,0.357,0.322,0.328
60511,"60511B","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,0.795,0.847,0.493,0.839,0.672,1.277,1.709,0.367,0.585,0.387,0.297,0.349,0.543,0.303,0.286,0.321,0.181,0.359,0.246,0.533,0.353,0.577,0.382,0.313,0.281,0.146,0.265,0.292,0.24,0.179,0.407,0.204,0.272,0.249,0.188,0.195,0.265,0.536,0.497,0.26,0.474,0.457,0.355,0.458,0.532,0.648,0.36,0.559,0.462,0.49,0.429,0.374,0.475,0.547,0.936,0.657,0.644,0.944,2.387,1.951,1.542,1.47,1.623,1.422,0.811,1.011,0.846,0.731,0.534,0.687,0.657,0.929,0.963,0.484,0.363,0.226,0.2,0.176,0.142
60552,"60552A","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.428,0.891,1.063,1.61,2.114,1.49,1.475,2.157,3.144,1.129,1.76,1.323,1.312,0.883,0.751,1.173,1.636,1.108,0.869,0.772,0.807,0.906,0.732,0.724,0.705,0.781,0.725,0.575,0.556,0.632,1.348,1.547,1.29,0.779,1.032,1.102,1.637,0.736,0.491,0.609,0.636,0.892,0.828,0.881,0.563,0.587,0.475,0.426,0.493,0.693,0.864,0.765,0.836,0.778,0.878,0.838,0.841,1.054,1,0.952,1.503,1.232,1.052,0.259,NA
60552,"60552B","caca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,2.174,4.04,1.768,2.339,1.887,2.177,1.368,1.126,1.625,0.977,1.56,1.238,0.604,0.66,0.513,0.446,0.343,0.444,0.633,0.433,0.302,0.478,0.578,0.405,0.795,0.646,1.259,1.482,1.067,0.709,0.639,0.909,0.613,0.653,0.576,0.629,0.509,0.501,0.812,0.679,0.762,0.612,0.417,0.271,0.408,0.621,0.501,0.662,0.675,0.757,0.357,0.703,0.769,0.885,0.841,0.718,0.729,0.742,0.479,0.602,0.452,0.205,NA,NA
