pest_pathogen_common_name,pest_pathogen_scientific_name,tree_species_affected,pathogen_type,origin,native range,year_introduced_north_america,Virginia_Blue_Ridge_status,Virginia_source,Virginia_year_intro,SNP_year_ID,SNP_notes,SCBI_year_ID,SCBI_observation_type,SCBI_notes,general_notes,citation
Emerald ash borer,Agrilus planipennis,"Fraxinus spp., Chionanthus virginicus",Insect,exotic,NE Asia,2002,Current risk,Fairfax VA,2008,2013,,2015,"direct observation, tree mortality attribution ",Confirmed presence at SCBI ForestGEO plot starting 2015 (purple traps). Mortality first attributed to EAB in 2016. ,ID in 2003 (readicated) reconfirmed in 2007 in PA and VA (Fairfax),FHR-2017-01_pub
Balsam woolly adelgid,Adelgis piceae,"Abies balsamea, Abies fraseri",Insect,exotic,central Europe,1900,Current risk,,,,Abies>10cm not present in forest monitoring plots,no detection as of 2018,NA,No host trees (Abies sp) in plot ,,Balsam_Wooly_adelgid.pdf
Elongate hemlock scale,Fiorinia externa,Tsuga spp,Insect,exotic,,1908,Current risk,,,,,no detection as of 2018,NA,No host trees (Tsuga sp) in plot ,,
Gypsy moth,Lymantria dispar,Quercus and other hardwoods,Insect,exotic,Europe,1869,Current risk,,1984,1995,,around 1988 or 1989,direct observation (Bill McShea),"Bill McShea reports heavy presense on oaks at SCBI, but not as bad as other locations in the region.",,"FHR-2017-01_pub, gypsy_moth"
Hemlock woolly adelgid,Adelgis tsugae,"Tsuga canadensis, Tsuga caroliniana",Insect,exotic,E Asia,1950,Current risk,Richmond VA nursery,1950,1988,,no detection as of 2018,NA,No host trees (Tsuga sp) in plot,,DOF_email
Woolly beech scale,Cryptococcus fagisuga,Fagus spp.,Insect,exotic,,1890,Current risk,,1980,2007,"Beech scale and Beech bark disease were both detected in the Park for the first time in October, 2007. Beech mortality was observed in 2014. See spreadsheet: BBD_Detections_at_SHEN.xlsx.",no detection as of 2018,,NA,Vector for beech bark disease. Puncture holes in bark allow transmission of pathogenic fungi (Nectria coccinea and  Nectria galligena),beach_bark_disease
Smaller European elm bark beetle,Scolytus multistriatus,Ulmus spp.,Insect,exotic,,1909,Current risk,,1970,,,2015,"direct observation, malaise trap",found on 3_26_2015 in malaise bottle,Principal vector for Dutch Elm's disease,DOF_email
Banded elm bark beetle,Scolytus schevyrewi,Ulmus spp.,Insect,exotic,,2003,Current risk,,,,,no detection as of 2018,,NA,Vector for Dutch Elm disease,
Beech bark disease,"Neconectria spp., Nectria coccinea",Fagus grandifolia,Fungus,exotic,,1890,Current Risk,mountains of VA,1980,2007,"Beech scale and Beech bark disease were both detected in the Park for the first time in October, 2007. Beech mortality was observed in 2014. See spreadsheet: BBD_Detections_at_SHEN.xlsx.",no detection as of 2018,,NA,,beach_bark_disease
Butternut canker,Ophiognomonia clavigignenti-juglandacearum (Previously Sirococcus clavigignenti-juglandacearum),Juglans cinerea,Fungus,exotic,,1967,Current Risk,,,,"Butternut described as common in Berg & Moore 1941; Rolf Gruber, personal communication: Butternut canker has caused mortality in the park. We have seen butternut mortality, and the persisting trees seem to be infected, but I don't think we have done any butternut inventory or monitoring.",,,"8 trees found to be partially defoliated in 2017, no direct evidence of presence",,DOF_email
Chestnut blight,Cryphonectria parasitica,Castanea dentata,Fungus,exotic,Asia,1904,Current Risk,,1920,,"Mid-1920s introduced in VA, by 1929 had made it through all of S. Appalachia ",present in region,,"only 1 Castenea in plot over 10cm, healthy as of 2017",,DOF_email
Dogwood anthracnose,Discula distructiva,Cornus florida,Fungus,exotic,"unknown (but confirmed exotic; Caetano-Anoll_s et al., 2001)",1978,Current Risk,,1980,,,present,observation of symptoms on dead/dying trees,"death of 79 in 2014, defoliation noted earlier, defoliation and leaf problems noted in 2017",,DOF_email
Dutch elm Disease,Ophiostoma ulmi/Ophiostoma nova-ulmi/ Ophiostoma himal-ulmi,Ulmus spp,Fungus,exotic,Asia,1933,Current Risk,,1970,,,2017,observation of symptoms on dead/dying trees,"Confirmed pesent in 2017, presumed present but not recorded since before plot establishment. Ulmus mortality has been high since 2013",,DOF_email
White pine blister rust,Cronartium ribicola,Pinus strobus,Fungus,exotic,,1900,Current Risk,"Southern Border, NC",1941,prior to 1941,Pine blister rust documented as common problem in 1941 report (Berg & Moore 1941),2016,,"Symptoms noted since 2016, defoliation, brown needles, sap. No postive ID",,DOF_email
Thousand cankers disease,Geosmithia morbida,Juglans spp.,Fungus,exotic,,2001,Current risk,"Chesterfield, VA",2011,2012,,2017,,cankers and defoliation noted in 2017 on 11 individuals,"carried by the walnut twig beetle (Pityophthorus juglandis). Was found in June 2011 in Chesterfield, VA and then in 2012 in northern Virginia.",DOF_email
NA ,Neofusicoccum spp.,"Cercis canadensis, many others",Fungus,undetermined,unknown,unknown,Current risk,unknown,unknown,unknown,,unknown,observation of symptoms on dead/dying trees,"On unhealthy Cercis trees (~25% in 2017), we have documented various symptoms of this fungus (canker, defoliation, rotten stem, etc).","orchard pest. Previously known as Botryosphaeria spp. It is globally distributed, and within the species complex there is unfettered and frequent movement across international borders. (Sakalidis et al. 2013: http://onlinelibrary.wiley.com/doi/10.1111/ddi.12030/full). Known to affect Cercis in the area (refs in Gonzalez-Akre et al.)",
Bluestain fungus,"Ceratocystis spp., Ophiostoma spp.",Pinus spp.,Fungus,undetermined,,,Current risk,,,,,no detection as of 2018,NA,NA,"carried within the gut of Ips beetles, some species may be invasive, difficult to tell since other species are considered to be cosmopolitan ",
Sirex woodwasp,Sirex noctilio,"Pinus spp. Abies, Larix, Picea, Pseudotsuga",Insect,exotic,,2004,Nascent risk,,,,,no detection as of 2018,NA,NA,,
Bacterial leach scorch,Xylella fastidiosa,"Many hardwoods (maple, elm, oak, and sucamore; mulberry)",Fungus,exotic,,1986,Nascent Risk,,,,,no detection as of 2018,NA,NA,,
