"tag","coreID","sp","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
30472,"30472","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296,0.4,0.657,0.461,0.335,0.467,0.576,0.572,0.333,0.513,0.421,0.212,0.062,0.516,0.541,0.416,0.376,0.353,0.468,0.488,0.374,0.688,0.529,0.58,0.438,0.945,0.952,0.879,0.688,0.774,0.5,0.427,0.407,0.276,0.339,0.393,0.557,0.553,0.437,0.437,0.437,0.508,0.414,0.917,0.544,0.508,0.616,0.435
30483,"30483","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884,0.884,0.646,0.556,0.95,0.741,0.866,1.227,1.073,0.633,1.333,1.375,1.33,0.917,0.971,0.821,0.843,0.674,0.993,0.79,0.733,0.522,0.687,0.464,0.787,1.067,0.865,0.572,0.725,0.6,0.654,0.419,0.883,0.824,0.588,0.758,0.705,1.731,1.148,1.349,1.191,1.024
30534,"30534","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,0.419,0.109,0.078,0.112,0.063,0.068,0.081,0.184,0.057,0.185,0.247,0.281,0.586,1.097,1.356,0.487,0.744,1.251,1.441,1.533,1.193,1.463,1.293,1.366,1.153,1.236,0.733,1.017,1.23,0.502,0.324,0.216,0.195
40479,"40479","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,0.348,0.522,0.667,0.67,0.723,0.394,0.634,0.358,0.464,0.483,0.889,0.706,0.739,0.54,0.45,0.502,0.593,0.595,0.836,0.975,1.291,0.818,0.97,0.903,1.081,1.234,1.395,0.939,1.034,0.889,1.77,1.5,1.168,1.209,0.791,0.738,0.649,0.46,0.723,0.91
40480,"40480","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185,0.123,0.189,0.14,0.172,0.229,0.428,0.445,0.546,0.605,0.478,0.458,0.433,0.556,0.444,0.636,0.554,1.294,1.05,1.064,0.859,0.841,0.829,0.976,0.909,1.107,1.073,1.299,0.783,0.915,1.107,1.123,0.961,1.286,1.038,0.944,0.948,1.706,1.556,1.243,1.388,1.024,1.173,0.883,0.978,1.035,0.98
40485,"40485","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0.368,0.263,0.7,0.535,0.488,0.286,1.09,0.962,1.309,1.054,0.962,0.912,0.58,0.531,0.524,0.362,0.66,0.528,0.57,0.9,0.938,1.021,0.951,0.951,0.674,0.646,1.182,0.905,1.073,0.801,0.574,1.077,1.034,0.934,0.78,0.993
40493,"40493","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242,0.362,0.574,0.729,0.486,0.514,0.389,0.338,0.378,0.295,0.313,0.153,0.179,0.131,0.19,0.178,0.376,0.434,0.392,0.417,0.469,0.207,0.284,0.626,0.324,0.653,0.657,1.188,1.349,1.328,0.768,0.528,0.55,0.644,0.156,0.569,0.527,0.719,0.544,0.68,0.675,0.822,0.629,0.759,0.75,0.82,0.506,0.998,0.832,0.785,0.736,0.864,0.812,0.689,0.786,0.491,0.858
40536,"40536","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429,0.385,0.104,0.224,0.292,0.463,0.368,0.301,0.37,0.388,0.482,0.342,0.594,0.503,0.649,0.587,1.231,0.807,0.709,0.721,0.78,0.817,0.986,0.898,0.773,0.702,0.674,0.756,0.94,1.086,0.941,0.807,0.955,1.108,0.68,0.632,0.879,0.926,0.765,0.617,0.611,0.494,0.227,0.279,0.599,0.615
40549,"40549","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399,0.498,0.416,0.623,0.561,1.001,0.767,1.09,0.649,0.793,0.884,0.739,0.699,0.511,0.501,0.327,0.319,0.375,0.734,0.555,0.24,0.264,0.205,0.225,0.286,0.794,1.007,1.258,0.681,1.107,0.819,1.249,0.974,0.703,0.813,0.724,0.765,0.662,0.504,0.675,0.596,0.759,0.74,0.794,0.507,0.871,1.038,0.695,0.62,0.836,0.718,0.579,0.567,0.5,0.568,0.594,0.562,0.63,0.498
40554,"40554","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.334,1.559,0.947,1.429,1.27,1.78,1.738,1.322,1.342,1.453,1.457,1.111,1.292,1.306,1.7,1.315,1.3,1.681,1.347,1.376,1.501,1.615,1.765,1.512,1.368,1.271,1.068,1.115,1.251,1.424,1.28,0.962,1.135,1.111,0.876,0.819,0.709,1.042,0.526,0.998,1.281,1.525,1.265,1.218,1.449,1.139,1.162,1.148,1.547,1.259,0.375,0.852,1.641,1.379,1.209,1.027,0.606,1.153,1.138,1.188,1.051,1.209,1.582,0.682,1.107,1.425,0.922,1.008,1.008,1.148,0.617,0.938,0.602,1.221,0.746,0.668,0.874,1.043,1.215,1.242,0.928,1.349
40563,"40563","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386,0.502,0.87,0.539,0.611,0.647,0.771,0.613,0.614,0.716,1.097,1.021,0.745,0.883,1.187,0.86,0.574,0.86,1.162,0.949,0.874,0.723,0.797,0.956,0.818,0.776,1.047,0.83,1.17,1.004,1.043,0.672,0.518,0.392,0.358,1.148,0.796,1.296,1.026,0.797,1.14,0.827,0.87,0.886,1.223,0.956,1.256,1.179,2.227,2.095,1.801,1.328,1.133,1.036,0.926,0.755,1.065,0.986,0.831,0.564,0.608,0.471,0.519,0.771,1.717,1.474,0.833,1.137,1.287,1.128,0.767,0.89,1.019,1.132,1.159,1.116,0.696,0.822
40585,"40585","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689,1.677,1.005,1.088,0.803,1.197,0.903,0.723,0.575,0.561,0.623,0.629,0.464,0.664,0.681,0.759,0.602,0.613,0.756,0.541,0.362,0.776,1.111,0.584,1.255,1.117,2.06,2.018,1.96,1.305,1.637
40873,"40873","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.299,0.442,0.228,0.281,0.226,0.192,0.382,0.321,0.396,0.256,0.301,0.255,0.549,0.289,0.401,0.447,0.48,0.522,0.444,0.476,0.623,0.775,0.434,0.439,0.836,0.654,0.647,0.817,0.565,0.665,0.819,0.642,0.455,0.504,0.606,0.44,0.309,0.373,0.439,0.468,0.611,0.606,0.647,0.53,0.613,0.424,0.695,1.193,1.758,1.24,0.973,1.248,0.965,1.015,1.128,1.346,0.745,1.365,1.235,1.697,1.575,1.57,1.141,1.278,1.171,1.254,1.116,0.979,0.934,1.293,0.864,1.044,1.271,1.565,1,1.178,1.02,0.98,0.715,1.043,1.173,0.964,0.924,1.243,1.072,1.118,1.347,1.142,1.37
40889,"40889","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263,0.314,0.353,0.527,0.383,0.43,0.468,0.555,0.675,0.793,0.69,0.541,0.531,0.415,0.618,0.358,0.505,0.474,1.196,1.082,0.918,0.631,0.917,0.606,0.474,0.457,0.334,0.386,0.377,0.246,0.385,0.375,0.3,0.255,0.33,0.298,0.361,0.288,0.506,0.505,0.451,0.566,0.469,0.775,0.836,0.845,0.56,0.437
50299,"50299","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,0.749,0.459,0.738,0.603,0.406,0.318,0.309,0.335,0.287,0.357,0.265,0.503,0.308,0.659,0.594,1.414,0.859,0.852,0.671,0.428,0.399,0.59,0.625,0.568,0.4,0.614,0.561,0.7,1.177,1.009,0.825,1.07,0.954,1.018,0.801,1.24,0.985,0.945,1.184,0.566,0.744,0.915,1.064,0.899,0.993
50301,"50301","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.398,0.365,0.299,0.335,0.21,0.333,0.208,0.295,0.212,0.225,0.378,0.505,0.436,0.535,0.5,0.608,0.558,0.486,0.698,0.417,0.588,0.5,1.128,0.865,1.008,0.872,0.789,0.607,0.599,0.346,0.436,0.285,0.463,0.468,0.296,0.468,0.536,0.215,0.365,0.519,0.201,0.163,0.374,0.61,0.518,0.619,0.5,0.46,0.517,0.541,0,0
50330,"50330","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.266,0.289,0.303,0.259,0.287,0.223,0.399,0.172,0.311,0.301,0.495,0.308,0.278,0.276,0.26,0.265,0.294,0.498,0.428,0.586,0.593,1.019,0.718,0.984,0.875,0.829,0.873,1.033,0.741,0.581,0.485,0.619,0.578,0.7,0.813,1.083,0.696,0.706,0.774,0.763,0.645,0.93,0.977,0.852,0.879,0.742,0.683,0.866,0.915,1.051,1.101
50340,"50340","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,1.094,0.737,0.814,0.661,0.535,0.427,0.555,0.423,0.594,0.448,0.325,0.552,0.36,0.582,0.558,0.344,0.376,0.265,0.265,0.295,0.374,0.318,0.461,0.573,0.541,0.306,0.523,0.395,0.256,0.182,0.136,0.263,0.57,0.494,0.382,1.113,0.99,1.311,1.053,0.651,0.785,1.066,0.992,0.814,0.61,0.798,0.402,0.501,0.495,0.487,0.349,0.31,0.48,0.312,0.32,0.456,0.38,0.407,0.482,0.461,0.309,0.309,0.237,0.315,0.247
50433,"50433","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512,0.617,0.455,0.469,0.357,0.234,0.447,0.457,0.816,0.828,1.013,1.006,0.766,0.6,0.514,0.34,0.178,0.557,0.26,0.387,0.823,0.432,0.531,0.289,0.274,0.248,0.285,0.249,0.234,0.243,0.388,0.481,0.651,0.753,0.725,0.494,0.67,0.773,0.664,0.55,0.706,0.644,0.893,0.83,0.737,0.649,0.358
50557,"50557","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753,0.906,0.818,0.768,0.879,0.742,0.954,0.808,0.741,0.581,0.687,0.917,0.774,1.022,1.017,1.419,0.942,0.857,1.039,1.026,0.967,0.921,0.888,0.792,0.746,0.857,3.411,1.603,1.692,1.825,1.372,1.055,1.551,1.679,1.498,1.787,0.952,1.387,1.257,0.884,0.641,0.893,0.87,0.853,0.707,1.21,1.298,0.799,1.025,0.725,1.012,1.131,1.06,0.742,0.905
50559,"50559","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303,0.266,0.272,0.344,0.304,0.253,0.252,0.266,0.273,0.234,0.282,0.318,0.382,0.716,0.572,0.839,0.944,1.668,0.634,0.696,0.95,0.833,0.513,0.924,0.706,0.901,0.972,1.248,1.088,1.509,1.083,1.484,1.526,1.224,1.2,1.458,0.875,1.187,1.246,1.446,1.351,1.369,1.068,0.834,0.676,1.687,1.128,0.941,1.32,0.861,0.808,0.937,0.904,1.002,1.193
50563,"50563","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431,0.429,0.387,0.349,0.273,0.424,0.498,1.189,0.603,0.57,0.503,0.82,1.096,1.062,1.224,4.063,1.946,0.513,0.546,0.355,0.233,0.338,0.278,0.253,0.185,0.311,0.813,0.704,1.005,0.424,0.179,0.414,0.489,0.421,0.687,0.397,1.028,1.665,0.88,1.61,1.186,0.8,0.998,1.092,1.506,1.154,1.292,1.186,0.781,0.908,0.611,1.002,1.321,2.276,2.456,2.55
50652,"50652","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,0.635,0.697,0.444,0.529,0.783,0.652,0.915,0.929,0.825,0.516,0.785,0.806,1.117,1.307,1.895,1.251,1.113,1.308,1.117,0.875,1.107,0.846,1.019,0.804,1.049,0.795,0.647,0.578,0.649,0.805,0.674,0.666,1.024,0.895,0.753,1.585,1,0.786,0.57,1.076,1.069,1.278
52010,"52010","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214,0.204,0.434,0.228,0.465,0.549,0.354,0.361,0.226,0.342,0.217,0.228,0.255,0.183,0.176,0.267,0.33,0.343,0.317,0.341,0.647,0.452,0.611,0.621,0.506,0.852,0.695,0.548,0.351,0.339,0.437,0.451,0.691,0.554,0.74,0.566,0.682,0.998,1.036,0.738,1.166,0.964,0.885,0.619,1.091,1.186,0.969,1.029,1.078,1.451,1.585,2.16,1.601,1.64
52130,"52130","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,0.645,0.513,0.426,0.404,0.429,0.459,0.32,0.586,0.651,0.679,0.305,0.532,0.574,0.459,0.451,0.507,0.699,0.465,0.601,0.458,1.161,0.967,1.012,0.876,0.984,0.722,1.188,0.743,0.681,0.303,0.58,0.422,0.327,0.864,1.288,0.727,1.011,1.037,0.785,0.682,1.19,0.886,1.074,1.363,1.054,1.285,1.258,1.577,1.713,1.239
60086,"60086","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,0.593,0.932,0.89,0.483,0.352,0.33,0.275,0.237,0.308,0.349,0.263,0.348,0.306,0.32,0.412,0.808,0.66,0.646,0.708,0.711,0.594,0.358,0.438,0.573,0.807,1.327,1.431,1.195,0.841,0.829,0.809,0.589,0.439,0.412,0.411,0.507,0.415,0.56,0.685,0.75,0.556,0.61,0.757,0.705,0.445,0.642,0.694,0.541,0.63,0.685,0.64,0.463,0.782,0.625,0.778
60111,"60111","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594,0.923,0.773,0.63,0.943,1.899,1.256,1.544,1.069,0.499,0.629,0.633,0.404,0.768,0.662,0.537,0.601,0.519,0.704,0.564,0.567,0.572,0.803,0.573,0.836,0.709,0.626,0.706,0.609,0.594,0.502,0.947,1.11,1.687,1.35,1.546,1.351,1.322,1.339,1.452,1.527,1.744,1.568,0.871,1.338,1.386,1.435,1.16,0.771,0.775,0.601,0.708,0.71,0.869,0.851,0.67,0.887,0.864,0.833,1.054,0.956,1.202,1.345,1.257,0.754,0.779,0.789,0.782,0.795,0.565,0.764,0.653,0.556,0.717,0.863,1.078,0.613,0.706,0.877,1.086,0.98,0.88,0.927,0.734,1.164,1.112,1.64
60129,"60129","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,0.223,0.182,0.317,0.071,0.253,0.624,0.25,0.258,0.309,0.211,0.261,0.137,0.181,0.38,0.677,0.988,1.178,0.813,0.872,0.754,0.87,0.608,0.428,0.582,0.578,0.602,0.548,0.972,0.849,0.77,0.444,0.46,0.492,0.551,0.43,0.563,0.551,0.659,0.6,0.481,0.574,0.706,0.486,0.701,0.721,0.681,0.555,0.709,0.59,0.636,0.628,0.727,0.561,0.643,0.602,0.725,0.855
60145,"60145","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.448,1.12,0.885,0.749,0.662,0.794,0.593,0.828,0.721,1.174,1.466,0.424,2.467,1.355,1.151,1.206,0.861,1.009,0.82,1.112,0.75,1.006,0.988,0.925,0.599,0.946,1.238,0.619,0.553,0.766,0.692,0.871,0.692,0.808,0.845,0.949,0.914,0.917,0.803
60295,"60295","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159,0.171,0.092,0.101,0.092,0.149,0.207,0.184,0.119,0.138,0.13,0.087,0.1,0.174,0.263,0.326,0.228,0.126,0.307,0.198,0.486,0.178,0.237,0.307,0.313,0.364,0.342,0.552,0.549,0.681,0.605,0.963,1.363,0.856,1.089,1.182,1.087,0.923,1.338,0.974,0.84,0.964,0.864,0.856,0.862,0.898,1.037,1.294
60339,"60339","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346,0.234,0.304,0.496,0.52,0.131,0.203,0.186,0.633,0.333,0.289,0.258,0.313,0.4,0.435,0.406,1.37,0.929,0.984,0.745,0.713,0.737,0.705,0.651,0.671,0.571,0.885,0.834,0.898,0.959,1.101,0.861,0.947,1.327,1.018,1.057,1.45,1.542,1.395,1.492,1.237,1.041,1.262,1.16,0.753,0.893
