"tag","coreID","sp","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
20627,"20627","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.912,0.903,0.61,1.742,1.509,1.487,1.11,1.208,0.996,1.23,0.961,0.95,0.749,1.104,1.126,2.133,1.904,2.123,1.415,1.47,1.225,1.337,0.79,1.729,2.258,0.676,2.386,1.554,1.764,1.356,1.57,0.974,1.61
20693,"20693","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,0.937,0.626,0.637,0.542,0.698,0.529,0.516,0.56,0.789,2.339,1.289,0.684,1.592,1.127,1.013,1.102,1.475,1.429,1.169,0.985,0.887,0.808,0.573,0.648,1.308,1.509,1.277,0.69,1.322,1.026,0.931,0.71,0.958,1.069,0.948,1.617,2.046,1.952,1.967,2.044,1.179,1.841
20820,"20820","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833,1.094,1.424,1.127,0.965,1.088,0.993,1.364,0.983,2.373,2.099,1.884,1.456,1.216,0.956,1.025,0.832,0.916,0.983,0.908,0.836,1.032,1.087,1.045,0.901,1.206,0.941,0.945,0.645,0.79,0.908,1.085,1.098,0.899,0.775,0.653,0.995,1.292,0.972
20847,"20847","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311,0.453,0.399,0.442,0.387,0.298,0.277,0.331,0.531,0.427,0.47,0.459,0.846,0.643,0.5,0.415,0.895,0.472,0.371,0.292,0.264,0.321,0.372,0.354,0.436,0.477,0.522,0.37,0.346,0.503,0.273,0.344,0.547,0.607,0.487,0.672,0.784,0.506,0.343,0.303,0.322,0.497
30214,"30214","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348,0.419,0.194,0.196,0.162,0.225,0.254,0.317,0.281,0.194,0.205,0.38,0.244,0.269,0.202,0.35,0.212,0.318,0.365,0.616,0.425,0.428,0.402,0.421,0.63,0.64,0.767,0.383,0.832,0.493,0.945,0.757,1.134,0.621,0.511,0.511,0.416,0.54,0.523,0.407,0.487,0.342,0.242,0.301,0.356,0.296,0.381,0.219,0.256,0.225,0.446,0.465,0.478,0.628,0.425,0.652,0.598,0.739,0.382,0.582
30233,"30233","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.084,1.881,1.909,1.659,1.107,0.691,0.872,1.059,0.601,0.572,0.84,0.736,0.856,1.382,1.148,1.023,1.552,1.405,1.475,1.931,1.412,1.83,1.533,0.911,1.35,1.626,1.523,0.809,0.514,0.883,1.091,0.773,0.823,0.88,0.656,0.994,0.953,0.72,0.995,0.848,0.857,0.528,1.304,0.719,0.637,0.676,0.898,1.058,0.819,0.751,0.933,0.746,0.749,0.779,0.826,0.818,0.82,0.829,0.899,0.867,0.751,0.357,0.748,0.477,0.597,0.978,0.893,0.93,0.672,0.634,0.789,0.579,0.633,0.49,0.382,0.308,0.48,0.419,0.329,0.459,0.451,0.376,0.621,0.528,0.445,0.527,0.524,0.718,0.524,0.318,0.664,0.376,0.521,0.436,0.515,0.348,0.32,0.259,0.451,0.449,0.308,0.468,0.445,0.381,0.546,0.453,0.577
30257,"30257","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,0.385,0.43,0.116,0.123,0.165,0.271,0.361,0.378,0.438,0.314,0.31,0.557,0.483,0.671,0.372,0.327,0.35,0.588,1.116,0.561,0.29,0.228,0.039,0.056,0.076,0.116,0.221,0.111,0.12,0.277,0.205,0.407,0.074,0.081,0.121,0.087,0.082,0.115,0.112,0.061,0.714,0.874,0.72,0.593,0.231,0.477,0.314,0.32,0.165,0.369,0.198,0.408,0.306,0.443,0.179,0.301,0.441,0.241,0.198,0.148,0.149,0.289,0.281,0.329,0.175,0.201,0.612,0.976,0.835,0.391,0.735,0.407,0.302,0.756,0.68,0.501,0.282,0.445,0.2,0.227
30333,"30333","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.111,0.338,0.543,0.348,0.364,0.697,0.535,1.134,0.675,0.941,0.661,1.043,0.664,0.781,1.206,1.051,0.592,0.402,0.89,0.653,0.633,0.538,1.073,1.853,1.267,1.21,0.872,0.538,0.635,0.485,0.336,0.43,0.352,0.258,0.353,0.356,0.55,0.271,0.762,0.503,0.442,0.404,0.261,0.284,0.371,0.579,0.481,0.533,0.483,0.431,0.318,0.295,0.226,0.166,0.357,0.373,0.589,0.561,1.459,0.96,0.904,0.44,0.352,0.887,0.888,0.669,0.745,0.49,0.62,0.503,0.838,0.867,0.693,0.35,0.582,0.63,0.719,0.512,1.272,1.231,0.586,1.153,0.653,0.914,0.96,1.091,0.89,1.337
30418,"30418","fagr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,1.917,1.77,1.803,1.454,1.6,0.971,0.775,0.788,0.787,0.996,0.794,0.861,0.921,0.684,0.669,0.474,0.268,0.395,0.4,0.592,0.695,0.891,1.849,1.907,1.9,1.497,1.667,1.661,1.218,1.677,1.574,2.071,1.617,1.24
30421,"30421","fagr",NA,NA,NA,NA,NA,0.314,0.245,0.286,0.12,0.224,0.287,0.312,0.416,0.377,0.282,0.439,0.288,0.207,0.171,0.284,0.291,0.277,0.349,0.359,0.311,0.408,0.561,0.439,0.489,0.374,0.257,0.244,0.208,0.309,0.457,0.346,0.352,0.188,0.381,0.308,0.972,0.37,0.321,0.464,0.33,0.72,0.744,0.792,0.729,0.423,0.559,0.767,0.72,0.831,0.611,0.811,0.728,1.239,1.082,0.841,0.544,0.472,0.452,0.6,0.58,0.826,0.795,1.309,1.101,1.009,0.793,0.774,0.847,0.722,0.693,0.549,0.535,0.472,0.594,1.384,1.5,1.094,0.621,0.898,1.122,0.615,0.781,0.733,0.446,0.443,0.337,0.53,0.602,0.382,0.425,0.33,0.359,0.341,0.639,0.747,0.574,0.742,0.913,0.841,0.899,0.542,0.653,0.798,0.62,0.611,0.541,0.593,0.604,0.603,0.601,0.467,0.721,0.555,0.666,0.746,0.357,0.45
