sp,individual,L_M_S,suspicious_measurement,notes,fresh_mass_leaf_blade_g,dry_mass_leaf_blade_g,fresh_mass_petiole_g,dry_mass_petiole_g,thickness_top_mm,thickness_middle_mm,thickness_bottom_mm,petiole_diameter_x_top_mm,petiole_diameter_x_middle_mm,petiole_diameter_x_bottom_mm,petiole_diameter_y_top_mm,petiole_diameter_y_middle_mm,petiole_diameter_y_bottom_mm,petiole_length_mm,rachis_length_mm,rachis _fresh_mass_g,rachis_dry_mass_g,petiole_plus_rachis_length_mm,SPAD_top_AP,SPAD_top_C,SPAD_top_SPAD,SPAD_middle_AP,SPAD_middle_C,SPAD_middle_SPAD,SPAD_Bottom_AP,SPAD_bottom_C,SPAD_bottom_SPAD,n_leaflets
fagr,1,L,0,,0.37,0.16,0,0,0.06,0.07,0.08,1.53,1.7,1.74,1.27,1.39,1.33,6.58,,,,,46,38,27.52,43,36.9,26.431,51,40.9,30.391,
fagr,1,M,0,,0.26,0.11,0,0,0.06,0.07,0.07,1.13,1.32,1.2,1.15,1.11,1.11,5.97,,,,,43,36.9,26.431,46,38,27.52,49,39.8,29.302,
fagr,1,S,0,,0.06,0.02,0,0,0.06,0.06,0.07,0.72,0.9,0.67,0.69,0.65,0.46,3.78,,,,,32,31.2,20.788,45,37.5,27.025,47,38.8,28.312,
fagr,2,L,0,,0.66,0.28,0.02,0,0.1,0.08,0.09,1.97,2.06,2.06,1.96,2,2.04,8.42,,,,,57,43.7,33.163,60,45,34.45,57,43.9,33.361,
fagr,2,M,0,,0.42,0.18,0,0,0.06,0.07,0.08,1.64,1.49,1.25,1.56,1.75,1.28,5.79,,,,,53,41.6,31.084,55,42.7,32.173,57,43.5,32.965,
fagr,2,S,0,,0.24,0.1,0,0,0.05,0.06,0.06,1.3,1.32,1.28,1.39,1.31,1.2,4.66,,,,,44,37.1,26.629,48,39.1,28.609,51,40.7,30.193,
fagr,3,L,0,,0.44,0.18,0.02,0,0.07,0.09,0.09,1.36,1.52,1.47,1.42,1.4,1.58,6.84,,,,,53,41.9,31.381,59,44.9,34.351,58,44,33.46,
fagr,3,M,0,,0.31,0.14,0,0,0.06,0.07,0.07,1.18,1.25,1.39,1.08,1.09,1.03,5.48,,,,,47,38.8,28.312,52,41.1,30.589,54,42.3,31.777,
fagr,3,S,0,,0.18,0.08,0,0,0.06,0.08,0.06,1.07,10.7,1.14,0.98,0.9,0.88,4.56,,,,,42,36.3,25.837,49,39.7,29.203,51,40.5,29.995,
quru,1,L,0,,2.86,1.29,0.37,0.13,0.17,0.15,0.18,2.35,1.78,4.43,1.9,1.95,3.65,71.04,,,,,69,49.9,39.301,67,48.9,38.311,66,48.4,37.816,
quru,1,M,0,,1.87,0.91,0.2,0.08,0.16,0.18,0.18,1.67,1.58,3.53,1.9,1.55,2.77,63.03,,,,,64,47.3,36.727,67,48.6,38.014,70,50.4,39.796,
quru,1,S,0,,1.19,0.56,0.14,0.06,0.15,0.19,0.16,1.5,1.34,3.15,1.48,1.42,2.38,51.72,,,,,67,48.7,38.113,69,49.9,39.301,62,46,35.44,
quru,2,L,0,,1.91,0.78,0.24,0.08,0.13,0.22,0.18,2.68,1.65,3.52,1.57,1.75,2.74,61.62,,,,,57,43.5,32.965,58,44.3,33.757,55,42.9,32.371,
quru,2,M,0,,1.16,0.47,0.12,0.04,0.12,0.14,0.15,1.87,1.42,2.98,1.39,1.39,2.94,47.13,,,,,63,46.5,35.935,69,49.6,39.004,62,46.4,35.836,
quru,2,S,0,,0.94,0.38,0.08,0.02,0.15,0.17,0.16,1.35,1.28,2.96,1.37,1.3,2.01,33.47,,,,,61,45.9,35.341,59,44.7,34.153,63,46.9,36.331,
quru,3,L,0,,3.29,1.42,0.29,0.1,0.16,0.18,0.19,2.02,1.8,3.99,1.99,1.78,4.3,50.17,,,,,72,51.4,40.786,75,52.6,41.974,72,51.1,40.489,
quru,3,M,0,,2.21,0.95,0.16,0.06,0.16,0.2,0.2,1.78,1.49,3.32,1.73,1.66,2.87,40.6,,,,,74,52,41.38,65,47.7,37.123,78,54.1,43.459,
quru,3,S,0,,1.08,0.48,0.06,0.03,0.14,0.21,0.18,1.2,1.32,2.7,1.29,1.33,2.07,29.19,,,,,74,52.4,41.776,68,49.3,38.707,77,53.6,42.964,
litu,1,L,0,,1.68,0.44,0.38,0.06,0.13,0.15,0.19,2.08,1.87,4.62,2.26,1.69,4.3,113.61,,,,,66,48.4,37.816,59,44.6,34.054,61,45.8,35.242,
litu,1,M,0,,1.03,0.27,0.23,0.08,0.14,0.14,0.1,1.4,1.42,3.18,1.47,1.38,3.15,125.61,,,,,56,43.2,32.668,56,43.4,32.866,57,43.7,33.163,
litu,1,S,0,,0.37,0.09,0.08,0.02,0.09,0.14,0.24,1.07,1.01,2.11,0.96,0.98,1.91,97.26,,,,,52,41.1,30.589,50,40.4,29.896,51,40.7,30.193,
litu,2,L,0,,2.75,1.04,0.35,0.09,0.15,0.17,0.14,2.4,2.08,4.5,2.09,2.01,3.93,94.04,,,,,72,51,40.39,76,53.3,42.667,71,50.7,40.093,
