"Column","Field","Description","Storage.Type","Variable.Codes","Units","Populated.by","n_Panama","Min_Panama","Max_Panama","n_Pasoh","Min_Pasoh","Max_Pasoh","n_SCBI","Min_SCBI","Max_SCBI"
"1 / A","sp","","character","","","",52,"-","-",68,"-","-",12,"-","-"
"10 / J","geometric.volume","","double","","","",149,"0.14","60.89",198,"0.12","18.48",36,"0.99","6.2"
"11 / K","displaced_water_mass_g","","double","","","",151,"0.12","63.14",198,"0.11","11.1",36,"0.59","6.46"
"12 / L","arc_geo","","double","","","",149,"0.25","3.65",198,"0.5","1.2",36,"0.38","1.51"
"13 / M","dry_mass","","double","","","",151,"0.07","15.38",198,"0.03","4.11",36,"0.35","3.95"
"14 / N","WD","","double","","","",151,"0.17","1.72",198,"0.21","0.98",36,"0.38","1.21"
"2 / B","individual","","integer","","","",152,"1","3",199,"1","3",36,"1","3"
"3 / C","ind_ID","","character","","","",153,"-","-",198,"-","-",36,"-","-"
"4 / D","suspicious_measurements","","integer","","","",152,"0","0",199,"0","0",36,"0","0"
"5 / E","notes","","character","","","",4,"-","-",0,"Inf","-Inf",0,"Inf","-Inf"
"6 / F","rehydrated_mass_g","","double","","","",151,"0.26","63.2",198,"0.2","28.05",36,"1.33","9.54"
"7 / G","stem_diam_with_bark_mm","","double","","","",151,"3.33","67.96",198,"3.15","28.44",36,"7.3","17.39"
"8 / H","stem_diam_without_bark_mm","","double","","","",149,"2.52","32.64",198,"2.14","22.71",36,"6.26","13.85"
"9 / I","stem_length_mm","","double","","","",151,"10.69","66.53",198,"19.33","47.83",36,"12.3","57.01"
