sp,individual,ind_ID,suspicious_measurements,notes,rehydrated_mass_g,stem_diam_with_bark_mm,stem_diam_without_bark_mm,stem_length_mm,geometric volume,displaced_water_mass_g,arc_geo,dry_mass,WD
quru,1,quru_1,0,,2.99,8.89,8.2,42.92,2.266612604,2.41,1.063260654,1.51,0.626556017
quru,2,quru_2,0,,3.93,9.52,8.4,48.21,2.671687047,2.97,1.111657147,1.9,0.63973064
quru,3,quru_3,0,,7.72,15.29,13.24,41.15,5.665466699,5.86,1.034336677,3.51,0.598976109
litu,1,litu_1,0,,3.2,10.16,8.38,45.24,2.495172153,2.13,0.853648514,0.94,0.441314554
litu,2,litu_2,0,,3.13,8.89,8.5,57.01,3.235033437,3.19,0.986079453,1.23,0.385579937
litu,3,litu_3,0,,4.24,13.1,12.13,41.23,4.764582134,4.76,0.999038293,1.83,0.384453782
fagr,1,fagr_1,0,,2.61,7.96,7.23,44.3,1.818738257,1.93,1.061175237,1.22,0.632124352
fagr,2,fagr_2,0,,3.03,9.74,8.68,36.56,2.163393491,2.13,0.984564301,1.25,0.58685446
fagr,3,fagr_3,0,,2.38,8.32,7.93,47.58,2.349961211,1.94,0.825545541,1.24,0.639175258
qual,1,qual_1,0,,4.14,14.23,13.81,25.4,3.804617097,3.16,0.830569784,1.88,0.594936709
qual,2,qual_2,0,,3.43,10.59,11.16,32.57,3.185928531,3.04,0.954195918,1.83,0.601973684
qual,3,qual_3,0,,3.87,10.42,9.9,40.21,3.095240103,3.19,1.030614716,2.03,0.636363636
cato,1,cato_1,0,,3.75,9.15,8.08,55.12,2.826323124,2.5,0.884541466,1.66,0.664
cato,2,cato_2,0,,3.89,11.42,9.57,36.28,2.609642613,2.66,1.01929666,1.3,0.488721805
cato,3,cato_3,0,,3.21,9.92,7.7,41.19,1.91806413,2.03,1.058358773,1.68,0.827586207
juni,1,juni_1,0,,4.35,10.64,8.75,40.36,2.426929412,1.38,0.568619752,1.45,1.050724638
juni,2,juni_2,0,,2,9.32,7.06,42.62,1.668448204,0.64,0.383589972,0.66,1.03125
juni,3,juni_3,0,,6.6,14.73,12.4,36.74,4.436826066,2.055,0.463168934,2.46,1.197080292
caovl,1,caovl_1,0,,6.48,15.33,13.41,12.3,1.737210911,2.63,1.513920954,2.87,1.091254753
caovl,2,caovl_2,0,,7.57,15.03,10.55,48.18,4.211740416,5.22,1.239392623,3.1,0.593869732
caovl,3,caovl_3,0,,2.18,9.3,7.54,33.98,1.517245813,0.73,0.481134958,0.88,1.205479452
caco,1,caco_1,0,,3.03,10.79,9.54,33.42,2.388873079,1.235,0.516980166,1.13,0.914979757
caco,2,caco_2,0,,5.44,17.39,13.63,24.05,3.509107507,3.26,0.92901115,2.33,0.714723926
caco,3,caco_3,0,,7.1,15.17,12.86,47.7,6.195697387,3.155,0.509224354,2.74,0.868462758
cagl,1,cagl_1,0,,1.86,7.3,6.26,42.84,1.318523911,0.59,0.44747008,0.35,0.593220339
cagl,2,cagl_2,0,,2.19,9.12,6.98,35.8,1.369883874,1.41,1.029284326,0.84,0.595744681
cagl,3,cagl_3,0,,3.06,10.68,8.9,33.9,2.108966071,1.99,0.943590334,1.32,0.663316583
fram,1,fram_1,0,,1.64,8.94,7.77,33.75,1.600315811,1.21,0.756100759,0.69,0.570247934
fram,2,fram_2,0,,4.5,14.23,12.07,31.86,3.645442001,3.36,0.921698932,1.85,0.550595238
fram,3,fram_3,0,,2.87,11.55,9.52,34.07,2.425134957,2.2,0.907166009,1.26,0.572727273
qupr,1,qupr_1,0,,6.21,15.02,13.85,39.93,6.015735575,4.83,0.802894333,2.91,0.602484472
qupr,2,qupr_2,0,,2.45,8.72,7.68,37.24,1.72513066,1.59,0.921669319,0.98,0.616352201
qupr,3,qupr_3,0,,1.33,7.45,6.49,30.03,0.993423907,0.92,0.926090054,0.57,0.619565217
quve,1,quve_1,0,,3.29,10.13,8.22,33.64,1.785210792,1.85,1.036292189,1.28,0.691891892
quve,2,quve_2,0,,4.32,13.95,12.08,28.9,3.312238437,3.16,0.954037597,2.08,0.658227848
quve,3,quve_3,0,,9.54,14.76,12.51,50.11,6.159265194,6.46,1.04882641,3.95,0.611455108
