tag,stemtag,species,DBH.mm.2008,bark.depth.mm
10122,1,juni,762,8
10446,1,nysy,667,8
10587,1,litu,938,6
10669,1,cagl,780,4
12003,1,caco,408,5
30041,1,caco,505,4
30512,1,quru,826,2
30584,1,quve,844,4
40874,1,quve,641,7
40952,1,caco,605,3
50213,1,quve,162,4
50251,1,quve,622,11
50257,1,quve,482,5
50274,1,quru,506,8
50372,1,quve,333,3
50607,1,quru,370,5
52087,1,quru,1432,6
52200,1,quru,241,3
52305,1,cagl,613,3
60161,1,qupr,846,9
62181,1,quve,1107,8
62224,1,litu,1025,6
62417,1,quve,933,3
70269,1,cagl,411,5
70319,1,cagl,302,7
70332,1,cagl,237,1
70374,1,cagl,191,3
70196,1,qupr,664,12
72427,1,litu,1365,9
80180,1,qupr,991,15
92422,1,nysy,163,4
100011,1,fram,942,10
100612,1,litu,1173,9
100562,1,litu,608,8
100783,1,litu,275,3
100834,1,nysy,211,5
101016,1,nysy,446,5
100887,1,litu,322,5
100890,1,litu,525,8
101082,1,litu,799,8
101250,1,nysy,597,12
101191,1,nysy,284,5
101321,1,nysy,341,3
102076,1,nysy,418,5
111082,1,caovl,360,5
111081,1,caovl,430,8
111083,1,caovl,148,1
111306,1,caovl,223,5
121301,1,caovl,231,9
121420,1,caovl,293,3
121453,1,caco,59,1
121349,1,cagl,439,6
122295,1,juni,546,12
132003,1,fram,325,6
140881,1,fram,602,8
140883,1,fram,687,8
141146,1,caco,345,5
141124,1,fram,184,7
142134,1,fram,61,5
142175,1,caovl,64,2
142082,1,fram,506,11
142206,1,fram,851,16
142333,1,fram,439,3
150595,1,juni,136,5
151017,1,cato,488,5
151160,1,caco,682,1
152185,1,cato,316,2
152483,1,qupr,325,3
152548,1,qupr,149,3
152634,1,juni,676,11
160808,1,cato,393,2
160814,1,cato,435,4
162137,1,cato,234,4
162376,1,qual,234,4
162535,1,qual,284,3
162541,1,qupr,394,9
171407,1,cato,116,3
171409,1,caovl,631,6
171379,1,qual,415,5
172318,1,juni,390,6
172159,1,juni,313,6
172372,1,ulru,391,4
172548,1,juni,278,10
172469,1,qual,93,2
172535,1,qual,468,8
172499,1,qual,1018,5
180784,1,cato,573,7
180842,1,caco,242,2
180999,1,qual,541,9
181022,1,qual,639,13
181030,1,qual,744,11
182203,1,cato,50,2
182002,1,qupr,58,3
182056,1,qupr,538,4
182570,1,juni,515,5
190501,1,caco,175,1
190694,1,quru,1273,6
190704,1,caco,187,2
190568,1,juni,854,9
192560,1,qual,900,8
192690,1,cagl,536,2
30448,1,acru,363,3
30481,1,acru,155,2
30452,1,acru,207,2
30446,1,acru,168,2
30461,1,acru,175,1
30293,1,quru,514,2
30515,1,ulru,61,2
30560,1,quru,569,3
40883,1,ulru,180,2
40892,1,acru,204,2
40942,1,acru,396,2
40955,1,acru,309,2
40963,1,acru,236,2
50612,1,acru,82,1
50607,1,quru,372,2
50613,1,quru,716,3
50662,1,ulru,75,3
60488,1,ulru,111,1
