Sampling.date,Latitude,Longitude,Elevation.m,Spcode,Species.name,Tag.number,Leaf.identifier,Plant.life.form,Maturity,Exposition,dbh.2012.mm,CE.index,Leaf.fresh.mass.g,Leaf.dry.mass.g,Leaf.area.cm2,SLA,LMA
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,140528,2,tree,juvenile,natural environment,33.8,4,0.659,0.275,79.301,288.37,0.0035
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,140528,3,tree,juvenile,natural environment,33.8,4,0.222,0.089,29.463,331.04,0.003
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,140528,4,tree,juvenile,natural environment,33.8,4,0.472,0.202,59.999,297.02,0.0034
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,140528,5,tree,juvenile,natural environment,33.8,4,0.364,0.15,47.376,315.84,0.0032
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,151025,1,tree,juvenile,natural environment,26,3,0.656,0.233,66.52,285.49,0.0035
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,151025,2,tree,juvenile,natural environment,26,3,0.886,0.309,82.11,265.73,0.0038
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,151025,3,tree,juvenile,natural environment,26,3,0.816,0.272,81.97,301.36,0.0033
10/10/2012,38.8935,78.1454,302,acpl,Acer platanoides,151025,4,tree,juvenile,natural environment,26,3,0.662,0.224,69.96,312.32,0.0032
9/19/2012,38.8935,78.1454,302,acpl,Acer platanoides,160960,1,tree,mature,natural environment,272.3,1,1.533,0.516,122.322,237.06,0.0042
9/19/2012,38.8935,78.1454,302,acpl,Acer platanoides,160960,2,tree,mature,natural environment,272.3,1,0.708,0.239,65.218,272.88,0.0037
9/19/2012,38.8935,78.1454,302,acpl,Acer platanoides,160960,3,tree,mature,natural environment,272.3,1,1.02,0.331,88.507,267.39,0.0037
9/19/2012,38.8935,78.1454,302,acpl,Acer platanoides,160960,4,tree,mature,natural environment,272.3,1,0.982,0.326,88.171,270.46,0.0037
9/19/2012,38.8935,78.1454,302,acpl,Acer platanoides,160960,5,tree,mature,natural environment,272.3,1,0.59,0.179,49.791,278.16,0.0036
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,162206,1,tree,mature,natural environment,325.5,5,1.327,0.486,98.887,203.47,0.0049
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,162206,2,tree,mature,natural environment,325.5,5,1.263,0.465,88.807,190.98,0.0052
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,162206,3,tree,mature,natural environment,325.5,5,0.854,0.306,66.989,218.92,0.0046
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,162206,4,tree,mature,natural environment,325.5,5,0.731,0.265,54.576,205.95,0.0049
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,162206,5,tree,mature,natural environment,325.5,5,0.496,0.177,45.433,256.68,0.0039
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,eka17,1,tree,mature,natural environment,625,5,1.463,0.67,71.61,106.88,0.0094
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,eka17,2,tree,mature,natural environment,625,5,1.657,0.8,78.01,97.51,0.0103
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,eka17,3,tree,mature,natural environment,625,5,2.166,0.956,108.078,113.05,0.0088
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,eka17,4,tree,mature,natural environment,625,5,1.326,0.592,68.637,115.94,0.0086
10/5/2012,38.8935,78.1454,302,acpl,Acer platanoides,eka17,5,tree,mature,natural environment,625,5,1.629,0.747,78.06,104.5,0.0096
9/21/2012,38.8935,78.1454,302,acru,Acer rubrum,92038,1,tree,juvenile,natural environment,46.8,3,0.486,0.228,39.617,173.76,0.0058
9/21/2012,38.8935,78.1454,302,acru,Acer rubrum,92038,2,tree,juvenile,natural environment,46.8,3,0.45,0.219,33.318,152.14,0.0066
9/21/2012,38.8935,78.1454,302,acru,Acer rubrum,92038,3,tree,juvenile,natural environment,46.8,3,0.531,0.263,39.42,149.89,0.0067
9/21/2012,38.8935,78.1454,302,acru,Acer rubrum,92038,4,tree,juvenile,natural environment,46.8,3,0.562,0.273,40.658,148.93,0.0067
9/12/2012,38.8935,78.1454,302,acru,Acer rubrum,122506,1,tree,mature,natural environment,125.1,1,0.575,0.225,49.059,218.04,0.0046
9/12/2012,38.8935,78.1454,302,acru,Acer rubrum,122506,2,tree,mature,natural environment,125.1,1,0.497,0.199,42.135,211.73,0.0047
9/12/2012,38.8935,78.1454,302,acru,Acer rubrum,122506,3,tree,mature,natural environment,125.1,1,0.444,0.182,36.278,199.33,0.005
9/12/2012,38.8935,78.1454,302,acru,Acer rubrum,122506,4,tree,mature,natural environment,125.1,1,0.591,0.222,47.616,214.49,0.0047
9/12/2012,38.8935,78.1454,302,acru,Acer rubrum,122506,5,tree,mature,natural environment,125.1,1,0.517,0.211,42.915,203.39,0.0049
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,151199,1,tree,mature,natural environment,240.9,3,1.063,0.524,62.786,119.82,0.0083
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,151199,2,tree,mature,natural environment,240.9,3,1.122,0.544,68.998,126.83,0.0079
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,151199,3,tree,mature,natural environment,240.9,3,0.298,0.148,22.746,153.69,0.0065
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,151199,4,tree,mature,natural environment,240.9,3,0.474,0.235,31.941,135.92,0.0074
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,151200,5,tree,mature,natural environment,240.9,3,0.556,0.255,36.626,143.63,0.007
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,171456,1,tree,mature,natural environment,697.2,3,1.479,0.591,84.362,142.74,0.007
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,171456,2,tree,mature,natural environment,697.2,3,1.845,0.698,100.108,143.42,0.007
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,171456,3,tree,mature,natural environment,697.2,3,1.45,0.609,83.495,137.1,0.0073
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,171456,4,tree,mature,natural environment,697.2,3,0.959,0.348,60.868,175.01,0.0057
9/19/2012,38.8935,78.1454,302,acru,Acer rubrum,171456,5,tree,mature,natural environment,697.2,3,0.282,0.1,22.751,227.51,0.0044
9/26/2012,38.8935,78.1454,302,acru,Acer rubrum,eka8,1,tree,mature,natural environment,500,5,1.817,0.73,91.802,125.76,0.008
9/26/2012,38.8935,78.1454,302,acru,Acer rubrum,eka8,2,tree,mature,natural environment,500,5,0.895,0.357,53.328,149.38,0.0067
9/26/2012,38.8935,78.1454,302,acru,Acer rubrum,eka8,3,tree,mature,natural environment,500,5,0.773,0.323,43.547,134.82,0.0074
9/26/2012,38.8935,78.1454,302,acru,Acer rubrum,eka8,4,tree,mature,natural environment,500,5,1.437,0.584,77.36,132.47,0.0075
10/5/2012,38.8935,78.1454,302,acsa,Acer saccharum,eka16,1,tree,mature,natural environment,475,5,0.503,0.234,40.699,173.93,0.0057
10/5/2012,38.8935,78.1454,302,acsa,Acer saccharum,eka16,2,tree,mature,natural environment,475,5,1.23,0.616,53.328,86.57,0.0116
10/5/2012,38.8935,78.1454,302,acsa,Acer saccharum,eka16,3,tree,mature,natural environment,475,5,0.788,0.398,55.319,138.99,0.0072
10/5/2012,38.8935,78.1454,302,acsa,Acer saccharum,eka16,4,tree,mature,natural environment,475,5,0.643,0.325,42.037,129.34,0.0077
10/5/2012,38.8935,78.1454,302,acsa,Acer saccharum,eka16,5,tree,mature,natural environment,475,5,1.337,0.681,84.077,123.46,0.0081
9/13/2012,38.8935,78.1454,302,aial,Ailanthus altissima,30207,1,tree,juvenile,natural environment,15.1,1,1.197,0.25,96.12,384.48,0.0026
9/13/2012,38.8935,78.1454,302,aial,Ailanthus altissima,30207,2,tree,juvenile,natural environment,15.1,1,2.432,0.535,193.382,361.46,0.0028
9/13/2012,38.8935,78.1454,302,aial,Ailanthus altissima,30207,3,tree,juvenile,natural environment,15.1,1,2.417,0.543,154.501,284.53,0.0035
9/13/2012,38.8935,78.1454,302,aial,Ailanthus altissima,60375,1,tree,juvenile,natural environment,29,1,8.79,2.223,624.39,280.88,0.0036
9/13/2012,38.8935,78.1454,302,aial,Ailanthus altissima,60375,2,tree,juvenile,natural environment,29,1,8.442,2.053,490.785,239.06,0.0042
9/13/2012,38.8935,78.1454,302,aial,Ailanthus altissima,60375,3,tree,juvenile,natural environment,29,1,6.505,1.531,474.728,310.08,0.0032
9/26/2012,38.8935,78.1454,302,aial,Ailanthus altissima,eka4,1,tree,mature,natural environment,301,5,11.076,4.222,379.82,89.96,0.0111
9/26/2012,38.8935,78.1454,302,aial,Ailanthus altissima,eka4,2,tree,mature,natural environment,301,5,16.411,6.885,603.75,87.69,0.0114
9/26/2012,38.8935,78.1454,302,aial,Ailanthus altissima,eka4,3,tree,mature,natural environment,301,5,13.059,5.152,533.761,103.6,0.0097
9/26/2012,38.8935,78.1454,302,aial,Ailanthus altissima,eka4,4,tree,mature,natural environment,301,5,14.38,6.054,499.076,82.44,0.0121
9/26/2012,38.8935,78.1454,302,aial,Ailanthus altissima,eka7,1,tree,mature,natural environment,341.5,5,15.475,6.955,621.993,89.43,0.0112
9/26/2012,38.8935,78.1454,302,aial,Ailanthus altissima,eka7,2,tree,mature,natural environment,341.5,5,15.454,6.612,600.855,90.87,0.011
10/12/2012,38.8935,78.1454,302,loma,Lonicera maackii,eka22,1,shrub,mature,natural environment,50,5,6.177,2.323,227.911,98.11,0.0102
10/12/2012,38.8935,78.1454,302,loma,Lonicera maackii,eka22,2,shrub,mature,natural environment,50,5,8.74,3.105,319.371,102.86,0.0097
10/12/2012,38.8935,78.1454,302,loma,Lonicera maackii,eka22,3,shrub,mature,natural environment,50,5,4.933,1.892,214.991,113.63,0.0088
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,40534,1,shrub,mature,natural environment,66.2,4,0.093,0.044,13.083,297.34,0.0034
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,40534,2,shrub,mature,natural environment,66.2,4,0.115,0.052,15.673,301.4,0.0033
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,40534,3,shrub,mature,natural environment,66.2,4,0.073,0.033,9.736,295.03,0.0034
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,40534,4,shrub,mature,natural environment,66.2,4,0.187,0.081,23.5,290.12,0.0034
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,50304,1,shrub,juvenile,natural environment,12.1,1,0.104,0.04,14.505,362.63,0.0028
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,50304,2,shrub,juvenile,natural environment,12.1,1,0.12,0.05,17.182,343.64,0.0029
9/13/2012,38.8935,78.1454,302,amar,Amelanchier arborea,50304,3,shrub,juvenile,natural environment,12.1,1,0.07,0.03,9.553,318.43,0.0031
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,52075,1,shrub,mature,natural environment,77.5,2,0.153,0.064,15.662,244.72,0.0041
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,52075,2,shrub,mature,natural environment,77.5,2,0.174,0.069,19.34,280.29,0.0036
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,52075,3,shrub,mature,natural environment,77.5,2,0.074,0.029,8.888,306.48,0.0033
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,52075,4,shrub,mature,natural environment,77.5,2,0.176,0.072,18.456,256.33,0.0039
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70482,1,shrub,mature,natural environment,63.5,3,0.149,0.065,18.167,279.49,0.0036
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70482,2,shrub,mature,natural environment,63.5,3,0.212,0.096,21.998,229.15,0.0044
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70482,3,shrub,mature,natural environment,63.5,3,0.241,0.11,26.986,245.33,0.0041
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70482,4,shrub,mature,natural environment,63.5,3,0.161,0.073,17.309,237.11,0.0042
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70482,5,shrub,mature,natural environment,63.5,3,0.159,0.074,19.435,262.64,0.0038
10/12/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70482,6,shrub,mature,natural environment,63.5,3,0.199,0.086,23.146,269.14,0.0037
9/6/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70548,1,shrub,juvenile,natural environment,11.1,1,0.129,0.045,15.433,342.96,0.0029
9/6/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70548,2,shrub,juvenile,natural environment,11.1,1,0.082,0.026,9.8,376.92,0.0027
9/6/2012,38.8935,78.1454,302,amar,Amelanchier arborea,70548,3,shrub,juvenile,natural environment,11.1,1,0.113,0.04,12.891,322.28,0.0031
10/11/2012,38.8935,78.1454,302,amar,Amelanchier arborea,101158,1,shrub,mature,natural environment,85.8,2,0.071,0.031,10.011,322.94,0.0031
10/11/2012,38.8935,78.1454,302,amar,Amelanchier arborea,101158,2,shrub,mature,natural environment,85.8,2,0.117,0.051,18.761,367.86,0.0027
10/11/2012,38.8935,78.1454,302,amar,Amelanchier arborea,101158,3,shrub,mature,natural environment,85.8,2,0.123,0.054,17.703,327.83,0.0031
10/11/2012,38.8935,78.1454,302,amar,Amelanchier arborea,101158,4,shrub,mature,natural environment,85.8,2,0.079,0.036,12.826,356.28,0.0028
10/11/2012,38.8935,78.1454,302,amar,Amelanchier arborea,101158,5,shrub,mature,natural environment,85.8,2,0.091,0.04,13.925,348.13,0.0029
9/6/2012,38.8935,78.1454,302,astr,Asimina triloba,60525,1,shrub,juvenile,natural environment,13.5,1,1.977,0.573,182.517,318.53,0.0031
9/6/2012,38.8935,78.1454,302,astr,Asimina triloba,60525,2,shrub,juvenile,natural environment,13.5,1,2.151,0.612,160.582,262.39,0.0038
9/6/2012,38.8935,78.1454,302,astr,Asimina triloba,60525,3,shrub,juvenile,natural environment,13.5,1,1.8,0.516,169.794,329.06,0.003
9/7/2012,38.8935,78.1454,302,astr,Asimina triloba,111381,1,shrub,mature,natural environment,116.1,1,3.092,0.985,240.519,244.18,0.0041
9/7/2012,38.8935,78.1454,302,astr,Asimina triloba,111381,2,shrub,mature,natural environment,116.1,1,2.435,0.769,188.212,244.75,0.0041
9/7/2012,38.8935,78.1454,302,astr,Asimina triloba,111381,3,shrub,mature,natural environment,116.1,1,1.397,0.449,103.129,229.69,0.0044
9/7/2012,38.8935,78.1454,302,astr,Asimina triloba,111381,4,shrub,mature,natural environment,116.1,1,2.203,0.678,163.172,240.67,0.0042
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,142202,1,shrub,juvenile,natural environment,25,5,1.673,0.431,154.125,357.6,0.0028
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,142202,2,shrub,juvenile,natural environment,25,5,2.629,0.676,231.672,342.71,0.0029
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,142202,3,shrub,juvenile,natural environment,25,5,2.756,0.866,218.755,252.6,0.004
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,142456,1,shrub,mature,natural environment,69,3,2.31,0.731,186.846,255.6,0.0039
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,142456,2,shrub,mature,natural environment,69,3,3.176,0.945,260.327,275.48,0.0036
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,142456,3,shrub,mature,natural environment,69,3,2.711,0.851,217.041,255.04,0.0039
10/10/2012,38.8935,78.1454,302,astr,Asimina triloba,162211,1,shrub,mature,natural environment,95.5,5,2.599,0.869,159.071,183.05,0.0055
