"sp","individual","ind_ID","L_M_S","suspicious_measurement","notes","fresh_mass_leaf_blade_g","dry_mass_leaf_blade_g","fresh_mass_petiole_g","dry_mass_petiole_g","thickness_top_mm","thickness_middle_mm","thickness_bottom_mm","petiole_diameter_x_top_mm","petiole_diameter_x_middle_mm","petiole_diameter_x_bottom_mm","petiole_diameter_y_top_mm","petiole_diameter_y_middle_mm","petiole_diameter_y_bottom_mm","petiole_length_mm","rachis_length_mm","rachis._fresh_mass_g","rachis_dry_mass_g","petiole_plus_rachis_length_mm","SPAD_top_AP","SPAD_top_C","SPAD_top_SPAD","SPAD_middle_AP","SPAD_middle_C","SPAD_middle_SPAD","SPAD_Bottom_AP","SPAD_bottom_C","SPAD_bottom_SPAD","n_leaflets","SWC","LT_mm","LDMC","SPAD"
"fagr",1,"fagr_1","L",0,"",0.37,0.16,0,0,0.06,0.07,0.08,1.53,1.7,1.74,1.27,1.39,1.33,6.58,NA,NA,NA,NA,46,38,27.52,43,36.9,26.431,51,40.9,30.391,NA,1.3125,0.07,0.432432432432432,28.114
"fagr",1,"fagr_1","M",0,"",0.26,0.11,0,0,0.06,0.07,0.07,1.13,1.32,1.2,1.15,1.11,1.11,5.97,NA,NA,NA,NA,43,36.9,26.431,46,38,27.52,49,39.8,29.302,NA,1.36363636363636,0.0666666666666667,0.423076923076923,27.751
"fagr",1,"fagr_1","S",0,"",0.06,0.02,0,0,0.06,0.06,0.07,0.72,0.9,0.67,0.69,0.65,0.46,3.78,NA,NA,NA,NA,32,31.2,20.788,45,37.5,27.025,47,38.8,28.312,NA,2,0.0633333333333333,0.333333333333333,25.375
"fagr",2,"fagr_2","L",0,"",0.66,0.28,0.02,0,0.1,0.08,0.09,1.97,2.06,2.06,1.96,2,2.04,8.42,NA,NA,NA,NA,57,43.7,33.163,60,45,34.45,57,43.9,33.361,NA,1.35714285714286,0.09,0.424242424242424,33.658
"fagr",2,"fagr_2","M",0,"",0.42,0.18,0,0,0.06,0.07,0.08,1.64,1.49,1.25,1.56,1.75,1.28,5.79,NA,NA,NA,NA,53,41.6,31.084,55,42.7,32.173,57,43.5,32.965,NA,1.33333333333333,0.07,0.428571428571429,32.074
"fagr",2,"fagr_2","S",0,"",0.24,0.1,0,0,0.05,0.06,0.06,1.3,1.32,1.28,1.39,1.31,1.2,4.66,NA,NA,NA,NA,44,37.1,26.629,48,39.1,28.609,51,40.7,30.193,NA,1.4,0.0566666666666667,0.416666666666667,28.477
"fagr",3,"fagr_3","L",0,"",0.44,0.18,0.02,0,0.07,0.09,0.09,1.36,1.52,1.47,1.42,1.4,1.58,6.84,NA,NA,NA,NA,53,41.9,31.381,59,44.9,34.351,58,44,33.46,NA,1.44444444444444,0.0833333333333333,0.409090909090909,33.064
"fagr",3,"fagr_3","M",0,"",0.31,0.14,0,0,0.06,0.07,0.07,1.18,1.25,1.39,1.08,1.09,1.03,5.48,NA,NA,NA,NA,47,38.8,28.312,52,41.1,30.589,54,42.3,31.777,NA,1.21428571428571,0.0666666666666667,0.451612903225806,30.226
"fagr",3,"fagr_3","S",0,"",0.18,0.08,0,0,0.06,0.08,0.06,1.07,10.7,1.14,0.98,0.9,0.88,4.56,NA,NA,NA,NA,42,36.3,25.837,49,39.7,29.203,51,40.5,29.995,NA,1.25,0.0666666666666667,0.444444444444444,28.345
"quru",1,"quru_1","L",0,"",2.86,1.29,0.37,0.13,0.17,0.15,0.18,2.35,1.78,4.43,1.9,1.95,3.65,71.04,NA,NA,NA,NA,69,49.9,39.301,67,48.9,38.311,66,48.4,37.816,NA,1.21705426356589,0.166666666666667,0.451048951048951,38.476
"quru",1,"quru_1","M",0,"",1.87,0.91,0.2,0.08,0.16,0.18,0.18,1.67,1.58,3.53,1.9,1.55,2.77,63.03,NA,NA,NA,NA,64,47.3,36.727,67,48.6,38.014,70,50.4,39.796,NA,1.05494505494505,0.173333333333333,0.486631016042781,38.179
"quru",1,"quru_1","S",0,"",1.19,0.56,0.14,0.06,0.15,0.19,0.16,1.5,1.34,3.15,1.48,1.42,2.38,51.72,NA,NA,NA,NA,67,48.7,38.113,69,49.9,39.301,62,46,35.44,NA,1.125,0.166666666666667,0.470588235294118,37.618
"quru",2,"quru_2","L",0,"",1.91,0.78,0.24,0.08,0.13,0.22,0.18,2.68,1.65,3.52,1.57,1.75,2.74,61.62,NA,NA,NA,NA,57,43.5,32.965,58,44.3,33.757,55,42.9,32.371,NA,1.44871794871795,0.176666666666667,0.408376963350785,33.031
"quru",2,"quru_2","M",0,"",1.16,0.47,0.12,0.04,0.12,0.14,0.15,1.87,1.42,2.98,1.39,1.39,2.94,47.13,NA,NA,NA,NA,63,46.5,35.935,69,49.6,39.004,62,46.4,35.836,NA,1.46808510638298,0.136666666666667,0.405172413793103,36.925
"quru",2,"quru_2","S",0,"",0.94,0.38,0.08,0.02,0.15,0.17,0.16,1.35,1.28,2.96,1.37,1.3,2.01,33.47,NA,NA,NA,NA,61,45.9,35.341,59,44.7,34.153,63,46.9,36.331,NA,1.47368421052632,0.16,0.404255319148936,35.275
