"sp","leaf_area_dry_cm2","leaf_area_dry_cm2_sd","leaf_area_fresh_cm2","leaf_area_fresh_cm2_sd","LA_cm2","LA_cm2_sd","PLA_dry_percent","PLA_dry_percent_sd","sum_dry_mass_leaf_blade_g","sum_dry_mass_leaf_blade_g_sd","LMA_g_per_m2","LMA_g_per_m2_sd","mean_LT_mm","mean_LT_mm_sd","LD_g_per_cm3","LD_g_per_cm3_sd","sum_fresh_mass_leaf_blade_g","sum_fresh_mass_leaf_blade_g_sd","WMA_g_per_m2","WMA_g_per_m2_sd","mean_SPAD","mean_SPAD_sd","Chl_m2_per_g","Chl_m2_per_g_sd","mean_TLP_Mpa","mean_TLP_Mpa_sd","WD_g_per_cm3","WD_g_per_cm3_sd","n_trees"
"caco",1093.75109583333,356.838414789856,1323.65297346667,434.531577433177,441.217657822222,144.843859144392,17.2184357420595,2.25448859207145,5.98,2.3905647868234,45.8645424527914,15.6045014637822,0.155925925925926,0.0363510546883408,0.289689008379792,0.0313332115916296,13.0433333333333,5.15698878545739,53.0286739890973,14.6247841241523,33.7203333333333,4.64617308473687,0.766345628251676,0.137289983968833,-2.13241333333333,0.0457402987892878,0.832722147,0.104802876479442,3
"cagl",710.6679608,237.193324750987,907.3780237,317.102419382288,302.459341233333,105.700806460762,21.0911083494444,5.47614751430653,3.86,1.26581989240176,42.7586005249738,0.937854371593636,0.138518518518519,0.0191270390128522,0.313578601502358,0.0531708275730115,9.37666666666667,3.88646797662522,58.7112858014173,15.5694547675356,34.1016666666667,2.35179725600089,0.798065166700126,0.0624228488761019,-2.12825333333333,0.501301935896255,0.617427201,0.0397614085626966,3
"caovl",1129.92412966667,440.000787874337,1305.97966097,444.780861136758,435.326553656667,148.260287045586,14.7998921598252,6.34279232657855,6.11,1.7545369759569,47.6041296443535,3.94996827481088,0.141111111111111,0.00987577157479506,0.33741163007829,0.0158546276897879,12.02,3.51236387636589,45.9396173658606,3.60142556731491,29.621,1.22189156638386,0.626181663316477,0.0731450549142257,-2.48393333333333,0.0351964846729517,0.963534645666667,0.325193683460408,3
"cato",1543.4239005,NA,1849.72309,NA,616.574363333333,NA,16.559191543638,NA,8.39,NA,45.3581406068732,NA,0.205555555555556,NA,0.220661224573978,NA,22.33,NA,75.362631711539,NA,34.769,NA,0.766543767773659,NA,-2.19516,NA,0.827586207,NA,1
"fagr",120.74402442,19.8666581810466,133.54141264,23.4973800738855,44.5138042133333,7.83246002462852,9.44708098283297,1.25103424035914,0.416666666666667,0.135769412362775,30.6839321807413,4.93745727725476,0.0703703703703704,0.00320750149549789,0.435168652645173,0.0577592679897899,0.98,0.317962261911693,41.5300343631767,6.67204989178977,29.676,2.28876669846448,0.976623287599505,0.0979456215972755,-2.57164,NA,0.61938469,0.0283917367687305,3
"fram",732.932720233333,274.193480680206,840.707221133333,303.43170905496,280.235740377778,101.14390301832,13.0640848029918,1.06426403918746,3.55333333333333,0.896232856646828,43.2771275139141,4.78025608198514,0.118888888888889,0.00587944735792129,0.363440507734724,0.0266705939771762,7.84666666666667,1.42387967656447,53.8358380831097,13.2572417653225,33.4123333333333,5.55989157568143,0.776729127057514,0.139330420010879,-2.10121333333333,0.363122866993161,0.564523481666667,0.0121257477789108,3
"juni",826.34762791,419.344981017291,1065.60035746667,407.411370115258,355.200119155555,135.803790038419,24.6423058053375,8.7222491620544,7.74,3.2673536692559,72.1315352567572,7.09572472799895,0.141481481481482,0.020647940540395,0.515036415789741,0.0742354378299888,15.48,3.30750661375,78.9958227163801,25.2453780915521,25.4446666666667,3.46123234315949,0.357273316767282,0.0761721502612032,-2.75936,0.213998796258297,1.09301831,0.0906448424050371,3
"litu",212.203409833333,47.5417166163337,263.008049636667,52.3119610861642,87.6693498788888,17.4373203620545,19.5572086396417,2.06340597388329,1.25,0.488773976393998,46.9191889280486,12.379385325943,0.148518518518519,0.00848625128695539,0.316320997779664,0.0852741268772095,3.92,0.90598013223249,102.542939925791,13.4481083895304,33.757,0.830991576371266,0.75780467045012,0.217948863087272,-1.92129333333333,0.168175857165449,0.403782757666667,0.03250836597364,3
"qual",147.854650333333,15.9108453244106,161.588766413333,16.7831629575393,53.8629221377778,5.5943876525131,8.52441666668513,0.369422011083897,1.23,0.268514431641951,75.8048078175039,11.0468924917051,0.165555555555556,0.0195315509236078,0.457922495735831,0.0404521855432777,2.64,0.519711458407451,86.849463034532,7.82341730039957,35.099,3.8564531632058,0.467159663043539,0.0632811193950513,-2.58412,0.0835049411711667,0.611091343,0.0221674615009487,3
"qupr",134.71294029,50.0255997611591,152.346511956667,55.7791767207348,50.7821706522222,18.5930589069116,11.7471173165519,1.37133816890325,0.973333333333333,0.246846781087648,71.7723188103559,40.1628048862236,0.178518518518519,0.0517512251102477,0.383469493415349,0.0986840124028242,2.20333333333333,0.420990894596704,88.4624048797581,37.0682988798995,33.68,3.36715013030308,0.54331223721354,0.201662032626468,-2.36017333333333,0.0931211454683271,0.61280063,0.00907734569490372,3
"quru",298.129141233333,60.2825709701114,335.111165036667,68.2849702910575,111.703721678889,22.7616567636859,11.0054424371564,0.892266717452448,2.41333333333333,0.679877439935562,71.1259116545318,6.57982235655609,0.168888888888889,0.011111111111111,0.420844473735692,0.020958327652951,5.50333333333333,1.33470346269624,92.1994633600448,6.13138458752212,38.0433333333333,2.94278954961672,0.535752552322636,0.0239663301349535,-2.63958666666667,0.277670911212056,0.621754255333333,0.0207972506737091,3
"quve",368.93707115,24.4798355093548,426.1533088,28.1073259226648,142.051102933333,9.36910864088819,13.4242978850708,0.838501576002937,2.07333333333333,0.160727512683216,48.6938749835959,3.2970521965789,0.165185185185185,0.0132559482727207,0.295015177434826,0.00672648231661097,5.38333333333333,0.616468436607531,77.6181975426894,9.12591839085084,31.0436666666667,1.16891930146325,0.638535190354792,0.0262339978776555,-2.38790666666667,0.148389936765716,0.653858282666667,0.0403960255590493,3
