"census","genus","species","sp","ninit","ndead","mean.timint","mortality.rates.yr.1","ci.lo","ci.hi"
"census 2008 and 2013","All","All",NA,8484,784,4.70615993837577,2.03923529153054,1.90014430788121,2.1855547154821
"census 2008 and 2013","Acer","All",NA,194,12,4.70158132051906,1.34890465920549,0.697373626812536,2.34474295180008
"census 2008 and 2013","Ailanthus","All",NA,4,0,4.43805612594114,0,0,18.7629004757051
"census 2008 and 2013","Amelanchier","All",NA,21,4,4.7295720478472,4.36948949526427,1.17711706607995,10.8486352079429
"census 2008 and 2013","Asimina","All",NA,3,1,4.66894820898928,8.31789038363818,0.180589854993629,39.6941808049499
"census 2008 and 2013","Carpinus","All",NA,227,30,4.59490964790877,3.03775863500055,2.0544244567348,4.31000669780772
"census 2008 and 2013","Carya","All",NA,1926,86,4.7177078246951,0.963588798738535,0.771274629054242,1.18870021540924
"census 2008 and 2013","Castanea","All",NA,1,0,4.69267624914442,0,0,54.4378516479813
"census 2008 and 2013","Celtis","All",NA,45,7,4.63153091489847,3.58472044267382,1.43856894566051,7.25683109812594
"census 2008 and 2013","Cercis","All",NA,127,35,4.71412633995699,6.61036998895621,4.62463216639676,9.0898955168989
"census 2008 and 2013","Cornus","All",NA,29,12,4.66548655856877,10.8165940365078,5.58635428095277,18.3047875933073
"census 2008 and 2013","Diospyros","All",NA,2,1,4.61464750171116,13.9469206340834,0.273944150587524,61.2571321175001
"census 2008 and 2013","Fagus","All",NA,278,2,4.62813978796429,0.155885931828714,0.0188573703778672,0.561972365045749
"census 2008 and 2013","Fraxinus","All",NA,492,41,4.6650974107277,1.84787029363696,1.32802541129365,2.49886758100438
"census 2008 and 2013","Hamamelis","All",NA,7,2,4.56712623447736,7.10242443350142,0.815175566309534,23.7171901895814
"census 2008 and 2013","Juglans","All",NA,129,7,4.64524139248364,1.19385954482673,0.47976810487933,2.4446623325295
"census 2008 and 2013","Lindera","All",NA,2,2,4.45311430527036,100,3.79121134153624,100
