"census","genus","species","sp","ninit","ndead","mean.timint","mortality.rates.yr.1","ci.lo","ci.hi"
"census 2008 and 2013","All","All",NA,8542,820,4.70570652143429,2.12183337525504,1.98031663623671,2.27052380817654
"census 2008 and 2013","Acer","All",NA,196,15,4.69697858609563,1.6807960952531,0.941630704873031,2.75762159191159
"census 2008 and 2013","Ailanthus","All",NA,4,0,4.43805612594114,0,0,18.7629004757051
"census 2008 and 2013","Amelanchier","All",NA,22,5,4.72416153319644,5.31141125688308,1.70900039207125,12.0128175001358
"census 2008 and 2013","Asimina","All",NA,4,1,4.75222450376454,5.87403962006499,0.133100588725943,29.1743727211657
"census 2008 and 2013","Carpinus","All",NA,229,31,4.5961460864575,3.1151630243898,2.12175015157455,4.39449642862017
"census 2008 and 2013","Carya","All",NA,1926,87,4.71776752860635,0.974987923531767,0.781464811549559,1.20129889618993
"census 2008 and 2013","Castanea","All",NA,1,0,4.69267624914442,0,0,54.4378516479813
"census 2008 and 2013","Celtis","All",NA,45,7,4.63153091489847,3.58472044267382,1.43856894566051,7.25683109812594
"census 2008 and 2013","Cercis","All",NA,136,36,4.70894230382091,6.32117779651104,4.44623016853105,8.65779934349828
"census 2008 and 2013","Cornus","All",NA,30,12,4.66657540497376,10.3686262974062,5.35640340010088,17.5635868012535
"census 2008 and 2013","Diospyros","All",NA,3,1,4.73739447866758,8.20278337985715,0.1779830010747,39.2519125380025
"census 2008 and 2013","Fagus","All",NA,279,2,4.62780194250023,0.15533695243094,0.0187910375985645,0.559997267236934
"census 2008 and 2013","Fraxinus","All",NA,500,44,4.66403832991102,1.95563582020348,1.42317353944789,2.61687486701595
"census 2008 and 2013","Hamamelis","All",NA,7,2,4.56712623447736,7.10242443350142,0.815175566309534,23.7171901895814
"census 2008 and 2013","Juglans","All",NA,132,9,4.65021882065003,1.50711352788524,0.689207059293828,2.84224660822697
"census 2008 and 2013","Lindera","All",NA,1,1,4.42984257357974,100,0.569898274488867,100
"census 2008 and 2013","Liriodendron","All",NA,2276,76,4.72102792102576,0.716799186508033,0.565054879854909,0.896382363147818
"census 2008 and 2013","Nyssa","All",NA,503,20,4.74276857676664,0.851832851016143,0.520645688942489,1.31258988860068
"census 2008 and 2013","Paulownia","All",NA,3,1,4.61875427789186,8.40437531848914,0.182550607940879,40.0247187475465
"census 2008 and 2013","Pinus","All",NA,100,10,4.77571526351814,2.18201447253425,1.04660233656227,3.9778997800904
"census 2008 and 2013","Platanus","All",NA,26,1,4.6564523771916,0.838750129860466,0.0209099107381427,4.58639616701144
"census 2008 and 2013","Prunus","All",NA,61,7,4.67844840161129,2.57170072227864,1.03263699142658,5.23072095592819
"census 2008 and 2013","Quercus","All",NA,1437,159,4.7247664515158,2.4512977791098,2.08799363975801,2.85766780315523
"census 2008 and 2013","Robinia","All",NA,28,23,4.71223232619537,30.6215981821597,19.0716961373014,44.8317368021664
"census 2008 and 2013","Sassafras","All",NA,78,21,4.64553607469419,6.52891554708703,4.05675096387867,9.83002815230054
"census 2008 and 2013","Tilia","All",NA,139,8,4.66669621181905,1.26217197211637,0.544819440209354,2.47218588959008
"census 2008 and 2013","Ulmus","All",NA,347,221,4.6621653874907,19.5303591539989,17.1424671267882,22.0835647542495
"census 2008 and 2013","Unidentified","All",NA,20,20,4.6880219028063,100,31.6104472158433,100
"census 2008 and 2013","Viburnum","All",NA,9,0,4.69176363221538,0,0,8.36534393424849
"census 2008 and 2013","Acer","negundo","acne",5,1,4.67077344284736,4.66511928193868,0.10835074661053,23.6480737663119
"census 2008 and 2013","Acer","platanoides","acpl",6,0,4.76249144421629,0,0,12.1109424015895
"census 2008 and 2013","Acer","rubrum","acru",185,14,4.69556209186599,1.66192116899473,0.909376720058819,2.77326647215359
"census 2008 and 2013","Ailanthus","altissima","aial",4,0,4.43805612594114,0,0,18.7629004757051
"census 2008 and 2013","Amelanchier","arborea","amar",22,5,4.72416153319644,5.31141125688308,1.70900039207125,12.0128175001358
"census 2008 and 2013","Asimina","triloba","astr",4,1,4.75222450376454,5.87403962006499,0.133100588725943,29.1743727211657
"census 2008 and 2013","Carpinus","caroliniana","caca",229,31,4.5961460864575,3.1151630243898,2.12175015157455,4.39449642862017
"census 2008 and 2013","Carya","cordiformis","caco",217,6,4.66802297523633,0.598865463139719,0.219673071184634,1.29895120997969
"census 2008 and 2013","Castanea","dentata","cade",1,0,4.69267624914442,0,0,54.4378516479813
"census 2008 and 2013","Carya","glabra","cagl",766,29,4.72822184454655,0.812931223113189,0.544792824434526,1.1654681604843
"census 2008 and 2013","Carya","ovalis","caovl",301,10,4.72412060187238,0.712650360302902,0.341793776570354,1.30673378093904
"census 2008 and 2013","Carya","sp","casp",17,17,4.61521117687321,100,29.8222532118896,100
"census 2008 and 2013","Carya","tomentosa","cato",625,25,4.72195592060233,0.860788337879359,0.557437531760441,1.2681338119483
"census 2008 and 2013","Cercis","canadensis","ceca",136,36,4.70894230382091,6.32117779651104,4.44623016853105,8.65779934349828
"census 2008 and 2013","Celtis","occidentalis","ceoc",45,7,4.63153091489847,3.58472044267382,1.43856894566051,7.25683109812594
"census 2008 and 2013","Cornus","alternifolia","coal",1,0,4.71731690622861,0,0,54.2503836105175
"census 2008 and 2013","Cornus","florida","cofl",29,12,4.66482569803394,10.8180403629401,5.58712316117913,18.3071274635507
"census 2008 and 2013","Diospyros","virginiana","divi",3,1,4.73739447866758,8.20278337985715,0.1779830010747,39.2519125380025
"census 2008 and 2013","Fagus","grandifolia","fagr",279,2,4.62780194250023,0.15533695243094,0.0187910375985645,0.559997267236934
"census 2008 and 2013","Fraxinus","americana","fram",438,38,4.67051090921024,1.92437847410638,1.36390408883731,2.63223143907241
"census 2008 and 2013","Fraxinus","nigra","frni",46,4,4.58941165967324,1.9626934125117,0.532431983697534,4.95203596392322
"census 2008 and 2013","Fraxinus","pennsylvanica","frpe",15,1,4.71074606433949,1.45391193863416,0.0358234449663986,7.84588220204824
"census 2008 and 2013","Fraxinus","sp","frsp",1,1,4.56125941136208,100,0.55352416498744,100
"census 2008 and 2013","Hamamelis","virginiana","havi",7,2,4.56712623447736,7.10242443350142,0.815175566309534,23.7171901895814
"census 2008 and 2013","Juglans","cinerea","juci",2,0,4.67077344284736,0,0,32.6245563691877
"census 2008 and 2013","Juglans","nigra","juni",130,9,4.64990259569315,1.53107008852587,0.700162331449161,2.88713400626138
"census 2008 and 2013","Lindera","benzoin","libe",1,1,4.42984257357974,100,0.569898274488867,100
"census 2008 and 2013","Liriodendron","tulipifera","litu",2276,76,4.72102792102576,0.716799186508033,0.565054879854909,0.896382363147818
"census 2008 and 2013","Nyssa","sylvatica","nysy",503,20,4.74276857676664,0.851832851016143,0.520645688942489,1.31258988860068
"census 2008 and 2013","Paulownia","tomentosa","pato",3,1,4.61875427789186,8.40437531848914,0.182550607940879,40.0247187475465
"census 2008 and 2013","Pinus","pungens","pipu",1,0,4.82956878850103,0,0,53.4112620778496
"census 2008 and 2013","Pinus","strobus","pist",96,10,4.77318617385353,2.27820693566904,1.09274337609878,4.15174112028672
"census 2008 and 2013","Pinus","virginiana","pivi",3,0,4.83869495779147,0,0,22.4404051943768
"census 2008 and 2013","Platanus","occidentalis","ploc",26,1,4.6564523771916,0.838750129860466,0.0209099107381427,4.58639616701144
"census 2008 and 2013","Prunus","avium","prav",47,4,4.68993839835729,1.87868825831666,0.509618418946178,4.74307497549571
"census 2008 and 2013","Prunus","serotina","prse",14,3,4.63987484110687,5.06483330469895,1.02275757521937,14.1745666108804
"census 2008 and 2013","Quercus","alba","qual",420,29,4.75256347576676,1.4941682130173,1.00184810357864,2.13909064765238
"census 2008 and 2013","Quercus","coccinea","quco",2,1,4.78850102669405,13.4763530583316,0.264011349009297,59.9001207276333
"census 2008 and 2013","Quercus","falcata","qufa",1,0,4.65434633812457,0,0,54.7318549374401
"census 2008 and 2013","Quercus","michauxii","qumi",3,0,4.73100616016427,0,0,22.887749629392
"census 2008 and 2013","Quercus","muehlenbergii","qumu",1,0,4.78850102669405,0,0,53.7154533948416
"census 2008 and 2013","Quercus","prinus","qupr",264,31,4.68576939829507,2.63052735871857,1.79096384058499,3.71426705319693
"census 2008 and 2013","Quercus","rubra","quru",413,53,4.71841072070773,2.86884556614935,2.15358293859326,3.73682620013761
"census 2008 and 2013","Quercus","sp","qusp",5,5,4.69650924024641,100,12.9329122287633,100
"census 2008 and 2013","Quercus","velutina","quve",328,40,4.72856880519524,2.71289151012312,1.9421837249791,3.67700438674901
"census 2008 and 2013","Robinia","pseudoacacia","rops",28,23,4.71223232619537,30.6215981821597,19.0716961373014,44.8317368021664
"census 2008 and 2013","Sassafras","albidum","saal",78,21,4.64553607469419,6.52891554708703,4.05675096387867,9.83002815230054
"census 2008 and 2013","Tilia","americana","tiam",139,8,4.66669621181905,1.26217197211637,0.544819440209354,2.47218588959008
"census 2008 and 2013","Ulmus","americana","ulam",21,9,4.62188325022001,11.4036568347788,5.18646476688358,20.8069933930796
"census 2008 and 2013","Ulmus","rubra","ulru",299,185,4.67464672339237,18.6387628954852,16.14938774155,21.3211684913516
"census 2008 and 2013","Ulmus","sp","ulsp",27,27,4.55527670038279,100,36.3515060182729,100
"census 2008 and 2013","Unidentified","unk","unk",20,20,4.6880219028063,100,31.6104472158433,100
"census 2008 and 2013","Viburnum","prunifolium","vipr",9,0,4.69176363221538,0,0,8.36534393424849
"census 2013 and 2014","All","All",NA,8057,126,1.25128989828376,1.25177127855431,1.04378718175979,1.48861210097826
"census 2013 and 2014","Acer","All",NA,202,4,1.27330392176795,1.55849702893071,0.425998367926905,3.94212514780884
