sp,dbh_cm,l_m,h_m,vol_m3,bio_kg
caco,7.71,8.38,7.96,0.02,13.68
caco,11.5,10.87,10.8,0.12,72.83
caco,12.39,7.29,7.11,0.05,31.48
caco,12.87,14.03,13.87,0.12,75.55
caco,17.8,13.53,13.49,0.1,63.71
caco,18.19,14.99,14.76,0.52,321.43
caco,22.87,25.5,25.2,0.72,448.52
caco,26.89,14.45,14.37,0.8,494.43
caco,29.23,26.85,26.68,1.38,853.41
caco,36.19,29.7,29.51,1.92,1187.44
caco,39.61,24.42,24.2,1.66,1029.58
cagl,3.85,7.97,7.9,0.02,10.82
cagl,5.03,7.98,7.94,0.04,22.05
cagl,5.1,7.77,7.66,0.01,7.93
cagl,5.87,8.45,8.16,0.02,12.3
cagl,6,8.35,8.3,0.03,17.54
cagl,6,8.52,8.34,0.02,9.91
cagl,6.05,9.31,9.22,0.02,10.58
cagl,6.12,9.45,9.25,0.02,11.93
cagl,6.57,10.01,9.91,0.03,16.86
cagl,6.68,7.69,7.63,0.02,10.58
cagl,7.03,7.81,7.69,0.02,14.7
cagl,7.34,8.63,7.61,0.03,16.7
cagl,7.35,7.12,7.08,0.03,16.83
cagl,8.11,9.68,9.45,0.03,18.08
cagl,8.3,9.38,9.32,0.03,18.22
cagl,8.32,7.78,7.72,0.01,7.93
cagl,8.4,11.22,11.09,0.09,55.25
cagl,8.47,9.58,9.14,0.03,18.79
cagl,9.3,9.69,9.46,0.05,32.41
cagl,9.32,8.03,7.87,0.04,21.89
cagl,9.93,11.59,11.53,0.1,59.64
cagl,10.95,9.02,8.11,0.16,97.97
cagl,11.24,12.05,12.01,0.13,81.17
cagl,12.15,8.95,8.73,0.07,42.21
cagl,12.53,13.83,13.61,0.17,104.61
cagl,12.7,12.14,11.85,0.18,110.84
cagl,12.91,12.79,12.75,0.13,83.59
cagl,13.28,15.21,15.18,0.14,88.82
cagl,16.12,11.9,11.39,0.15,95.87
cagl,16.35,13.4,13.38,0.17,102.5
cagl,16.47,11.64,11.21,0.16,98.06
cagl,16.5,19.32,19.24,0.21,131.67
cagl,17.9,17.58,17.45,0.36,223.06
cagl,18.21,20.92,20.43,0.36,223.56
cagl,18.73,16.15,16.02,0.29,180
cagl,20,19.53,19.44,0.42,262.3
cagl,20.7,17.89,17.81,0.33,203.21
cagl,20.97,21.43,20.78,0.43,268.36
cagl,21.6,22.37,22.36,0.49,305.79
cagl,22.05,16.47,16.31,0.63,390.49
cagl,22.05,19.04,18.75,0.57,350.35
cagl,22.15,21.15,21.06,0.6,369.87
cagl,23,24.29,24.27,0.89,552.03
cagl,23.52,18.4,18.14,0.5,309.63
cagl,23.68,16.37,15.77,0.39,239.04
cagl,24.85,18.34,18.26,0.67,417.42
cagl,25.1,23.79,23.47,0.98,604.64
cagl,25.28,23.66,23.45,0.83,517.48
cagl,26.35,20.96,20.78,0.8,493.13
cagl,26.84,22.19,21.86,0.79,487.2
cagl,27.02,24.77,24.75,1,620.42
cagl,29.4,25.31,25.15,0.94,583.02
cagl,30.78,23.19,22.77,1.15,714.23
cagl,32.99,26.56,26.08,1.38,857.79
cagl,34.91,20.37,20.33,1.19,735.06
cagl,35.46,26.74,26.34,1.11,687.83
cagl,35.89,30.1,29.87,2.02,1252.55
cagl,36.9,32.1,31.71,2.09,1298.08
cagl,38,28.67,28.55,2.33,1446.26
cagl,39.24,30.34,30.14,1.93,1194.82
cagl,42.1,27.02,26.95,2.79,1729.15
cagl,46.51,29.64,28.88,3.39,2099.31
caovl,6.5,7.48,7.31,0.01,8.77
caovl,9.51,12.65,12.39,0.06,34.77
caovl,11.27,11.77,11.74,0.1,63.98
caovl,14.35,17.3,17.17,0.19,119.45
caovl,18.5,20.4,20.25,0.35,214.02
caovl,18.72,17.91,17.72,0.43,266.39
caovl,22.59,20.47,20.31,0.85,525.73
caovl,22.71,22.16,21.91,0.55,340.74
caovl,27.19,26.26,26.14,1.15,713.42
caovl,27.42,22.25,22.12,0.86,532.33
caovl,27.89,27.63,27.59,0.97,602.03
caovl,28.89,21.27,21.02,0.61,375.9
caovl,37.35,28.12,27.94,2.65,1642.68
