ID,plot,spp,genus,p, DBH (cm), DBH_taper_linear (cm),field_dbh,final_dbh, length (m), height (m),difference_btwn_field_and_taper,outliers_taper_linear(TLS-derived),notes
22201,1524,Quercus alba,Quercus,0.6,53.2347,49.6613,49.35,49.35,28.1058,27.7713,-0.3113,0,
25343,1719,Quercus alba,Quercus,0.6,52.5078,52.3087,48.8,48.8,27.324,26.63,-3.5087,0,
6870,628,Quercus alba,Quercus,0.6,58.017,49.5708,48.77,48.77,29.9135,28.7713,-0.8008,0,
28964,1930,Quercus alba,Quercus,0.6,51.7478,54.1505,48.52,48.52,28.2209,27.9886,-5.6305,0,
23386,1719,Quercus alba,Quercus,0.6,48.4346,51.0643,46.43,46.43,27.6849,27.0397,-4.6343,0,
16895,1329,Quercus alba,Quercus,0.6,42.8383,40.1788,39.32,39.32,25.2492,24.9249,-0.8588,0,
20302,1524,Quercus alba,Quercus,0.6,0,35.0171,37.9,37.9,27.5156,27.4761,2.8829,0,
7494,711,Quercus alba,Quercus,0.6,36.8284,35.6624,33.64,33.64,26.1808,21.7151,-2.0224,0,
22197,1524,Quercus alba,Quercus,0.6,38.8949,28.5862,30.24,30.24,23.5236,23.2477,1.6538,0,
22208,1524,Quercus alba,Quercus,0.6,33.2934,29.2789,28.92,28.92,25.1107,24.9428,-0.3589,0,
6122,504,Quercus alba,Quercus,0.6,28.1915,27.5669,27.55,27.55,25.6441,24.782,-0.0169,0,
5049,407,Quercus alba,Quercus,0.6,26.2618,26.3462,24.29,24.29,20.9342,20.9228,-2.0562,0,
18408,1419,Quercus alba,Quercus,0.6,23.3461,21.1171,20.75,20.75,15.7226,15.4365,-0.3671,0,
26821,1917,Quercus prinus,Quercus,0.57,25.206,22.199,20.52,20.52,20.117,19.2679,-1.679,0,
6873,628,Quercus prinus,Quercus,0.57,52.8336,55.1578,49.61,49.61,28.2051,27.6597,-5.5478,0,
7942,628,Quercus prinus,Quercus,0.57,52.0678,50.5436,49.25,49.25,29.3287,29.2565,-1.2936,0,
20304,1524,Quercus prinus,Quercus,0.57,38.5187,48.342,45.92,45.92,29.0397,28.5518,-2.422,0,
20299,1524,Quercus prinus,Quercus,0.57,34.4372,40.8672,59.5,45.77390086,27.8954,27.6718,18.6328,1,
22223,1524,Quercus prinus,Quercus,0.57,43.2999,39.4739,34.89,34.89,25.959,25.8691,-4.5839,0,
4895,504,Quercus prinus,Quercus,0.57,35.4116,35.7509,34.5,34.5,23.6672,22.2667,-1.2509,0,
4908,504,Quercus prinus,Quercus,0.57,30.8314,33.8609,34.49,34.49,28.6924,28.3991,0.6291,0,
4902,504,Quercus prinus,Quercus,0.57,25.3028,28.1313,27.6,27.6,22.5572,22.0168,-0.5313,0,
8447,711,Quercus prinus,Quercus,0.57,28.3309,30.6304,27.3,27.3,24.9761,23.8131,-3.3304,0,
6889,628,Quercus prinus,Quercus,0.57,13.5637,13.0261,11.09,11.09,8.73592,8.44836,-1.9361,0,
7401,711,Quercus rubra,Quercus,0.56,0,95.9321,91.2,91.2,30.6735,30.5802,-4.7321,0,
6076,504,Quercus rubra,Quercus,0.56,97.5222,79.3522,92.6,92.6,30.7345,29.9926,13.2478,1,
18482,1419,Quercus rubra,Quercus,0.56,80.3458,74.3463,70.5,70.5,30.5889,29.3777,-3.8463,0,
6442,615,Quercus rubra,Quercus,0.56,0,60.309,68.56,68.56,31.172,31.1608,8.251,0,
27578,1930,Quercus rubra,Quercus,0.56,50.3733,66.672,65.09,65.09,31.9093,31.8097,-1.582,0,
3979,407,Quercus rubra,Quercus,0.56,0,61.2222,60,60,31.0489,30.619,-1.2222,0,
5094,407,Quercus rubra,Quercus,0.56,24.6983,35.7365,54.29,54.29,26.3052,26.0543,18.5535,1,
4907,504,Quercus rubra,Quercus,0.56,39.4436,49.8895,52.93,52.93,28.6845,28.2706,3.0405,0,
25527,1719,Quercus rubra,Quercus,0.56,51.1046,53.3712,50.1,50.1,28.1296,27.7515,-3.2712,0,
16939,1329,Quercus rubra,Quercus,0.56,47.9739,50.0056,46.68,46.68,28.6767,28.088,-3.3256,0,
6893,628,Quercus rubra,Quercus,0.56,43.6444,39.9747,39.2,39.2,29.0257,28.9517,-0.7747,0,
26685,1917,Quercus rubra,Quercus,0.56,0,43.6357,38.72,38.72,30.0067,29.5099,-4.9157,0,
6517,615,Quercus rubra,Quercus,0.56,31.6075,34.212,33.7,33.7,30.861,30.7347,-0.512,0,
6876,628,Quercus rubra,Quercus,0.56,25.7761,26.6205,26.42,26.42,21.8359,21.6605,-0.2005,0,
28426,1917,Quercus rubra,Quercus,0.56,22.5871,23.5626,22.82,22.82,19.8,19.4182,-0.7426,0,
26924,1917,Quercus rubra,Quercus,0.56,17.3542,16.31,14.6,14.6,17.5,17.1562,-1.71,0,
26930,1917,Quercus rubra,Quercus,0.56,15.1097,14.3722,12.95,12.95,16.9952,16.9068,-1.4222,0,
7446,615,Quercus velutina,Quercus,0.56,0,54.3248,53.02,53.02,24.1102,23.122,-1.3048,0,
28424,1917,Quercus velutina,Quercus,0.56,59.4031,57.2053,66.11,57.2053,24.8006,24.6646,8.9047,0,
897,1930,Quercus velutina,Quercus,0.56,51.5446,59.2841,108.61,76.79914127,28.7681,28.6261,49.3259,1,
16933,1329,Quercus velutina,Quercus,0.56,68.1409,70.9636,70.52,70.52,30.4242,30.1363,-0.4436,0,
7935,628,Quercus velutina,Quercus,0.56,69.7903,68.5393,67.7,67.7,30.8681,30.8993,-0.8393,0,
6139,504,Quercus velutina,Quercus,0.56,64.1982,62.5169,64.05,64.05,29.1522,27.9262,1.5331,0,
8452,711,Quercus velutina,Quercus,0.56,58.1185,60.9481,57.9,57.9,29.8045,29.6448,-3.0481,0,
18756,1329,Quercus velutina,Quercus,0.56,41.3283,51.8413,52.44,52.44,31.0616,30.7715,0.5987,0,
6145,504,Quercus velutina,Quercus,0.56,49.7117,48.6191,50.32,50.32,28.0379,27.7847,1.7009,0,
7512,711,Quercus velutina,Quercus,0.56,53.5403,50.5518,49.75,49.75,30.5287,30.3672,-0.8018,0,
6867,628,Quercus velutina,Quercus,0.56,40.1943,47.2238,48.4,48.4,27.9668,27.4688,1.1762,0,
7923,628,Quercus velutina,Quercus,0.56,47.4285,44.1501,44.32,44.32,31.9049,31.5614,0.1699,0,
28626,1917,Quercus velutina,Quercus,0.56,34.6875,32.7384,31.8,31.8,24.2733,24.111,-0.9384,0,
