"Column","Field","Description","Storage.Type","Variable.Codes","Units","Populated.by","n_Panama","Min_Panama","Max_Panama","n_Pasoh","Min_Pasoh","Max_Pasoh","n_SCBI","Min_SCBI","Max_SCBI"
"1 / A","sp","","character","","","",56,"-","-",70,"-","-",12,"-","-"
"2 / B","individual","","integer","","","",332,"1","3",418,"1","3",76,"1","5"
"3 / C","ind_ID","","character","","","",166,"-","-",205,"-","-",38,"-","-"
"4 / D","disc","","character","","","",2,"-","-",4,"-","-",2,"-","-"
"5 / E","osmometer_read","","integer","","","",332,"242","1157",418,"95","1005",76,"514","1767"
"6 / F","osmoticPotential_MPA","","double","","","",332,"-2.89","-0.6",418,"-2.51","-0.24",70,"-3.52","-1.28"
"7 / G","TLP_Mpa","","double","","","",332,"-3.04","-1.13",418,"-2.72","-0.83",70,"-3.56","-1.7"
"8 / H","suspicious_measurement","","integer","","","",332,"0","1",418,"0","1",76,"0","1"
"9 / I","notes","","character","","","",0,"Inf","-Inf",2,"-","-",5,"-","-"
