"tag","coreID","sp","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
152559,"152559A","qumi",1.288,1.02,1.029,0.931,0.471,0.327,0.213,0.18,0.095,0.178,0.216,0.191,0.426,0.253,0.24,0.281,0.348,0.331,0.253,0.238,0.337,0.324,0.498,0.401,0.524,0.359,0.343,0.328,0.446,0.255,0.247,0.256,0.354,0.285,0.264,0.322,0.569,0.481,0.615,0.82,1.213,1.062,1.099,1.175,0.749,0.824,0.656,0.762,0.951,0.61,0.798,0.538,0.596,0.545,0.557,0.547,0.473,0.521,0.445,0.578,0.39,0.571,0.937,0.839,0.838,0.924,0.735,0.519,0.372,0.455,0.917,1.073,0.889,0.765,0.609,0.528,0.511,0.583,0.616,0.496,0.604,0.582,0.531,0.509,0.56,0.543,0.724,0.634,0.322,0.71,0.72,0.573,0.601,0.44,0.66,0.499,0.486,0.385,0.641,0.809,0.9,0.688,0.59,0.555,0.468,0.415,0.41,0.388,0.454,0.313,0.433,0.491,0.499,0.442,0.406,0.506,0.409,0.383,0.437,0.315,0.313,0.263,0.213,0.54,0.494,0.391,0.248,0.272,0.207,0.217,0.395,0.335,0.35,0.241,0.314,0.272,0.345,0.327,0.231,0.245,0.208,0.238,0.177,0.303,0.218,0.191,0.203,0.348,0.33,0.256,0.426,0.213,0.192,0.183,0.138,0.196,0.276,0.219,0.209,0.304,0.325,0.262,0.268,0.35,0.289,0.29,0.203,0.267,0.402,0.286,0.198,0.219,0.287,0.226,0.137,0.216,0.212,0.309,0.212,0.297,0.182,0.373,0.219,0.205,0.317,0.202,0.228,0.176,0.301,0.33,0.219
157559,"157559B","qumi",0.773,0.87,0.956,1.025,0.674,0.674,1.053,1.409,1.167,0.8,0.498,0.563,0.365,0.141,0.156,0.13,0.185,0.166,0.135,0.253,0.225,0.216,0.29,0.421,0.285,0.55,0.487,0.531,0.44,0.432,0.487,0.639,0.342,0.456,0.406,0.398,0.325,0.275,0.402,0.591,0.436,0.571,0.549,0.885,1.113,1.075,1.232,0.911,1.159,0.913,1.361,1.446,1.033,1.178,0.765,1.178,0.83,0.796,0.948,0.853,0.623,0.754,0.682,0.676,0.993,1.423,1.555,1.528,1.163,0.991,0.896,1.76,1.187,1.498,1.726,1.294,1.208,0.846,0.71,0.664,0.783,0.944,0.806,0.633,0.507,0.536,0.462,0.566,0.497,0.891,0.59,0.468,0.58,0.568,0.49,0.499,0.369,0.546,0.535,0.381,0.381,0.477,0.815,0.913,0.715,0.677,0.714,0.531,0.667,0.475,0.482,0.384,0.444,0.371,0.866,0.707,0.685,0.71,0.577,0.601,0.458,0.39,0.27,0.298,0.305,0.127,0.321,0.35,0.328,0.292,0.372,0.125,0.305,0.235,0.314,0.257,0.202,0.229,0.241,0.265,0.224,0.152,0.134,0.254,0.228,0.247,0.159,0.232,0.27,0.18,0.249,0.145,0.258,0.287,0.239,0.22,0.22,0.231,0.174,0.253,0.325,0.196,0.264,0.344,0.251,0.322,0.205,0.463,0.281,0.244,0.24,0.243,0.178,0.208,0.199,0.283,0.236,0.36,0.261,0.351,0.26,0.292,0.451,0.322,0.3,0.26,0.431,NA,NA,NA,NA
