quadrat,tag,stem,sp,lx,ly,codes.2013,dbh.2013,status.2015,status.2016,status. 2017,new.status,dbh.if.dead,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown thinning,fraxinus.epicormic growth,EABF,DE.count,Old comments,2018 comments,cored,Date,surveyors
104,10194,1,fagr,14.9,13.2,,307.7999878,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
104,10196,1,prse,17.2,17.9,,191.1000061,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
104,10197,1,ceca,17.3,19.1,L,210,A,A,A,AU,,,,K,LF,,,,,,,,,,Neofusicoccum spp.,,7/5/2018,Prestipino/Terrell
104,10205,1,fagr,11.8,15,P,106,A,AU,AU,A,,,,,,,,,,,,,,uprooted (remained healthy),uprooted (remained healthy),,7/5/2018,Prestipino/Terrell
104,10213,1,fram,6.4,17.7,L,449,A,A,A,AU,,,D,,,,,,,4,1,"W, SS, DE",5,high liana load,high liana load,,7/5/2018,Prestipino/Terrell
105,10249,1,ulru,13.2,18.4,DC,302,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
105,10251,1,fram,10.9,18.9,L,108.1999969,A,AU,AU,AU,,,S,,,,,,4,4,0,none,,leaning,leaning due to vines,,7/5/2018,Prestipino/Terrell
105,10253,1,fram,8.7,18.8,DS,251.8999939,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
105,10263,1,acne,1.1,15.9,M,105.1999969,A,A,A,A,,,,,,,,,,,,,,1 stem of 3,,,7/5/2018,Prestipino/Terrell
106,10266,1,frni,18.4,1.9,DC,169.1000061,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10279,1,fram,17.5,8.3,,125.0999985,A,A,A,A,,,S,,,,,,,1,0,none,,sp=fram; prev. nysy,,,7/5/2018,Prestipino/Terrell
106,10280,1,nysy,19.7,12.3,,247,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10284,1,ceca,15.7,3.2,,153.1999969,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10285,1,fram,10.5,3.4,,242.8999939,A,A,A,AU,,,CD,,,,,,4,3,2,"W, SS, DE",4,"Vitis, heavy liana load and leaning",,,7/5/2018,Prestipino/Terrell
106,10286,1,juni,9.5,3.4,DS,218.5,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10287,1,caca,13.9,12.9,,181.1000061,A,A,A,A,,,,,,,,,,,,,,tag missing,"tag missing, liana load",,7/5/2018,Prestipino/Terrell
106,10292,1,ulru,9.4,13,M,170.8000031,A,DS,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10294,1,unk,11.4,7,DC,215.5,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10296,1,juni,9.7,9.2,,571.5,A,A,A,A,,,,,,,,,,,,,,,high liana load,,7/5/2018,Prestipino/Terrell
106,10367,1,unk,6.3,3.2,DS,166.8999939,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10376,1,fram,2.9,3.3,X,16.29999924,A,DN,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10379,1,fram,2.6,3.1,DS,14,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10401,1,caca,8.8,8.1,,141.1000061,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10405,1,caca,6.1,14.5,,118.9000015,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10416,1,ulsp,1.8,13.8,DS,205.8000031,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
106,10424,1,caco,0.6,17,,416.8999939,A,A,A,A,,,,,,,,,,,,,,,tag missing,,7/5/2018,Prestipino/Terrell
