"sp","quadrat","lx","ly","tag","stem","dbh.2018","codes.2018","status.2015","status.2016","status.2017","status.2018","new.status","codes.2013","dbh.2013","status..2017","dbh.if.dead","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","Old.comments","X2019.comments","cored","Date","surveyors"
"ulsp",101,6.1,1,10001,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",101,6.1,1,10001,2,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"juni",101,7.2,6.5,10006,1,616,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",101,7.4,9.4,10007,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caco",101,3.6,10.8,10009,1,283,"I","A","A","A","A","","","","","","","","","","","","","","","","","","swelling","","","",""
"juni",101,7.3,12.2,10010,1,629,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"ulru",101,7.9,18.1,10011,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",102,5.5,3.5,10013,1,268,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","high liana load; tag missing","","","",""
"ceoc",102,5.8,2.8,10016,1,257,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","swelling","","","",""
"ulru",102,1.9,7.2,10019,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",102,5.1,10.1,10021,1,206,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",103,4.8,10.1,10035,1,505,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",103,6.2,9.5,10036,1,442,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",103,8.1,13.6,10037,1,0,"DC","A","A","A","AU","","","","","","","","","","","","","","","","","","epicormics","","","",""
"acru",103,8.1,13.6,10037,2,16,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acru",103,8.1,13.6,10037,3,12,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"cato",104,0.6,1.2,10045,1,335,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",104,4.8,1.2,10053,1,171,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",104,6.2,9.7,10057,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"prse",104,3.7,13.4,10080,1,100,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulru",101,8.9,1.8,10101,1,0,"DS","A","AU","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"caco",101,15.1,2,10109,1,127,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","high liana load","","","",""
"unk",101,12.5,10.1,10116,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"vipr",101,15.7,9.4,10119,1,103,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"juni",101,15.6,13.6,10122,1,870,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",101,15.6,14.2,10129,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",101,15.6,16.2,10130,1,119,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","liana load","","","",""
"casp",101,15.6,18.4,10131,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",102,16.8,7.3,10134,1,511,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","high liana load","","","",""
"ceoc",102,15.1,7.6,10136,1,162,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","epicormics, hard to see crown","","","",""
"ceoc",102,13.9,9.6,10139,1,476,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",102,4.3,18.9,10157,1,489,"NULL","A","A","AU","AU","","","","","","","","","","","","","","","","","","tag missing","","","",""
"acru",103,11.5,2.6,10160,1,653,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",103,11.5,2.6,10160,2,615,"S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",103,18,6.1,10161,1,0,"DS","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",103,16.2,15.4,10162,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",103,15.4,17.2,10163,1,673,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",103,12.9,18,10165,1,453,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",103,12.7,18.4,10166,1,0,"DS","A","A","AU","AU","","","","","","","","","","","","","","","","","","gallery seen","","","",""
"frni",104,18.8,13.3,10178,1,141,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
