"tag","coreID","sp","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
152150,"152150A","ploc",0.964,1.545,2.826,4.939,2.229,1.481,2.256,4.198,0.506,2.129,1.007,0.836,2.925,2.139,5.184,4.487,2.709,2.35,1.473,1.14,1.802,1.441,2.007,1.498,0.834,1.036,2.799,2.501,1.516,1.727,1.355,0.531,0.429,0.431,0.413,0.183,0.252,0.229,0.235,0.397,0.36,1.016,1.923,1.865,1.215,1.159,0.842,0.643,1.025,2.047,1.537,0.747,1.104,0.686,0.791,0.716,0.767,0.757,0.769,0.408,0.702,0.814,0.702,0.575,0.464,0.398,0.443,0.49,0.442,0.253,0.285,0.438,0.655,0.853,0.865,0.855,0.909,0.905,0.679,0.701,0.447,0.38,0.488,0.144,0.166,0.185,0.222,0.218,0.411,0.495,0.808,0.498,0.166,0.231,0.101,0.171,0.311,0.41,0.498,0.465,0.134,0.322,0.135,0.184,0.502,0.912,0.285,1.888,2.701,0.882,0.875,0.56,2.122,0.616,0.388,0.153,0.277,0.234,0.216,0.175,0.164,0.143
152150,"152150B","ploc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.439,3.853,4.61,1.089,1.523,1.536,1.979,4.63,2.491,0.993,2.923,2.447,4.453,4.545,3.173,3.82,2.944,1.636,2.614,2.446,1.753,1.743,4.015,3.196,2.037,2.19,1.709,1.298,0.492,0.702,0.135,0.135,0.217,0.166,0.261,0.621,0.765,0.987,0.734,0.957,1.099,0.818,1.496,1.034,2.004,2.616,1.127,1.079,0.663,0.687,0.719,0.621,0.914,0.615,0.378,0.778,0.801,0.814,1.097,1.051,0.972,0.946,0.965,0.488,0.228,0.226,0.394,0.7,0.844,0.555,0.604,0.387,0.372,0.34,0.287,0.26,0.256,0.221,0.143,0.148,0.12,0.157,0.243,0.348,0.65,0.761,0.457,0.486,0.532,0.284,0.409,0.413,0.208,0.267,0.241,0.261,0.704,0.704,0.224,0.733,0.766,0.146,0.147,0.635,0.102,0.08,0.064,0.067,0.064,0.079,0.085,0.089
