"tag","coreID","sp","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
141094,"141094A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.294,0.421,0.72,0.864,1.087,0.811,0.838,0.259,0.697,1.523,1.231,0.941,1.221,1.156,0.808,0.761,0.512,0.301,0.402,0.893,1.457,1.568,1.249,1.472,1.038,1.38,1.396,1.354,1.258,0.983,1.605,0.559,0.886,1.147,1.44,2.283,1.739,2.103,2.042,1.977,2.252,2.145,0.6,0.377,0.42,0.579,0.957,1.128,1.396,0.632,0.984,0.993,0.371,0.513,0.608,0.251,NA,NA,NA,NA,NA
142341,"142341B","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.695,0.911,1.067,0.803,0.893,0.66,0.538,0.814,0.433,0.585,0.357,0.471,0.624,0.509,0.923,0.712,0.519,0.499,0.692,0.621,0.903,0.449,0.963,0.926,1.859,1.201,1.48,1.686,1.414,1.42,1.477,1.601,1.622,1.107,2.541,1.456,0.677,0.957,0.984,1.151,1.045,1.216,1.597,1.243,0.549,0.33,0.405,0.371,0.372,0.658,0.438,0.271,0.167,NA,NA
142391,"142391A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917,0.925,0.488,0.83,0.592,0.556,0.383,0.583,0.395,0.673,0.694,0.752,0.519,0.491,0.521,0.513,0.76,0.503,1.015,0.958,1.35,1.255,1.169,1.174,1.012,0.969,1.134,1.093,1.051,0.795,1.127,0.668,0.384,0.6,1.124,0.708,0.661,1.008,1.337,0.958,0.632,0.238,0.559,0.784,0.834,0.638,NA,NA,NA,NA,NA
161005,"161005A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.94,2.16,2.674,1.076,1.246,1.659,1.554,1.898,2.84,0.856,1.58,1.363,3.014,1.633,1.819,1.73,2.825,1.664,2.538,2.167,2.178,1.803,0.465,0.692,0.925,1.094,1.02,0.935,1.115,0.936,1.01,1.156,1.206,1.058,0.991,0.45,0.429,0.466,0.502,0.6,0.405,0.464,0.305,0.35,0.353,0.411,0.29,0.316,0.201,NA,NA,NA,NA,NA
171252,"171252B","ceca",0.584,1.046,0.21,0.252,0.212,0.132,0.239,0.213,0.423,0.609,0.982,0.799,0.704,0.815,1.054,0.897,1.361,0.748,0.753,0.82,0.804,0.904,0.653,1.12,0.957,0.3,0.184,0.273,0.38,0.296,0.343,0.246,0.548,0.713,0.644,0.552,1.316,0.769,1.161,0.601,0.592,0.517,0.327,0.356,0.262,0.243,0.215,0.19,0.367,0.296,0.29,0.267,0.289,0.297,0.329,0.295,0.397,0.439,0.692,0.954,0.692,0.803,0.752,1.009,0.7,0.827,0.791,0.947,0.644,0.815,0.473,NA
171252,"171252A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971,0.872,0.941,0.723,0.809,1.054,0.882,0.981,0.962,1.25,0.813,0.815,0.246,0.245,0.506,0.402,0.382,0.304,0.969,0.773,0.865,0.637,1.833,0.943,1.02,0.615,1.406,0.739,0.475,0.473,0.377,0.307,0.277,0.256,0.536,0.502,0.48,0.465,0.556,0.489,0.513,0.405,0.49,0.49,0.698,0.549,0.633,0.658,0.677,0.677,0.424,0.578,0.471,0.716,0.315,0.378,0.383
171372,"171372A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909,0.888,0.739,0.788,1.061,0.778,0.817,1.303,0.76,0.785,1.008,1.163,1.056,1.08,1.575,2.012,1.286,2.236,3.789,1.529,1.813,1.656,1.302,1.343,2.176,2.244,1.544,1.161,1.466,1.045,0.533,0.393,0.54,0.36,0.422,0.435,0.323,0.344,0.335,0.37,0.34,0.312,0.324,0.493,0.375,0.315,0.23,0.248,0.207,NA,NA,NA,NA
182198,"182198A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.477,2.104,1.761,1.822,2.214,1.248,1.505,2.286,1.253,0.646,0.59,0.9,1.031,0.813,0.601,0.546,0.421,0.532,0.48,0.629,0.527,NA,NA,NA
182499,"182499A","ceca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773,2.386,2.197,2.475,1.951,0.555,2.442,1.915,2.176,1.489,2.195,1.354,0.7,1.329,1.063,0.918,0.813,1.025,0.743,1.022,0.81,1.03,0.874,0.807,1.534,1.277,1.26,1.24,1.374,0.885,0.888,1.076,1.238,1.158,1.1,0.952,0.898,1.246,0.842,1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
