"tag","coreID","sp","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
10010,"10010","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.349,0.546,1.512,1.257,1.903,1.664,1.402,2.005,2.496,1.544,2.373,2.356,2.465,1.446,0.808,1.579,1.143,1.179,0.204,0.831,0.411,0.547,0.116,0.691,0.334,0.781,0.9,0.905,1.272,0.591,0.545,0.471,0.71,0.547,0.862,1.073,0.637,1.335,1.41,1.652,1.739,1.411,1.51,1.6,1.519,2.332,2.597,1.624,2.276,1.354,2.151,2.241,1.605,1.334,1.163,1.898,2.014,1.137,1.144,1.726,2.61,1.739,3.018,3.349,2.124,1.322,0.611,0.483,1.029,0.585,0.973,0.686,0.599,0.518,0.804,1.006,0.942,1.235,1.335,1.552,NA,NA,NA,NA,NA
10122,"10122","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64,5.282,2.939,3.976,2.826,2.528,3.371,3.37,2.92,3.834,3.427,3.265,3.406,1.793,0.347,2.171,2.798,1.392,1.379,1.808,1.778,1.632,1.193,1.441,1.418,1.201,1.288,1.115,1.151,1.516,0.934,1.075,0.94,1.008,0.886,1.024,1.062,0.474,1.083,1.129,1.15,1.084,0.75,0.974,0.765,0.841,0.89,1.11,1.043,1.16,0.802,1.155,1.233,0.802,0.666,1.058,0.855,1.244,0.55,0.614,0.435,0.719,0.342,0.729,0.499,0.759,0.851,0.94,1.301,1.219,1.167,1.844,2.062,1.532,1.698,2.009,1.757,1.983,2.042,2.108,2.107,NA,NA,NA,NA,NA
10296,"10296","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,1.728,2.153,1.779,2.173,1.555,2.19,3.537,1.645,1.223,2.445,0.998,1.299,2.329,3.099,2.831,2.815,1.46,1.193,0.152,1.226,1.688,1.131,0.965,0.81,0.505,0.338,0.449,0.56,0.11,0.542,0.471,0.528,0.225,0.962,0.77,0.624,0.57,0.177,0.177,0.475,0.628,0.217,0.465,0.243,0.338,0.464,0.32,0.765,0.686,0.393,0.805,0.664,0.647,0.262,0.706,0.386,0.353,0.287,0.219,0.058,0.098,0.18,0.266,0.504,1.203,1.077,1.082,1.205,1.191,0.917,0.53,0.617,0.308,NA,NA,NA,NA,NA
12354,"12354","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.939,3.207,3.718,3.798,4.217,3.222,3.146,3.069,3.134,3.256,2.299,1.381,1.098,0.389,0.33,0.258,0.394,0.408,0.338,0.415,0.589,0.609,1.198,1.304,1.208,1.274,0.752,0.982,0.934,1.065,1.041,1.623,1.003,1.907,1.427,2.232,1.45,1.445,1.556,1.226,1.252,1.633,1.207,0.923,1.531,1.399,0.959,1.197,1.342,0.911,0.902,1.213,1.131,1.5,0.758,1.097,1.165,0.933,1.134,1.439,1.07,1.04,1.09,1.014,1.389,NA,NA,NA,NA,NA
12387,"12387","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.466,1.354,1.331,1.771,2.14,1.706,0.957,0.392,0.71,1.351,0.743,0.267,0.525,0.488,0.724,0.93,1.153,0.952,0.712,0.742,0.967,0.532,0.614,0.791,0.85,0.459,0.573,0.814,0.694,0.742,0.671,0.761,0.827,0.737,0.94,0.918,0.779,0.517,0.645,0.631,0.811,1.694,1.59,1.694,NA,NA,NA,NA,NA
30135,"30135","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.372,0.742,1.514,1.873,2.324,1.171,1,1.923,0.759,1.346,1.128,1.296,1.342,1.05,1.348,0.994,0.58,0.542,0.616,0.401,0.552,0.397,0.465,0.447,0.478,0.729,0.71,0.917,1.537,0.792,0.965,1.366,1.085,0.385,0.555,0.996,0.77,0.905,0.831,0.405,0.91,0.332,0.793,0.863,0.487,0.616,1.365,0.326,0.308,0.594,0.727,1.16,NA,NA,NA,NA,NA
30226,"30226","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984,1.349,1.786,1.207,0.934,1.25,1.179,0.688,0.75,0.525,0.711,0.79,1.048,1.287,1.612,1.01,0.821,2.057,1.312,2.081,0.916,1.087,0.963,1.1,0.588,0.663,1.171,1.495,1.141,0.788,1.078,1.577,0.719,1.614,1.566,1.111,1.365,0.892,0.865,0.963,1.085,0.637,0.454,0.307,0.464,0.247,0.474,0.273,0.273,0.33,0.338,0.581,0.186,0.358,0.286,0.161,0.268,0.177,0.276,0.286,0.211,0.311,1.087,0.447,1.453,0.68,0.736,0.469,0.499,0.463,0.398,0.701,0.48,0.526,0.469,0.47,0.62,0.374,0.58,0.24,0.148,0.148,0.157,0.237,0.188,0.249,0.467,0.411,0.281,0.214,NA,NA,NA,NA,NA
30315,"30315","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.351,2.693,3.421,2.517,1.352,2.478,1.912,1.329,1.758,0.958,1.075,0.839,1.308,1.847,1.768,1.234,0.898,1.278,1.346,2.328,0.968,0.917,0.839,1.086,0.756,0.705,0.917,1.011,0.966,0.9,0.325,0.889,0.421,1.079,1.149,0.785,1.127,0.869,0.609,0.925,0.78,1.142,0.878,0.936,0.931,0.497,0.781,0.658,0.662,0.605,0.597,0.925,0.456,1.28,1.26,1.001,1.044,0.689,0.991,0.646,0.61,0.697,1.253,0.562,1.409,0.788,0.894,0.526,0.61,0.305,0.227,0.405,0.934,0.778,0.982,0.697,0.909,0.528,1.268,1.503,0.907,0.689,0.575,0.191,0.606,0.573,1.082,0.959,0.949,0.81,0.548,0.258,0.484,0.882,1.09,1.511,NA,NA,NA,NA,NA
40024,"40024A","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,2.517,1.997,2.539,2.238,1.871,1.852,1.792,1.292,0.851,1.123,1.072,1.041,0.993,0.992,0.97,0.96,0.538,0.967,0.803,0.523,0.44,0.269,0.349,0.248,0.203,0.275,0.248,0.271,0.678,0.393,0.957,0.835,0.643,0.522,0.458,0.422,0.786,0.292,0.247,0.987,0.925,0.26,0.419,0.676,0.478,0.288,0.258,0.239,0.26,0.124,0.223,0.084,0.136,0.198,0.183,0.177,0.215,0.211,0.235,0.263,NA,NA,NA,NA,NA
40024,"40024B","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.471,2.61,3.264,3.397,3.015,2.621,2.937,2.309,2.158,1.833,1.9,1.977,1.814,1.873,1.848,1.991,2.117,0.789,1.897,1.723,1.704,1.558,0.935,0.992,0.779,0.479,0.808,0.03,0.096,0.14,0.161,0.061,0.045,0.106,0.216,0.282,0.321,0.315,0.318,0.439,0.86,0.791,0.397,0.607,0.561,0.69,0.493,0.397,0.194,0.317,0.145,0.14,0.142,0.119,0.218,0.183,0.332,0.617,0.703,0.69,0.956,NA,NA,NA,NA,NA
