"tag","coreID","sp","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
80769,"80769","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.595,0.772,0.531,0.279,0.309,0.134,0.123,0.246,0.208,0.59,1.38,0.62,0.703,0.683,0.432,0.379,0.278,0.27,0.204,0.778,0.607,0.573,0.502,1.184,0.92,1.034,0.817,0.896,1.121,1.247,1.229,0.947,0.537,1.384,1.772,1.854,1.208,1.445,0.851,1.061,0.308,0.963,1.074,0.943,1.513,0.992,0.514,0.709,1.253,0.807,1.028,1.699,0.263,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80774,"80774","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733,0.859,1.204,0.886,0.907,0.829,1.171,0.819,0.981,0.905,1.22,0.845,1.029,1.093,1.5,1.49,1.524,1.465,1.348,1.543,1.766,1.055,1.587,2.362,2.06,1.619,1.217,0.672,0.631,0.17,0.184,0.804,0.504,0.395,0.334,0.264,0.433,0.461,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82347,"82347","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387,0.641,0.22,1.46,1.254,0.975,0.797,0.637,0.063,0.244,0.312,0.384,0.416,0.388,0.167,0.19,0.497,0.245,0.337,0.17,0.351,0.439,0.333,0.332,0.334,0.395,0.472,0.547,0.482,0.461,0.68,0.647,0.601,0.472,0.675,0.572,0.524,0.591,0.711,1.184,1.238,0.856,0.907,0.864,0.963,0.7,0.645,0.828,0.743,0.537,0.66,0.863,0.766,0.682,0.847,0.966,0.953,0.717,0.822,0.737,0.387,0.475,0.902,1.001,0.942,0.729,0.608,0.496,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92094,"92094A","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274,1.449,1.17,0.454,1.288,0.796,1.956,0.992,0.846,0.963,0.873,1.173,1.006,0.76,0.604,0.221,0.348,0.314,0.739,0.755,0.529,1.443,0.813,0.815,0.86,0.523,0.694,0.807,1.148,1.467,1.217,1.283,1.494,1.148,1.026,0.617,0.583,0.239,0.381,0.713,0.239,0.758,0.693,0.934,0.731,0.428,0.773,0.862,0.611,0.499,0.355,0.301,0.446,0.487,0.675,0.321,0.461,0.384,0.501,0.489,NA,NA,NA,NA,NA
92094,"92094B","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105,0.625,0.334,0.562,0.548,0.488,0.489,0.319,0.406,1.053,0.604,0.572,1.613,1.173,0.424,1.206,0.684,1.515,0.791,0.362,0.401,0.52,1.063,1.063,0.282,0.507,0.822,0.682,1.12,0.785,0.886,0.865,0.443,0.88,0.904,0.659,0.706,0.825,0.86,0.91,0.834,1.125,1.452,0.79,0.896,0.931,1.124,1.354,1.012,0.647,0.712,0.395,0.402,1.04,0.331,1.706,1.119,1.426,1.205,1.61,0.875,0.928,0.733,0.524,0.272,0.284,0.409,0.577,0.648,0.569,0.496,0.734,0.901,0.797,0.313,0.163,0.203
92556,"92556","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.014,1.168,1.223,1.161,1.73,1.998,1.91,1.446,0.984,1.287,0.869,0.8,1.145,1.084,0.97,0.913,0.844,0.491,0.823,0.776,0.733,0.72,0.73,0.988,0.474,0.419,0.333,0.143,0.213,0.117,0.174,0.119,0.251,0.207,0.125,0.049,0.087,0.078,0.228,0.232,0.298,0.26,0.346,0.346,0.219,0.146,0.121,0.093,0.189,0.175,0.053,0.03,0.107,0.108,0.047,0.056,0.064,0.032,0.067,0.162,0.128,0.117,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102124,"102124","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.64,0.665,0.906,0.419,0.099,0.663,0.663,0.82,0.547,0.6,0.524,0.509,0.588,0.204,0.624,0.699,0.422,0.372,0.2,0.981,0.547,0.286,0.315,0.233,0.283,0.404,0.353,0.412,1.51,2.575,2.826,2.401,1.641,1.693,1.563,1.431,0.529,0.824,0.925,0.983,0.909,0.457,1.007,1.995,1.708,1.91,2.024,2.334,2.726,2.361,2.132,2.209,3.333,1.261,2.155,0.931,0.923,0.697,1.434,1.521,2.065,1.805,1.341,1.46,1.544,2.487,2.718,1.515,2.509,0.923,0.714,0.733,0.486,0.603,0.477,0.434,0.375,0.228,0.345,0.318,0.418,0.382,0.401,0.48,0.414,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102146,"102146","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437,0.325,0.28,0.529,0.592,0.83,0.798,0.56,0.594,0.581,0.808,0.235,0.749,1.249,1.201,1.317,1.277,1.357,1.347,0.953,1.39,0.824,1.013,0.958,2.05,1.878,1.843,1.203,1.12,1.15,1.082,0.849,0.363,0.6,0.493,0.413,0.447,0.675,0.433,0.742,0.756,0.964,1.211,0.676,1.266,1.315,1.042,1.495,0.838,1.127,0.992,0.672,0.844,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122009,"122009","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.673,0.587,0.553,0.338,0.75,0.712,0.361,1.159,0.789,0.54,0.463,0.187,0.105,0.136,0.308,0.715,1.16,1.118,0.846,0.315,0.358,0.464,0.914,0.45,0.584,0.273,0.313,0.177,0.163,0.177,0.274,0.347,0.452,0.256,0.388,0.104,0.248,0.384,0.235,0.129,0.035,0.109,0.146,0.181,0.088,0.046,0.061,0.052,0.081,0.105,0.026,0.06,0.161,0.102,0.068,0.073,0.229,0.167,0.205,0.436,0.332,0.352,0.466,0.305,0.349,0.296,0.241,0.309,0.208,0.35,0.324,0.315,0.448,0.329,0.149,0.421,0.723,0.909,0.214,0.981,0.464,0.51,0.795,0.46,0.4,0.122,0.368,0.534,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131364,"131364","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,0.891,0.79,0.729,0.795,0.597,0.604,1.243,1.178,0.861,0.529,1.368,1.341,1.068,1.115,1.269,1.215,1.042,0.773,0.669,0.896,0.156,0.773,0.06,1.062,1.07,1.348,0.714,1.49,1.075,0.977,0.96,1.368,1.045,0.553,0.698,1.834,1.744,1.693,1.397,1.509,1.379,1.79,1.658,1.474,0.804,1.737,2.364,0.707,0.57,1.204,0.942,0.809,0.484,1.204,1.583,1.869,2.217,2.032,1.316,0.947,1.637,1.317,1.122,1.005,0.742,0.734,0.128,0.609,0.529,0.64,0.928,0.983,0.91,0.546,0.695,0.643,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131366,"131366","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.356,0.173,0.399,0.41,0.346,0.322,0.337,0.497,0.401,0.289,0.29,0.379,0.391,0.313,0.334,0.508,0.219,0.565,0.493,0.616,0.487,0.352,0.365,0.214,0.137,0.379,0.283,0.267,0.468,0.532,0.446,0.686,0.228,0.351,0.434,0.215,0.244,0.67,0.437,1.221,1.021,1.489,0.926,1.489,1.027,1.249,1.515,1.419,0.941,0.808,1.592,1.511,0.628,0.273,0.507,0.45,0.834,0.34,0.581,0.41,1.064,0.609,0.495,0.515,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132470,"132470","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,0.713,0.283,0.886,0.382,0.742,0.251,0.669,0.871,0.932,1.557,1.995,2.075,2.393,2.051,1.46,1.411,1.838,1.532,1.194,1.013,1.717,0.859,0.769,0.738,0.191,0.576,0.662,0.261,0.109,0.29,0.108,0.154,0.093,0.081,0.202,0.227,0.192,0.175,0.09,0.043,0.2,0.146,0.109,0.1,0.092,0.1,0.031,0.069,0.032,0.403,0.198,0.277,0.161,0.269,0.331,0.247,0.39,0.077,0.285,0.21,0.072,0.078,0.158,0.506,0.326,0.351,0.387,0.491,0.637,0.107,0.237,0.118,0.104,0.136,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150913,"150913","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423,0.439,0.2,0.31,0.396,0.354,0.311,0.943,0.857,0.91,0.799,0.567,0.585,0.537,0.551,0.358,0.355,0.332,0.306,0.202,0.153,0.193,0.141,0.137,0.116,0.102,0.154,0.101,0.083,0.211,0.449,0.763,0.652,0.39,0.359,0.33,0.351,0.823,0.732,0.968,1.056,1.672,1.784,1.987,1.755,1.788,1.128,1.295,0.737,1.33,1.64,1.768,1.524,1.292,1.218,0.983,0.759,0.727,0.817,0.942,0.722,0.813,0.974,0.656,0.631,1.024,0.989,1.181,0.664,0.892,0.471,0.635,0.683,0.477,0.401,0.351,0.287,0.36,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152431,"152431","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.555,0.642,1.216,1.539,1.381,1.073,0.556,0.279,0.835,0.699,1.017,1.538,2.197,1.128,1.278,1.486,1.572,1.824,1.538,1.544,0.637,1.676,0.882,1.693,1.655,0.717,0.398,0.4,0.126,0.211,0.116,0.108,0.152,0.188,0.124,0.293,0.214,0.7,0.648,0.247,0.378,0.366,0.273,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172594,"172594","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.638,1.957,2.018,1.933,1.729,1.418,0.375,1.427,0.804,1.794,1.471,1.676,1.841,1.415,1.564,1.289,0.532,0.865,0.373,0.637,1.096,0.735,1.029,0.54,0.411,0.638,0.637,0.506,0.232,0.31,0.185,0.055,0.296,0.355,0.28,0.287,0.43,0.192,0.093,0.04,0.037,0.018,0.048,0.054,0.082,0.112,0.118,0.058,0.079,0.196,0.132,0.104,0.12,0.115,0.091,0.124,0.277,0.248,0.269,0.165,0.164,0.109,0.097,0.062,0.087,0.071,0.11,0.121,0.123,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180988,"180988","acru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538,0.133,0.329,0.376,0.281,0.276,0.014,0.071,0.061,0.204,0.324,0.084,0.17,0.262,0.116,0.221,0.409,0.357,0.818,0.761,0.946,1.117,1.273,1.321,4.065,2.46,1.654,1.605,1.264,1.056,1.525,0.717,1.18,1.417,1.27,0.984,0.708,0.779,0.505,0.249,0.697,0.39,0.398,0.137,0.049,0.107,0.204,0.169,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
