"tag","coreID","sp","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
162069,"162069B","amar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697,1.046,0.827,0.857,0.766,0.789,0.391,0.588,0.775,0.763,0.572,0.656,0.391,0.308,0.473,0.732,0.584,0.689,0.279,1.014,0.597,0.593,0.652,0.226,0.435,0.312,1.08,1.44,1.326,1.336,1.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162069,"162069A","amar",0.486,1.191,1.321,1.112,1.167,0.449,0.635,0.842,0.801,0.469,0.644,0.976,0.571,0.379,0.499,0.466,0.305,0.363,0.441,0.325,0.242,0.428,0.462,0.808,0.889,0.402,0.791,0.274,0.34,0.366,0.543,1.601,1.643,1.159,1.049,0.661,0.55,0.455,0.291,0.343,0.19,0.243,0.355,0.263,0.37,0.455,0.316,0.206,0.972,0.745,0.413,0.184,0.165,0.474,0.213,0.254,0.497,0.23,0.317,0.259,0.191,0.206,0.161
