tag,stemtag,sp,quadrat,biannual,cored,year.cored,dbh2008,dbh2013,dbh2018,crown.position
32423,1,litu ,329,1,0,NA,874.5,914,,
32493,1,quve,331,0,1,2010-2011,363.3,372,,
32498,1,quve,331,0,1,2010-2011,551.9,577.8,,
32516,1,quru,332,0,1,2010-2011,340.3,387,,
32540,1,qupr ,332,1,0,NA,825.8,841.8,,
40024,1,juni,401,0,1,2010-2011,281.8,284.2,,
40131,1,fram,403,0,1,2010-2011,609.8,674,,
40479,1,fagr,405,0,1,2010-2011,151.4,165,,
40480,1,fagr,405,0,1,2010-2011,159.4,175.4,,
40485,1,fagr,405,0,1,2010-2011,163.5,184.5,,
40493,1,fagr,405,0,1,2010-2011,140.8,166.5,,
40522,1,cagl,404,0,1,2010-2011,227.1,238.5,,
40529,1,qupr,405,0,1,2010-2011,481.2,502,,
40533,1,quve,405,0,1,2010-2011,487.1,507.8,,
40536,1,fagr,405,0,1,2010-2011,127,134.8,,
40538,1,qupr,405,0,1,2010-2011,519.5,542.5,,
40549,1,fagr,406,0,1,2010-2011,159.9,174.8,,
40554,1,fagr,406,0,1,2010-2011,406.2,430.5,,
40562,1,fagr ,406,1,0,NA,79.1,80.9,,
40563,1,fagr,406,1,1,2010-2011,344.5,365,,
40564,1,fagr ,406,1,0,NA,49.2,57.8,,
40565,1,cagl ,406,1,0,NA,182.1,182.1,,
40566,1,cagl ,406,1,0,NA,263,270.2,,
40567,1,fagr ,406,1,0,NA,87.2,93.3,,
40568,1,fagr ,406,1,0,NA,147.8,169.9,,
40569,1,litu ,407,1,0,NA,262.2,280,,
40585,1,fagr,408,0,1,2010-2011,141,161,,
40635,1,cagl ,408,1,0,NA,255.6,258.7,,
40649,1,quru,409,0,1,2010-2011,581.7,606.4,,
40873,1,fagr,412,0,1,2010-2011,640.7,641.3,,
40889,1,fagr,413,0,1,2010-2011,130.1,144,,
40941,1,litu,414,1,0,NA,245.1,278.9,,
40942,1,acru ,414,1,0,NA,385,395.9,,
40972,1,litu ,415,1,0,NA,656.9,685.6,,
42009,1,ploc ,417,1,0,NA,563.3,576.8,,
42092,1,quru,420,0,1,2010-2011,413.7,446,,
42207,1,quve,423,0,1,2010-2011,213.2,213,,
42248,1,quve,424,0,1,2010-2011,786.7,792,,
42283,1,quve,425,0,1,2010-2011,471.1,483,,
42389,1,qupr,428,0,1,2010-2011,369.5,375,,
42397,1,quru ,428,1,0,NA,1418.3,1483,,
42544,1,litu,430,0,1,2010-2011,308.5,312.5,,
50046,1,quru,501,0,1,2010-2011,258.3,278.1,,
50160,1,fram ,502,1,0,NA,833.6,868.1,,
50234,1,qual,504,0,1,2010-2011,261.3,275.5,,
50244,1,cagl,504,0,1,2010-2011,244,248.5,,
50246,1,cagl,504,0,1,2010-2011,250.9,263.5,,
50262,1,caovl,505,0,1,2010-2011,164.4,172,,
