Tag,stemID,species,DBH 2013(mm),4/14/2014,4/17/2014,4/18/2014,4/21/2014,4/22/2014,4/24/2014,4/27/2014,4/28/2014,4/30/2014,5/2/2014,5/5/2014,5/9/2014,5/12/2014,5/14/2014,5/16/2014,5/27/2014,6/3/2014
30233,1,fagr,1046.8,0,0,0,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
30234,1,fagr,71.5,0,0,0,0,0,0,0,1,1,2,2,3,NA,NA,NA,NA,NA
30333,1,fagr,222,0,0,0,0,0,0,0,1,1,2,2,3,NA,NA,NA,NA,NA
30331,1,cagl,216,0,0,0,0,0,0,0,"0,1",1,1,2,2,3,NA,NA,NA,NA
30339,1,litu,588,0,1,"1,2",2,2,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
30339,2,litu,504,0,1,"1,2",2,2,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
30339,3,litu,153.1,0,1,1,1,"1,2",2,2,2,2,2,2,3,NA,NA,NA,NA,NA
30343,1,quru,600,0,0,0,0,0,0,1,2,2,2,2,2,3,NA,NA,NA,NA
40569,1,litu,280,0,1,1,1,"1,2",2,2,2,2,2,2,2,3,NA,NA,NA,NA
40562,1,fagr,79.1,0,0,0,0,0,0,0,0,0,1,2,3,NA,NA,NA,NA,NA
40563,1,fagr,365,0,0,0,1,1,1,"1,2",2,2,2,2,3,NA,NA,NA,NA,NA
40564,1,fagr,57.8,0,0,0,0,0,0,0,0,0,1,2,3,NA,NA,NA,NA,NA
40565,1,cagl,182.1,0,0,0,1,1,2,2,2,2,2,2,2,3,NA,NA,NA,NA
40566,1,cagl,270.2,0,0,0,1,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA
40567,1,fagr,93.3,0,0,0,0,0,0,0,1,1,2,2,3,NA,NA,NA,NA,NA
40568,1,fagr,169.9,0,0,0,0,0,0,0,0,0,1,2,3,NA,NA,NA,NA,NA
30225,1,qual,301,0,0,0,0,1,1,1,1,2,2,2,2,2,3,NA,NA,NA
60456,1,caca,64.5,0,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60457,1,caca,99.5,0,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60468,1,caca,67.3,0,1,1,1,"1,2",2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60563,1,caca,87.5,0,1,1,1,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA
60568,1,caca,90.3,0,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60569,1,caca,89.5,0,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60571,1,caca,116,0,1,1,2,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA
60576,1,caca,95.1,0,1,1,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA
60578,1,caca,78.5,0,0,1,1,1,1,1,2,2,2,2,2,3,NA,NA,NA,NA
60579,1,caca,76.1,0,0,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60586,1,caca,62.5,0,1,1,1,1,2,2,2,2,2,2,2,3,NA,NA,NA,NA
60587,1,caca,70.5,0,0,1,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA
70494,1,caca,77.2,0,1,1,1,1,2,2,2,2,2,2,2,3,NA,NA,NA,NA
70494,2,caca,59.6,0,1,1,1,1,2,2,2,2,2,2,2,3,NA,NA,NA,NA
70495,1,caca,67.6,0,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
60570,1,caco,396.1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,NA
60588,1,caco,292.3,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,NA
60469,1,cofl,70,0,1,1,1,"1,2",2,2,2,2,2,2,2,3,NA,NA,NA,NA
60458,1,fagr,269.5,0,0,0,0,0,0,0,0,1,1,2,3,NA,NA,NA,NA,NA
60459,1,fagr,99.7,0,0,0,0,0,0,0,0,0,1,2,2,3,NA,NA,NA,NA
60462,1,fagr,209.5,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,NA,NA
60562,1,fagr,124,0,0,0,0,0,0,0,1,1,1,2,3,NA,NA,NA,NA,NA
60566,1,fagr,194.2,0,0,0,0,0,0,0,0,0,1,2,2,3,NA,NA,NA,NA
60463,1,juni,468,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3
50650,1,litu,184.3,0,1,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA
50654,1,litu,717.2,0,"1,2","1,2","1,2",2,2,2,2,2,2,2,2,3,NA,NA,NA,NA
60567,1,litu,536.8,0,"1,2",2,2,2,2,2,2,2,"2,3",2,2,3,NA,NA,NA,NA
60577,1,litu,546.2,0,"1,2","1,2",2,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA
60581,1,litu,685.1,0,"1,2",2,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA,NA
70493,1,litu,539.4,0,"1,2","1,2",2,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA
70492,1,nysy,200.1,0,0,0,0,0,0,0,0,0,1,1,1,2,3,NA,NA,NA
60582,1,quru,285.1,0,0,0,0,1,1,1,2,2,2,2,2,3,NA,NA,NA,NA
60573,1,tiam,258.5,0,0,0,0,0,0,1,1,1,1,2,2,3,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,
